image,priority_score,failure_type,r110_dice,araa_dice,nnunet_dice,r110_recall,araa_recall,r110_boundary_iou,araa_boundary_iou,r110_gap_fp,araa_gap_fp,nnunet_gap_fp,r110_component_merge,araa_component_merge,nnunet_component_merge,r110_component_mae,araa_component_mae,nnunet_component_mae,component_deficit,merge_deficit,gap_excess,recall_buffer_vs_araa,dice_buffer_vs_araa,boundary_buffer_vs_araa
1897.png,2.4670262463045294,clean_bridge_candidate,0.8897094485472428,0.8900947998909585,0.8910632779166908,0.9084045067718995,0.891787444545979,0.10043528186503592,0.11528142941460535,0.40703211392205096,0.3623479497190314,0.39423619417300443,1.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,0.04468416420301957,0.01661706222592052,-0.0003853513437157563,-0.014846147549569436
2495.png,2.4433167992591907,clean_bridge_candidate,0.9018267978348093,0.8982997064812122,0.9113585227713554,0.9277124658290578,0.9149328700898207,0.19462537007515374,0.2004206192947915,0.296883424997304,0.26859340738344295,0.3031021963406305,1.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,0.028290017613861074,0.012779595739237037,0.0035270913535971893,-0.005795249219637755
4099.png,2.4162556427875184,clean_bridge_candidate,0.8956663793879678,0.8765063157147376,0.8900919849136951,0.8964620455247708,0.8741760222473993,0.1387416568511975,0.1262405535828098,0.20533091411785034,0.24628477622256784,0.19893727319854848,1.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.006393640919301863,0.022286023277371503,0.0191600636732302,0.012501103268387687
14169.png,2.407335963146368,clean_bridge_candidate,0.9401795821472926,0.9317152848576534,0.9354409425817132,0.9686792281909593,0.9624060150375939,0.34349437627811863,0.30869511745172795,0.17865000440024642,0.20012320689958638,0.22010032561823462,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.006273213153365376,0.008464297289639156,0.03479925882639068
1744.png,2.2367431113923217,clean_bridge_candidate,0.9208560086754947,0.9118684927091483,0.9254813539044063,0.9007084376743523,0.8809733881745404,0.13488256954544048,0.11947255443115609,0.20102684615188127,0.17957035939615315,0.21428388975452758,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.021456486755728116,0.019735049499811863,0.008987515966346393,0.015410015114284387
2017.png,2.2189017331534404,clean_bridge_candidate,0.914707526772414,0.913270338201139,0.9345144510931206,0.9391513789089158,0.9218417566536872,0.158876316816231,0.1280426058583055,0.3396661091299271,0.33038785621863853,0.33401710480638747,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.009278252911288587,0.017309622255228585,0.00143718857127495,0.030833710957925475
12936.png,2.2149874597553985,clean_bridge_candidate,0.8592208449279028,0.8387657540199913,0.8899882505720116,0.8420726416263791,0.8373620924755175,0.30808685245341083,0.2961620820293197,0.10050729232720355,0.13210737687592475,0.09511731135066583,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.005389980976537728,0.004710549150861554,0.020455090907911533,0.011924770424091125
15071.png,2.2143910748302775,clean_bridge_candidate,0.9461378111221049,0.9392350699348049,0.9398767912904838,0.972933459775565,0.9591828670776039,0.361892180914638,0.3285628382441371,0.18316081250812075,0.17805015375286934,0.2352635454112348,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.005110658755251407,0.013750592697961084,0.006902741187300054,0.03332934267050086
1944.png,2.2100635601668195,clean_bridge_candidate,0.9127469643484207,0.896631736526946,0.9179120879120879,0.919596305675555,0.8922240429018322,0.26894778831663857,0.2287161002403021,0.15940766550522648,0.1632030861124938,0.16730960676953707,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.027372262773722733,0.016115227821474676,0.04023168807633648
14123.png,2.209526498372857,clean_bridge_candidate,0.9304866867503696,0.915175382361022,0.9252542802331053,0.9423893268647665,0.9468617343844754,0.3633694255826757,0.31047025201351003,0.1315552891818999,0.18004195385076416,0.19820197782439317,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.004472407519708899,0.01531130438934758,0.05289917356916568
