rank,image,panel,summary
37,6918.png,panels/37_6918_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000043, Recall +0.000000, BIoU +0.000781, Gap -0.000179, Cnt +0.000000"
38,4047.png,panels/38_4047_r238_oracle_panel.jpg,"cut=16.0 px, Dice +0.000104, Recall +0.000000, BIoU +0.000704, Gap -0.000587, Cnt +0.000000"
39,3567.png,panels/39_3567_r238_oracle_panel.jpg,"cut=2.0 px, Dice +0.000028, Recall +0.000000, BIoU +0.000665, Gap -0.000104, Cnt +0.000000"
40,11852.png,panels/40_11852_r238_oracle_panel.jpg,"cut=3.0 px, Dice +0.000024, Recall +0.000000, BIoU +0.000655, Gap -0.000130, Cnt +0.000000"
41,3249.png,panels/41_3249_r238_oracle_panel.jpg,"cut=56.0 px, Dice +0.000194, Recall +0.000000, BIoU +0.000653, Gap -0.001571, Cnt +0.000000"
42,1399.png,panels/42_1399_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000072, Recall +0.000000, BIoU +0.000549, Gap -0.000279, Cnt +0.000000"
43,15446.png,panels/43_15446_r238_oracle_panel.jpg,"cut=5.0 px, Dice +0.000055, Recall +0.000000, BIoU +0.000535, Gap -0.000235, Cnt +0.000000"
44,1736.png,panels/44_1736_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000014, Recall +0.000000, BIoU +0.000511, Gap -0.000109, Cnt +0.000000"
45,12627.png,panels/45_12627_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000055, Recall +0.000000, BIoU +0.000430, Gap -0.000206, Cnt +0.000000"
46,15067.png,panels/46_15067_r238_oracle_panel.jpg,"cut=5.0 px, Dice +0.000037, Recall +0.000000, BIoU +0.000421, Gap -0.000188, Cnt +0.000000"
47,1886.png,panels/47_1886_r238_oracle_panel.jpg,"cut=11.0 px, Dice +0.000023, Recall +0.000000, BIoU +0.000406, Gap -0.000253, Cnt +0.000000"
48,13867.png,panels/48_13867_r238_oracle_panel.jpg,"cut=16.0 px, Dice +0.000146, Recall +0.000000, BIoU +0.000390, Gap -0.000681, Cnt -1.000000"
49,15040.png,panels/49_15040_r238_oracle_panel.jpg,"cut=5.0 px, Dice +0.000035, Recall +0.000000, BIoU +0.000366, Gap -0.000189, Cnt +0.000000"
50,1934.png,panels/50_1934_r238_oracle_panel.jpg,"cut=6.0 px, Dice +0.000019, Recall +0.000000, BIoU +0.000351, Gap -0.000163, Cnt +0.000000"
51,1812.png,panels/51_1812_r238_oracle_panel.jpg,"cut=11.0 px, Dice +0.000028, Recall +0.000000, BIoU +0.000350, Gap -0.000282, Cnt +0.000000"
52,13436.png,panels/52_13436_r238_oracle_panel.jpg,"cut=11.0 px, Dice +0.000081, Recall +0.000000, BIoU +0.000327, Gap -0.000412, Cnt +0.000000"
53,3725.png,panels/53_3725_r238_oracle_panel.jpg,"cut=2.0 px, Dice +0.000028, Recall +0.000000, BIoU +0.000309, Gap -0.000111, Cnt +0.000000"
54,12827.png,panels/54_12827_r238_oracle_panel.jpg,"cut=5.0 px, Dice +0.000031, Recall +0.000000, BIoU +0.000295, Gap -0.000183, Cnt +0.000000"
55,1846.png,panels/55_1846_r238_oracle_panel.jpg,"cut=3.0 px, Dice +0.000007, Recall +0.000000, BIoU +0.000267, Gap -0.000070, Cnt +0.000000"
56,7259.png,panels/56_7259_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000033, Recall +0.000000, BIoU +0.000261, Gap -0.000163, Cnt +0.000000"
57,1828.png,panels/57_1828_r238_oracle_panel.jpg,"cut=4.0 px, Dice +0.000017, Recall +0.000000, BIoU +0.000243, Gap -0.000112, Cnt +0.000000"
58,1660.png,panels/58_1660_r238_oracle_panel.jpg,"cut=11.0 px, Dice +0.000029, Recall +0.000000, BIoU +0.000001, Gap -0.000255, Cnt +0.000000"
59,1590.png,panels/59_1590_r238_oracle_panel.jpg,"cut=2.0 px, Dice +0.000051, Recall +0.000000, BIoU +0.000000, Gap -0.000163, Cnt +0.000000"
60,1742.png,panels/60_1742_r238_oracle_panel.jpg,"cut=24.0 px, Dice +0.000055, Recall +0.000000, BIoU -0.000047, Gap -0.000599, Cnt -1.000000"
61,2024.png,panels/61_2024_r238_oracle_panel.jpg,"cut=2.0 px, Dice +0.000027, Recall +0.000000, BIoU -0.000102, Gap -0.000108, Cnt +0.000000"
