dataset,split,protocol,backbone,checkpoint,prior_alpha,selected,hard_gate_pass,seed_count,uncertainty_unit,source_json,n_cases,dice_mean,dice_sd,iou_mean,iou_sd,precision_mean,precision_sd,recall_mean,recall_sd,boundary_iou_mean,boundary_iou_sd,boundary_f1_mean,boundary_f1_sd,surface_dice_2px_mean,surface_dice_2px_sd,surface_dice_5px_mean,surface_dice_5px_sd,gap_region_fp_rate_mean,gap_region_fp_rate_sd,component_merge_rate_mean,component_merge_rate_sd,hd95_px_mean,hd95_px_sd,assd_px_mean,assd_px_sd,component_count_mae_mean,component_count_mae_sd,delta_dice,delta_iou,delta_precision,delta_recall,delta_boundary_iou,delta_boundary_f1,delta_surface_dice_2px,delta_surface_dice_5px,delta_gap_region_fp_rate,delta_component_merge_rate,delta_hd95_px,delta_assd_px,delta_component_count_mae
TSRS_RSNA-Epiphysis,original-val,R201,nnU-Net v2 2D,ema_best,0.035,True,True,1,case-wise SD,outputs/analysis/r317_image_centers_only_ema_best_original_val_r201.json,96,90.28583903238085,5.046049905680965,82.63687488131889,7.60010477649615,90.9300321134217,6.544222683536062,90.17662627461775,6.189117891693173,24.524544778342836,8.380103066461874,38.67457632733853,10.756351698393338,66.84083882252784,15.293857339729882,91.33118652600612,8.867586150714398,18.17369075857448,9.069025246337748,50.0,50.26246899500346,14.008440946406063,57.88352293737632,4.047526459376801,15.410895607723651,1.8541666666666667,2.397275500346467,0.00998517306899771,0.017303984292794894,-0.19935784292998449,0.21343059245680251,0.060364418472346415,0.08078060305297896,0.11272506376619162,0.11005728047878449,0.6536889946732991,0.0,-1.8556427030288258,-0.27286808210180435,-0.05208333333333326
TSRS_RSNA-Epiphysis,original-val,R201,nnU-Net v2 2D,epoch003,0.035,False,False,1,case-wise SD,outputs/analysis/r317_image_centers_only_epoch003_original_val_r201.json,96,90.29372477849779,5.02242211692689,82.64691979937817,7.5680557272281765,91.17188955513514,6.544154485957727,89.95125955316698,6.137412217666514,24.552150262484894,8.366894699697646,38.713415357195316,10.726577699348237,66.89866983382564,15.245756304660175,91.3291759734092,8.820102716028115,17.514825152176464,8.935808570429515,46.875,50.1642040544954,13.906754436476247,57.864596572809305,4.167148399409178,15.367776101686673,1.8229166666666667,2.3973441079515103,0.017870919185938305,0.02734890235207388,0.042499598783450665,-0.011936128993966122,0.08796990261440385,0.1196196329097674,0.17055607506398474,0.1080467278818702,-0.005176611724717617,-3.125,-1.9573292129586424,-0.15324614206942755,-0.08333333333333326
TSRS_RSNA-Epiphysis,original-val,R201,nnU-Net v2 2D,epoch006,0.035,False,False,1,case-wise SD,outputs/analysis/r317_image_centers_only_epoch006_original_val_r201.json,96,90.29881090694482,4.966601646959699,82.64860210173158,7.501454653474203,91.28325307560324,6.597416122970122,89.8434833840291,5.976937543279061,24.527810162564997,8.388571179805975,38.67784437453183,10.760175118687625,66.88209505846562,15.278649499145622,91.30156489199234,8.85626329207642,17.082323877956988,8.74498429083641,47.91666666666667,50.2188194262012,16.463215262006912,63.0044599454274,4.3051473497853445,15.536425786560173,1.8229166666666667,2.3708527964545034,0.02295704763297124,0.0290312047054897,0.15386311925155383,-0.11971229813184436,0.06362980269450702,0.08404865024628094,0.15398129970397179,0.08043564646500556,-0.43767788594419343,-2.0833333333333286,0.5991316125720232,-0.015247191693260831,-0.08333333333333326
TSRS_RSNA-Epiphysis,original-val,R201,nnU-Net v2 2D,epoch009,0.035,False,False,1,case-wise SD,outputs/analysis/r317_image_centers_only_epoch009_original_val_r201.json,96,90.30048788610846,5.003469741389799,82.65600890529042,7.54873199000436,91.08836055162422,6.6331573099198,90.03696630640476,5.991102292455259,24.577678077177264,8.425108145920214,38.73661339744312,10.80018099516592,66.91414713875581,15.32434539970026,91.30877220358693,8.882370240868617,17.50253945679051,8.82064970940941,47.91666666666667,50.2188194262012,16.385944563877054,63.029468607572106,4.335123653584986,15.51435016644688,1.8125,2.3899460465171924,0.024634026796604758,0.03643800826432653,-0.04102940472746752,0.07377062424382075,0.1134977173067746,0.1428176731575732,0.18603337999415714,0.08764295805958966,-0.01746230711066943,-2.0833333333333286,0.5218609144421649,0.01472911210638106,-0.09375
TSRS_RSNA-Epiphysis,original-val,R201,nnU-Net v2 2D,epoch012,0.035,False,False,1,case-wise SD,outputs/analysis/r317_image_centers_only_epoch012_original_val_r201.json,96,90.3261405687641,4.9635993495101465,82.69389752310353,7.501147153587992,91.1732767908991,6.606294996907512,90.00037731859986,5.948858555256404,24.599602299269364,8.40683995005409,38.76839810679794,10.772716991323275,66.9437523991332,15.283015737019204,91.33148337060032,8.877499412535292,17.34139449040189,8.78539913006658,46.875,50.1642040544954,15.986790348711034,62.80713860676337,4.272462904075085,15.511488981751238,1.8854166666666667,2.4273433243023304,0.050286709452251444,0.07432662607743623,0.043886834547407716,0.037181636438916144,0.13542193939887426,0.1746023825123899,0.21563864037155156,0.11035412507298759,-0.17860727349929206,-3.125,0.12270669927614541,-0.047931637403520355,-0.02083333333333326
TSRS_RSNA-Epiphysis,original-val,R201,nnU-Net v2 2D,epoch015,0.035,False,False,1,case-wise SD,outputs/analysis/r317_image_centers_only_epoch015_original_val_r201.json,96,90.26650218793874,4.961074689826535,82.59430069172102,7.4980741388060075,91.43870795742775,6.598131322723373,89.63301525056475,5.998746596670926,24.51052746549461,8.415714502045413,38.6508264180118,10.7945761629713,66.80146632335531,15.362678071353827,91.24915905658439,8.930048035155481,16.620791437640797,8.577499755349676,45.83333333333333,50.087642486191754,16.008425747851174,62.81833377119883,4.275404494879177,15.484953388471634,1.8645833333333333,2.452151758275584,-0.009351671373110548,-0.025270205305076843,0.3093180010760648,-0.33018043159619026,0.04634710562412181,0.057030693726254356,0.07335256459366235,0.02802981105705271,-0.8992103262603841,-4.166666666666671,0.14434209841628487,-0.044990046599428624,-0.04166666666666674
