min_contacts,min_channel_frac,max_channel_frac,max_mean_dist,max_dist,min_area,max_area,max_fill,min_ring_bg,max_ring_fg,min_cut_slenderness,min_cut_mean_image,max_cut_p90_grad,max_rank,top_k_per_image,num_rows,num_images,num_safe_useful,num_risk,safe_rate,risk_rate,mean_delta_dice,mean_delta_iou,mean_delta_recall,mean_delta_boundary_iou,mean_delta_boundary_f1,mean_delta_gap_region_fp_rate,mean_delta_component_count_mae,mean_delta_merged_pred_components,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_cut_area,mean_cut_mean_dist_in,mean_cut_bg_channel_frac_after,mean_cut_bg_channel_border_contacts_after,passes_gate
2,0.1,,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
2,0.1,,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
2,0.1,,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
2,0.1,,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
2,0.1,,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
2,0.1,,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
2,0.1,,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
2,0.1,,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
2,0.1,,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
2,0.1,,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,3,1,1.0,0.3333333333333333,0.00016712213428909714,0.0002672078762399,0.0,0.00014444111797662492,0.00018881603430860602,-0.0007252195414182333,0.0,0.0,0.0,0.9045454545454547,19.333333333333332,1.401037594249394,0.42392285382978234,3.6666666666666665,True
