accepted,action_frac,bg_a_area,bg_b_area,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,bg_pair_distance,bridge_score_mean,bridge_score_p90,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,component_area,corridor_radius,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,overerosion_proxy,pred_component_id,r242_key,r242_risk_label,r242_risk_prob,r242_safe_useful_label,r242_useful_prob,reject_reason,ring_bg_frac,ring_fg_frac,run_id,seam_prob_mean,seam_prob_p90,split
0.0,0.25,1.0,1.0,0.0,1.0,2.0,1.0,44.94441010848846,1.10707860874633,1.4482317566871643,0.435981138919115,0.2787569573283859,1.0,-1.0,0.902386439669913,bg_seed,0.13884777722962233,0.8221349227851531,0.9048417756904842,0.8999443929564411,4195.0,1.0,0.0,0.00022358859698155394,6.0,3.0,2.0,0.004048582995951417,0.0,1.0,1.0,0.0,3.0,2.5,0.015429609455168247,0.716993510723114,0.017912428826093674,1.5,0.01248690951615572,-0.00039569898250052526,-0.00032360919123330945,0.0,0.0,-0.00012238768559702518,0.0,-0.0002031969655919008,-2.1276293864613827e-05,-0.00022242817423545613,10375.png,1.0,19.0,10375.png|bg_seed|19|1|0.2500|6|44.944|1.448,1.0,0.515971302986145,0.0,0.5288834571838379,low_mean_prob,0.19444444444444445,0.8055555555555556,R239-gtfree-bg-channel-seam-prob-editor,0.011513631282481252,0.013702043613975852,val
0.0,0.25,1.0,1.0,0.0,2.0,4.0,2.0,58.0,0.829782097831837,1.0405089303851127,0.43587574036020793,0.2786707882534776,1.0,-1.0,0.9024272385979258,bg_seed,0.13884777722962233,0.8222026551070171,0.9048488688457381,0.9000185356811863,4195.0,1.0,0.0,0.00014905906465436928,4.0,39.0,37.0,0.0007305936073059361,0.0,0.002772002772002772,1.0,0.0,3.0,2.4571067811865475,0.02333109825849533,0.7225490212440491,0.030573680996894836,1.054054054054054,0.02900039032101631,-0.0005010975414075913,-0.00040977826614163604,0.0,0.0,-8.158875758423889e-05,0.0,-0.00013546464372793388,-1.4183138610679435e-05,-0.0001482854494903041,10375.png,1.0,19.0,10375.png|bg_seed|19|1|0.2500|4|58.000|1.041,1.0,0.515788733959198,0.0,0.5288171172142029,low_mean_prob,0.125,0.875,R239-gtfree-bg-channel-seam-prob-editor,0.016303821065822444,0.023635925113704836,val
0.0,0.25,1.0,1.0,0.0,1.0,2.0,1.0,75.16648189186454,1.0333405754049338,1.4093606233596803,0.4737876502582385,0.31043363679923336,1.0,-1.0,0.9385930258327472,bg_seed,0.1479247206763244,0.8842913686045245,0.9331532360041384,0.944096609742387,13046.0,1.0,0.0,7.663128855511705e-05,4.0,2.0,2.0,0.002770083102493075,0.0,1.0,1.0,0.0,3.0,2.4571067811865475,0.03458041697740555,0.7284313440322876,0.044234082102775574,1.0,0.008931796997785568,-0.00023832376773552655,-0.00020466107310707082,0.0,0.0,-4.0907126101275004e-05,0.0,-7.262427829624052e-05,-5.122553660807938e-06,-7.753590881776073e-05,11945.png,1.0,19.0,11945.png|bg_seed|19|1|0.2500|4|75.166|1.409,1.0,0.5158531069755554,0.0,0.5291458368301392,low_mean_prob,0.21875,0.78125,R239-gtfree-bg-channel-seam-prob-editor,0.0014546554113454631,0.0022043805229523595,val
0.0,0.25,1.0,1.0,1.0,1.0,2.0,1.0,119.03780911962384,0.9851324809715152,1.4618663012981414,0.47359283625730997,0.3102663873091889,1.0,-1.0,0.9385521155532429,bg_seed,0.1479247206763244,0.8842187443262283,0.9331481126652615,0.9440190738335692,13046.0,1.0,1.0,0.0001532625771102341,8.0,22.0,33.0,0.4135432283858071,4.0,0.011019283746556474,1.0,0.0,3.0,2.0,0.049214087426662445,0.7102941274642944,0.07006841897964478,1.5,0.01586145907640457,-0.0004331377686640492,-0.00037191056315155624,0.0,0.0,-8.181740560553319e-05,0.0,-0.00014524855659248104,-1.0245892537619206e-05,-0.00015507181763552147,11945.png,1.0,19.0,11945.png|bg_seed|19|1|0.2500|8|119.038|1.462,1.0,0.5157590508460999,0.0,0.5289572477340698,low_mean_prob,0.25,0.75,R239-gtfree-bg-channel-seam-prob-editor,0.002330189295627301,0.0035603406126902067,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,31.0,0.8592216809816517,1.25,0.32179170101676285,0.19174717537252334,1.0,1.0,0.8874473321930666,bg_seed,0.19416296792563437,0.7976677040758934,0.8968192070150292,0.8782693061949095,6579.0,1.0,1.0,0.00025288179883252904,12.0,3.0,30.0,0.4226884226884227,4.0,0.13333333333333333,0.75,0.25,1.4142135623730951,1.1035533905932737,0.05465926229953766,0.7777777314186096,0.06539519876241684,10.0,0.016431115567684174,-0.0003485710983134327,-0.0002475824497886747,0.0,0.0,-7.665212327612192e-05,-0.000125617619964824,-0.0001238633862838956,3.7127905173073295e-05,-0.00018578535598534618,10618.png,1.0,19.0,10618.png|bg_seed|19|1|0.2500|12|31.000|1.250,1.0,0.4714665412902832,0.0,0.530158519744873,low_mean_prob,0.41836734693877553,0.5816326530612245,R239-gtfree-bg-channel-seam-prob-editor,0.10947022341672445,0.10947022341672447,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,58.249463516842795,0.9572468040723843,1.2238923446890162,0.32187800302018027,0.19180846422338568,1.0,1.0,0.8873847565808686,bg_seed,0.1942885855455992,0.7975665998012785,0.896755970573976,0.8782073777429144,6579.0,1.0,1.0,0.00025288179883252904,12.0,49.0,12.0,0.2786764705882353,4.0,0.02040816326530612,1.0,0.0,3.1622776601683795,1.8719033949928459,0.037878457456827164,0.8130719065666199,0.06319636106491089,4.083333333333333,0.014614822342991829,-0.00026226909489601713,-0.00018629359892632924,0.0,0.0,-0.00013922773547414558,0.0,-0.00022496766089874498,-2.6108535880031702e-05,-0.0002477138079804986,10618.png,1.0,19.0,10618.png|bg_seed|19|1|0.2500|12|58.249|1.224,1.0,0.47171786427497864,0.0,0.5300940871238708,low_mean_prob,0.2361111111111111,0.7638888888888888,R239-gtfree-bg-channel-seam-prob-editor,0.17759135956406605,0.10947022341672447,val
