useful_threshold,risk_threshold,accepted,positive,strict_useful,hard_risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.25,0.35,15,3,3,9,0.2,0.6,-12.0,13436.png|1399.png|1855.png|2044.png|2246.png|3354.png|3366.png|3392.png|3493.png|3678.png|3725.png|3777.png|7259.png|7269.png|8253.png,2044.png|3354.png|3678.png,13436.png|1399.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png|8253.png
0.15,0.4,24,8,5,11,0.20833333333333334,0.4583333333333333,-12.2,10520.png|13436.png|13867.png|1399.png|15067.png|1828.png|1855.png|1934.png|2044.png|2246.png|2248.png|3269.png|3354.png|3366.png|3392.png|3493.png|3602.png|3678.png|3725.png|3777.png|4193.png|7259.png|7269.png|8253.png,10520.png|13867.png|2044.png|3354.png|3678.png,13436.png|1399.png|1828.png|2248.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png|8253.png
0.2,0.45,24,9,5,11,0.20833333333333334,0.4583333333333333,-12.2,10520.png|13436.png|13867.png|1399.png|15067.png|1828.png|1855.png|2044.png|2246.png|2248.png|3269.png|3354.png|3366.png|3392.png|3493.png|3602.png|3678.png|3725.png|3777.png|4193.png|7259.png|7269.png|7654.png|8253.png,10520.png|13867.png|2044.png|3354.png|3678.png,13436.png|1399.png|1828.png|2248.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png|8253.png
0.3,0.4,19,6,4,10,0.21052631578947367,0.5263157894736842,-12.2,10520.png|13436.png|1399.png|15067.png|1855.png|2044.png|2246.png|2248.png|3354.png|3366.png|3392.png|3602.png|3678.png|3725.png|3777.png|4193.png|7259.png|7269.png|8253.png,10520.png|2044.png|3354.png|3678.png,13436.png|1399.png|2248.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png|8253.png
0.3,0.45,19,6,4,10,0.21052631578947367,0.5263157894736842,-12.2,10520.png|13436.png|1399.png|15067.png|1855.png|2044.png|2246.png|2248.png|3354.png|3366.png|3392.png|3602.png|3678.png|3725.png|3777.png|4193.png|7259.png|7269.png|8253.png,10520.png|2044.png|3354.png|3678.png,13436.png|1399.png|2248.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png|8253.png
0.3,0.35,14,3,3,9,0.21428571428571427,0.6428571428571429,-12.2,13436.png|1399.png|1855.png|2044.png|2246.png|3354.png|3366.png|3392.png|3678.png|3725.png|3777.png|7259.png|7269.png|8253.png,2044.png|3354.png|3678.png,13436.png|1399.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png|8253.png
0.2,0.4,23,8,5,11,0.21739130434782608,0.4782608695652174,-12.399999999999999,10520.png|13436.png|13867.png|1399.png|15067.png|1828.png|1855.png|2044.png|2246.png|2248.png|3269.png|3354.png|3366.png|3392.png|3493.png|3602.png|3678.png|3725.png|3777.png|4193.png|7259.png|7269.png|8253.png,10520.png|13867.png|2044.png|3354.png|3678.png,13436.png|1399.png|1828.png|2248.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png|8253.png
0.65,0.7,8,1,0,7,0.0,0.875,-12.4,13436.png|1399.png|3366.png|3392.png|3596.png|3602.png|3840.png|7259.png,,13436.png|1399.png|3366.png|3392.png|3596.png|3840.png|7259.png
0.65,0.75,8,1,0,7,0.0,0.875,-12.4,13436.png|1399.png|3366.png|3392.png|3596.png|3602.png|3840.png|7259.png,,13436.png|1399.png|3366.png|3392.png|3596.png|3840.png|7259.png
0.65,0.8,8,1,0,7,0.0,0.875,-12.4,13436.png|1399.png|3366.png|3392.png|3596.png|3602.png|3840.png|7259.png,,13436.png|1399.png|3366.png|3392.png|3596.png|3840.png|7259.png
0.15,0.45,27,10,6,12,0.2222222222222222,0.4444444444444444,-12.6,10520.png|13436.png|13867.png|1399.png|15067.png|1828.png|1855.png|1934.png|2044.png|2246.png|2248.png|3058.png|3269.png|3354.png|3366.png|3392.png|3460.png|3493.png|3602.png|3678.png|3725.png|3777.png|4193.png|7259.png|7269.png|7654.png|8253.png,10520.png|13867.png|2044.png|3354.png|3460.png|3678.png,13436.png|1399.png|1828.png|2248.png|3058.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png|8253.png
0.25,0.3,12,1,1,8,0.08333333333333333,0.6666666666666666,-12.6,13436.png|1399.png|1855.png|2044.png|2246.png|3366.png|3392.png|3493.png|3725.png|3777.png|7259.png|7269.png,2044.png,13436.png|1399.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png
0.3,0.3,11,1,1,8,0.09090909090909091,0.7272727272727273,-12.8,13436.png|1399.png|1855.png|2044.png|2246.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png,2044.png,13436.png|1399.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png
0.35,0.3,11,1,1,8,0.09090909090909091,0.7272727272727273,-12.8,13436.png|1399.png|1855.png|2044.png|2246.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png,2044.png,13436.png|1399.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png
0.4,0.3,11,1,1,8,0.09090909090909091,0.7272727272727273,-12.8,13436.png|1399.png|1855.png|2044.png|2246.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png,2044.png,13436.png|1399.png|3366.png|3392.png|3725.png|3777.png|7259.png|7269.png
0.6,0.7,11,2,1,8,0.09090909090909091,0.7272727272727273,-12.8,13436.png|1399.png|1418.png|2246.png|2248.png|3366.png|3392.png|3596.png|3602.png|3840.png|7259.png,1418.png,13436.png|1399.png|2248.png|3366.png|3392.png|3596.png|3840.png|7259.png
0.6,0.75,11,2,1,8,0.09090909090909091,0.7272727272727273,-12.8,13436.png|1399.png|1418.png|2246.png|2248.png|3366.png|3392.png|3596.png|3602.png|3840.png|7259.png,1418.png,13436.png|1399.png|2248.png|3366.png|3392.png|3596.png|3840.png|7259.png
0.6,0.8,11,2,1,8,0.09090909090909091,0.7272727272727273,-12.8,13436.png|1399.png|1418.png|2246.png|2248.png|3366.png|3392.png|3596.png|3602.png|3840.png|7259.png,1418.png,13436.png|1399.png|2248.png|3366.png|3392.png|3596.png|3840.png|7259.png
0.4,0.5,20,7,5,11,0.25,0.55,-13.0,10520.png|13436.png|1399.png|1418.png|1855.png|1880.png|2044.png|2246.png|2248.png|3354.png|3366.png|3392.png|3602.png|3678.png|3725.png|3777.png|3840.png|5882.png|7259.png|7269.png,10520.png|1418.png|2044.png|3354.png|3678.png,13436.png|1399.png|2248.png|3366.png|3392.png|3725.png|3777.png|3840.png|5882.png|7259.png|7269.png
0.5,0.7,15,4,2,9,0.13333333333333333,0.6,-13.0,12627.png|13436.png|1399.png|1418.png|1855.png|1880.png|2044.png|2246.png|2248.png|3366.png|3392.png|3596.png|3602.png|3840.png|7259.png,1418.png|2044.png,12627.png|13436.png|1399.png|2248.png|3366.png|3392.png|3596.png|3840.png|7259.png
0.5,0.75,15,4,2,9,0.13333333333333333,0.6,-13.0,12627.png|13436.png|1399.png|1418.png|1855.png|1880.png|2044.png|2246.png|2248.png|3366.png|3392.png|3596.png|3602.png|3840.png|7259.png,1418.png|2044.png,12627.png|13436.png|1399.png|2248.png|3366.png|3392.png|3596.png|3840.png|7259.png
0.5,0.8,15,4,2,9,0.13333333333333333,0.6,-13.0,12627.png|13436.png|1399.png|1418.png|1855.png|1880.png|2044.png|2246.png|2248.png|3366.png|3392.png|3596.png|3602.png|3840.png|7259.png,1418.png|2044.png,12627.png|13436.png|1399.png|2248.png|3366.png|3392.png|3596.png|3840.png|7259.png
0.45,0.5,17,5,3,10,0.17647058823529413,0.5882352941176471,-13.6,13436.png|1399.png|1418.png|1855.png|1880.png|2044.png|2246.png|2248.png|3354.png|3366.png|3392.png|3602.png|3725.png|3777.png|3840.png|5882.png|7259.png,1418.png|2044.png|3354.png,13436.png|1399.png|2248.png|3366.png|3392.png|3725.png|3777.png|3840.png|5882.png|7259.png
