threshold,max_cut_frac,max_rank,min_gradient,min_dist,min_slenderness,max_fill,accepted,positive,strict_useful,risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.8,0.006,2,1.4,0.1,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.1,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.11,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.4,0.12,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.09,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.1,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.11,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.6,0.12,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.09,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.1,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.11,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,1.8,0.12,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.09,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.1,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.11,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,3.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,4.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,4.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,2,2.0,0.12,4.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,3,2.0,0.09,1.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,3,2.0,0.09,1.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,3,2.0,0.09,1.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,3,2.0,0.09,2.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,3,2.0,0.09,2.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,3,2.0,0.09,2.0,1.0,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,3,2.0,0.09,3.0,0.8,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
0.8,0.006,3,2.0,0.09,3.0,0.9,1,1,1,0,1.0,0.0,1.25,15446.png,15446.png,
