dataset,split,protocol,backbone,method,experiment,prior_alpha,seed_count,uncertainty_unit,pairing_status,source_json,n_cases,dice_mean,dice_sd,iou_mean,iou_sd,precision_mean,precision_sd,recall_mean,recall_sd,boundary_iou_mean,boundary_iou_sd,boundary_f1_mean,boundary_f1_sd,surface_dice_2px_mean,surface_dice_2px_sd,surface_dice_5px_mean,surface_dice_5px_sd,gap_region_fp_rate_mean,gap_region_fp_rate_sd,component_merge_rate_mean,component_merge_rate_sd,hd95_px_mean,hd95_px_sd,assd_px_mean,assd_px_sd,component_count_mae_mean,component_count_mae_sd,delta_dice,delta_iou,delta_precision,delta_recall,delta_boundary_iou,delta_boundary_f1,delta_surface_dice_2px,delta_surface_dice_5px,delta_gap_region_fp_rate,delta_component_merge_rate,delta_hd95_px,delta_assd_px,delta_component_count_mae
TSRS_RSNA-Epiphysis,original-val,R201,U-Net,Baseline,R320_UNet_plain_seed3201,0.0,1,case-wise SD,exact paired seed 3201,outputs/analysis/r320_unet_seed3201_plain_original_val_r201.json,96,86.6623678118224,6.113971489499598,76.91146318124552,8.416631605972105,79.93796219748104,8.200781798300971,95.36995951722065,5.0291342498769005,15.01940017777289,7.023563178065086,25.49897956540122,10.240665765312427,46.87586737355653,16.844106582076538,78.94531098571,16.466295555141375,44.82340914535847,15.633065580094737,83.33333333333334,37.46343246326776,26.62810877847519,79.08727278025427,7.3666204454139566,20.92580978650689,4.270833333333333,3.18377189961403,,,,,,,,,,,,,
TSRS_RSNA-Epiphysis,original-val,R201,U-Net,+ Ours,R320_UNet_prior_seed3201,0.035,1,case-wise SD,exact paired seed 3201,outputs/analysis/r320_unet_seed3201_prior_original_val_r201.json,96,87.35371402912327,5.8134018756987995,77.9656136495223,8.22198992814484,82.1295383225381,7.247712585092923,93.89553374769163,6.205464250951581,16.992742022004535,6.786833201203879,28.498770901791588,9.608717040701478,51.6591291557694,15.358417192621577,83.15184669639902,12.836311031205353,38.35585562228063,12.918161152466096,66.66666666666666,47.38791022072739,21.861408648778582,70.02212408601164,5.810070680628075,17.120452811951903,2.71875,2.6024406560805673,0.6913462173008611,1.0541504682767737,2.191576125057054,-1.4744257695290202,1.9733418442316442,2.9997913363903663,4.783261782212868,4.206535710689025,-6.467553523077839,-16.666666666666686,-4.766700129696609,-1.5565497647858813,-1.552083333333333
TSRS_RSNA-Epiphysis,original-val,R201,nnU-Net v2 2D,Baseline,R260_mature_baseline,,1,case-wise SD,mature historical paired chain,outputs/analysis/r260_mature_baseline_original_val_r201.json,96,89.7111622494327,6.733645315811751,81.92153504568374,9.625182772475469,88.64863442763075,9.782877213304383,91.62382794735201,5.0467860925130905,23.989332340874725,8.76099429098328,37.90173916116593,11.386910931613555,65.45112433415333,16.467471638182772,89.64598518860373,11.81372503238885,20.554692036837064,9.108133330845066,57.291666666666664,49.72512161169891,54.34135250509038,211.78861168467046,14.173772263935398,61.700631016653624,5.666666666666667,25.376602014938122,,,,,,,,,,,,,
TSRS_RSNA-Epiphysis,original-val,R201,nnU-Net v2 2D,+ Ours (R317),R317_image_centers_only_ema_best,0.035,1,case-wise SD,mature historical paired chain,outputs/analysis/r317_image_centers_only_ema_best_original_val_r201.json,96,90.28583903238085,5.046049905680965,82.63687488131889,7.60010477649615,90.9300321134217,6.544222683536062,90.17662627461775,6.189117891693173,24.524544778342836,8.380103066461874,38.67457632733853,10.756351698393338,66.84083882252784,15.293857339729882,91.33118652600612,8.867586150714398,18.17369075857448,9.069025246337748,50.0,50.26246899500346,14.008440946406063,57.88352293737632,4.047526459376801,15.410895607723651,1.8541666666666667,2.397275500346467,0.5746767829481456,0.7153398356351488,2.2813976857909495,-1.4472016727342663,0.5352124374681111,0.7728371661726001,1.3897144883745085,1.6852013374023898,-2.381001278262584,-7.291666666666664,-40.332911558684316,-10.126245804558597,-3.8125
