accepted,action_frac,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,corridor_radius,cut_area,cut_gt_fg_frac,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,hard_risk,image,overerosion_proxy,pred_component_id,quick_useful,reject_reason,safe_gap_positive,seam_prob_mean,seam_prob_p90
0.0,0.5,0.4078297400858686,0.2561470656460218,1.0,1.0,0.8739203914135519,0.19517915309446254,0.7760733652841578,0.8567766976071475,0.8917641678417623,1.0,50.0,0.72,0.28,0.00019530152359498176,0.00015406477113116823,0.0,0.0,-0.0002641553391009577,-0.000608034744842556,-0.0004167283907157149,0.00012509072232735896,-0.0006860017531156171,0.0,11852.png,1.0,19.0,1.0,recall_drop,0.0,0.4768482951874347,0.9994669518154168
0.0,0.5,0.4050179211469534,0.2539325842696629,3.0,3.0,0.8733644859813084,0.19435396308360478,0.7751970136872667,0.8569935072080995,0.8903731087312778,2.0,149.0,0.7315436241610739,0.2684563758389262,-0.0026165174153202075,-0.0020604166052277106,2.0,2.0,-0.0008200607713444441,-0.0014332247557003186,-0.00129307998760686,0.00034190032327940933,-0.0020770608636000443,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,0.0,0.30630260481013993,0.9994669518154168
0.0,0.5,0.4069868995633188,0.25548245614035087,1.0,1.0,0.8734652688232326,0.19444082519001085,0.7753558276102319,0.8569228512760341,0.8906589427950761,2.0,127.0,0.7401574803149606,0.25984251968503935,-0.0006475389989548108,-0.000510544734539764,0.0,0.0,-0.0007192779294202811,-0.001346362649294247,-0.0011342660646416203,0.00027124439121395394,-0.001791226799801815,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,0.0,0.28424180654727615,0.9994669518154168
0.0,0.5,0.40616492086198147,0.2548349739432542,1.0,1.0,0.8739155203167754,0.19483170466883823,0.776065682534417,0.8569256973315507,0.8915926674034834,1.0,70.0,0.6428571428571429,0.35714285714285715,-0.0014695177002921334,-0.0011580269316364133,0.0,0.0,-0.0002690264358774508,-0.0009554831704668698,-0.0004244111404565487,0.00027409044673054606,-0.0008575021913944658,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,0.0,0.202455388570753,0.9993585643751238
0.0,0.35,0.4087354832739555,0.25686206094440567,1.0,1.0,0.874109618454587,0.19517915309446254,0.776371867796554,0.8568238803784842,0.8921071687183201,1.0,32.0,0.5625,0.4375,0.0011010447116818756,0.0008690600695150374,0.0,0.0,-7.492829806587942e-05,-0.000608034744842556,-0.00011822587831955556,0.00017227349366411016,-0.00034300087655780853,0.0,11852.png,1.0,19.0,1.0,low_mean_prob,0.0,0.18287530083419476,0.9991962709819315
0.0,0.35,0.4054402950668511,0.25426473139420575,3.0,3.0,0.873667591528638,0.1947014115092291,0.7756747341704958,0.8569595894804362,0.8910400548801403,2.0,106.0,0.6981132075471698,0.3018867924528302,-0.002194143495422518,-0.0017282694806848853,2.0,2.0,-0.0005169552240148478,-0.0010857763300760048,-0.0008153595043777218,0.0003079825956160409,-0.0014101147147376203,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,0.0,0.07650976390185307,0.10643017947958636
0.0,0.35,0.40601156069364164,0.25471424427038003,1.0,1.0,0.8739787677052502,0.19522258414766558,0.776165442212972,0.8568185562858137,0.8918403902587752,1.0,48.0,0.6666666666666666,0.3333333333333333,-0.0016228778686319667,-0.0012787566045106002,0.0,0.0,-0.00020577904740270991,-0.0005646036916395203,-0.00032465146190152616,0.000166949400993599,-0.0006097793361027337,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,0.0,0.027879887492591817,0.04121389989232549
0.0,0.35,0.4077472907539774,0.2560820203892493,1.0,1.0,0.8738885152805799,0.1944842562432139,0.7760230910870395,0.857014619133111,0.8914402225694577,2.0,85.0,0.6235294117647059,0.3764705882352941,0.00011285219170381611,8.901951435869027e-05,0.0,0.0,-0.0002960314720730217,-0.0013029315960912113,-0.00046700258783405335,0.00036301224829093925,-0.0010099470254202325,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,0.0,0.026034987251522927,0.07381560361805006
0.0,0.25,0.40810660744031096,0.25636553889082664,1.0,1.0,0.8740708923168864,0.19474484256243213,0.7763107697921677,0.8569780642326144,0.8918594458630283,2.0,57.0,0.543859649122807,0.45614035087719296,0.0004721688780373601,0.0003725380159360081,0.0,0.0,-0.00011365443576649703,-0.001042345276872969,-0.00017932388270580635,0.00032645734779424007,-0.0005907237318495406,0.0,11852.png,1.0,19.0,1.0,low_mean_prob,0.0,0.020847668705449424,0.023373564872484844
0.0,0.25,0.4088781798804504,0.25697478012697306,1.0,1.0,0.874217065407126,0.19522258414766558,0.776541408245166,0.8568370203655926,0.8923167803651054,1.0,20.0,0.35,0.65,0.0012437413181767831,0.0009817792520824264,0.0,0.0,3.251865447306823e-05,-0.0005646036916395203,5.131457029250441e-05,0.00018541348077250053,-0.0001333892297724626,0.0,11852.png,0.0,19.0,1.0,low_mean_prob,0.0,0.0160839262480829,0.048647316212160785
0.0,0.25,0.40552654683240147,0.25433257984118707,2.0,2.0,0.873806899901003,0.1951357220412595,0.7758943824324549,0.8568576452487362,0.8914402225694577,2.0,75.0,0.7066666666666667,0.29333333333333333,-0.0021078917298721356,-0.001660421033703563,1.0,1.0,-0.000377646851649871,-0.0006514657980455918,-0.0005957112424186395,0.00020603836391608343,-0.0010099470254202325,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,0.0,0.013429114106311,0.027511589641075102
0.0,0.25,0.40633245382585753,0.25496688741721857,1.0,1.0,0.8740139102833403,0.19548317046688382,0.7762208772075284,0.856745428921793,0.8919928350928008,1.0,34.0,0.7058823529411765,0.29411764705882354,-0.001301984736416073,-0.001026113457672062,0.0,0.0,-0.00017063646931259058,-0.000304017372421278,-0.0002692164673451236,9.382203697283487e-05,-0.00045733450207707804,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,0.0,0.00867808033557603,0.019195331137881584
0.0,0.5,0.4562331711464878,0.2955324357405141,1.0,-1.0,0.9246687901965955,0.10558419243986254,0.8598920795441681,0.9487686574931823,0.9017629251498783,1.0,8.0,0.75,0.25,-4.490877784418812e-05,-3.7688639119515255e-05,0.0,0.0,-4.668664595819383e-05,-8.59106529209619e-05,-8.075269490814829e-05,3.309708106868925e-05,-0.0001187154983083305,1.0,13480.png,1.0,21.0,0.0,recall_drop,0.0,0.5053202279620946,0.9992407002702482
0.0,0.5,0.4543698468786808,0.2939706151313784,1.0,-1.0,0.9244099920858784,0.1056701030927835,0.8594445702211154,0.9487056667430285,0.9013276349894145,1.0,28.0,1.0,0.0,-0.0019082330456511865,-0.0015995092482551931,0.0,0.0,-0.000305484756675356,0.0,-0.0005282620179608566,-2.9893669085123697e-05,-0.000554005658772172,1.0,13480.png,1.0,21.0,0.0,recall_drop,0.0,0.46787129589296766,0.9994669518154168
0.0,0.35,0.4547126220000943,0.2942576432537987,1.0,-1.0,0.9244536433919767,0.1056701030927835,0.8595200362236812,0.9487099394015118,0.9014067786549534,1.0,24.0,1.0,0.0,-0.0015654579242376787,-0.0013124811258348745,0.0,0.0,-0.00026183345057706475,0.0,-0.00045279601539505165,-2.562101060177291e-05,-0.000474861993233211,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,0.0,0.37927201990589277,0.9991426077167188
0.0,0.5,0.45289582549830765,0.29273776967487086,1.0,-1.0,0.9238749758905278,0.1056701030927835,0.8585201116896838,0.9486532688458973,0.9003581250865634,2.0,77.0,1.0,0.0,-0.003382254426024356,-0.0028323547047627295,0.0,0.0,-0.0008405009520259243,0.0,-0.0014527205493924944,-8.229156621630818e-05,-0.0015235155616232232,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,0.0,0.35847284163180865,0.9994669518154168
0.0,0.5,0.4556257662925587,0.2950229007633588,1.0,-1.0,0.924478717467404,0.1054553264604811,0.8595633879884527,0.9488065980755613,0.901367206822184,2.0,31.0,0.8387096774193549,0.16129032258064516,-0.0006523136317733158,-0.0005472236162747945,0.0,0.0,-0.0002367593751497754,-0.00021477663230240474,-0.000409444250623614,7.103766344773721e-05,-0.0005144338260026915,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,0.0,0.339824348145062,0.9991437353223189
0.0,0.35,0.45364222818665534,0.2933617539585871,1.0,-1.0,0.9240715742892811,0.1056701030927835,0.8588597087012301,0.9486725294877673,0.9007142715814883,2.0,59.0,1.0,0.0,-0.0026358517376766644,-0.0022083704210464905,0.0,0.0,-0.0006439025532726239,0.0,-0.0011131235378462057,-6.303092434634117e-05,-0.0011673690666983427,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,0.0,0.17957941205785247,0.999093467655015
0.0,0.25,0.4554212315829241,0.2948514124984713,1.0,-1.0,0.9245736662169154,0.1056701030927835,0.8597275677307373,0.9487216855429713,0.9016244237351853,1.0,13.0,1.0,0.0,-0.0008568483414079231,-0.0007187118811622928,0.0,0.0,-0.0001418106256383389,0.0,-0.0002452645083389493,-1.3874869142282975e-05,-0.00025721691300140126,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,0.0,0.08388175887810909,0.022637044029512873
