stem,fold,checkpoint,checkpoint_sha256,num_proposals
13767,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,26
13798,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
1380,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,29
1382,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
1389,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,32
13890,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,29
1391,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
13923,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
1393,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
13982,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
1402,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,14
1404,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
1406,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,29
14090,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
1424,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
14271,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,24
1428,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,22
14297,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
