anchor_assd_px,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_component_merge_rate,anchor_dice,anchor_gap_region_fp_rate,anchor_gap_region_precision,anchor_gt_instance_count,anchor_gt_instances_covered,anchor_gt_instances_multi_covered,anchor_hd95_px,anchor_iou,anchor_merged_pred_components,anchor_precision,anchor_pred_component_count_instance_match,anchor_recall,anchor_specificity,anchor_surface_dice_2px,anchor_surface_dice_5px,cut_frac_anchor,cut_gt_fg_pixels,cut_pixels,delta_assd_px,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_component_merge_rate,delta_dice,delta_gap_region_fp_rate,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_hd95_px,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,delta_surface_dice_2px,delta_surface_dice_5px,has_target_gain,image,passes_instance_preserving_guard,promotable_oracle_case,r221_assd_px,r221_boundary_f1,r221_boundary_iou,r221_component_count_mae,r221_component_delta_mean,r221_component_merge_rate,r221_dice,r221_gap_region_fp_rate,r221_gap_region_precision,r221_gt_instance_count,r221_gt_instances_covered,r221_gt_instances_multi_covered,r221_hd95_px,r221_iou,r221_merged_pred_components,r221_precision,r221_pred_component_count_instance_match,r221_recall,r221_specificity,r221_surface_dice_2px,r221_surface_dice_5px,split,variant
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.06374494704688043,0.0,3485.0,,0.23882768831891038,0.22161618887877976,53.0,53.0,0.0,0.02938853551312881,-0.151357220412595,0.0,0.0,0.0,,0.04761689207209108,0.0,0.05832514457065596,53.0,0.0,,,1.0,11852.png,0.0,0.0,,0.646462126881184,0.4776091897536704,54.0,54.0,0.0,0.9035730822657817,0.0444299674267101,0.9555700325732899,26.0,26.0,0.0,,0.8241069857469646,1.0,0.9149767514554761,77.0,0.8924501695948779,0.9970453790937488,,,val,gap_all_k5
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.017852243419728926,0.0,976.0,,0.05850879659150249,0.04790971405723604,7.0,7.0,0.0,0.008035980123294872,-0.042388707926167196,0.0,0.0,0.0,,0.012771606050433593,0.0,0.015571132662623777,7.0,0.0,,,1.0,11852.png,0.0,0.0,,0.4661432351537761,0.30390271493212667,8.0,8.0,0.0,0.8822205268759478,0.1533984799131379,0.8466015200868621,26.0,26.0,0.0,,0.7892616997253071,1.0,0.8722227395474439,31.0,0.8924501695948779,0.9953419912596991,,,val,gap_between_instances_k5
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.002322986592526202,0.0,127.0,,0.0072273814588787455,0.00572665565794761,1.0,1.0,0.0,0.0010373702363773996,-0.005515743756786096,0.0,0.0,0.0,,0.0016384369292335998,0.0,0.0019946236813283003,1.0,0.0,,,1.0,11852.png,0.0,0.0,,0.41486182002115235,0.26171965653283824,2.0,2.0,0.0,0.8752219169890303,0.190271444082519,0.8097285559174809,26.0,26.0,0.0,,0.7781285306041071,1.0,0.8586462305661484,25.0,0.8924501695948779,0.9947655957750007,,,val,gap_between_instances_k5_maxfrac0.003
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.005560534835653271,0.0,304.0,,0.019211442829062342,0.015338254176489097,2.0,2.0,0.0,0.002487267557796824,-0.013203040173724201,0.0,0.0,0.0,,0.003933495333808157,0.0,0.004790076489285533,2.0,0.0,,,1.0,11852.png,0.0,0.0,,0.42684588139133595,0.2713312550513797,3.0,3.0,0.0,0.8766718143104497,0.1825841476655809,0.817415852334419,26.0,26.0,0.0,,0.7804235890086817,1.0,0.8614416833741056,26.0,0.8924501695948779,0.994885763031528,,,val,gap_between_instances_k5_maxfrac0.006
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.01121252583636663,0.0,613.0,,0.039516768326585516,0.031962406549543354,5.0,5.0,0.0,0.005029991056162864,-0.026623235613463636,0.0,0.0,0.0,,0.007972738391053946,0.0,0.009714148415043034,5.0,0.0,,,1.0,11852.png,0.0,0.0,,0.4471512068888591,0.287955407424434,6.0,6.0,0.0,0.8792145378088158,0.16916395222584146,0.8308360477741585,26.0,26.0,0.0,,0.7844628320659275,1.0,0.8663657552998631,29.0,0.8924501695948779,0.9950955465471603,,,val,gap_between_instances_k5_maxfrac0.012
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.08245687841817417,0.0,4508.0,,0.2817914093650153,0.27005571360413505,9.0,9.0,0.0,0.038394247296508754,-0.1957871878393051,0.0,0.0,0.0,,0.062723625034249,0.0,0.0769847386288055,9.0,0.0,,,1.0,11852.png,0.0,0.0,,0.6894258479272889,0.5260487144790257,10.0,10.0,0.0,0.9125787940491616,0.0,1.0,26.0,26.0,0.0,,0.8392137187091225,1.0,0.9336363455136256,33.0,0.8924501695948779,0.9977399051018129,,,val,gap_all_k9
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.029997622139708437,0.0,1640.0,,0.06665606768303689,0.05487253950927973,4.0,4.0,0.0,0.013588060323520668,-0.07122692725298588,0.0,0.0,0.0,,0.021703344757167398,0.0,0.02649221465352536,4.0,0.0,,,1.0,11852.png,0.0,0.0,,0.4742905062453105,0.31086554038417036,5.0,5.0,0.0,0.8877726070761736,0.12456026058631922,0.8754397394136808,26.0,26.0,0.0,,0.7981934384320409,1.0,0.8831438215383455,28.0,0.8924501695948779,0.9957927881994396,,,val,gap_between_instances_k9
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.001554754806021474,0.0,85.0,,0.006363519295333353,0.0050394233320624204,0.0,0.0,0.0,0.0006940305469061991,-0.0036916395222583998,0.0,0.0,0.0,,0.0010958269626825112,0.0,0.0013339571792255756,0.0,0.0,,,1.0,11852.png,1.0,1.0,,0.41399795785760696,0.26103242420695305,1.0,1.0,0.0,0.8748785772995591,0.1920955483170467,0.8079044516829533,26.0,26.0,0.0,,0.777585920637556,1.0,0.8579855640640457,24.0,0.8924501695948779,0.99473708151074,,,val,gap_between_instances_k9_maxfrac0.003
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.005633699767701341,0.0,308.0,,0.016055977083387296,0.01279329583420774,2.0,2.0,0.0,0.002520089108112189,-0.013376764386536372,0.0,0.0,0.0,,0.003985517503822256,0.0,0.004853460900254292,2.0,0.0,,,1.0,11852.png,0.0,0.0,,0.4236904156456609,0.26878629670909837,3.0,3.0,0.0,0.8767046358607651,0.18241042345276873,0.8175895765472313,26.0,26.0,0.0,,0.7804756111786958,1.0,0.8615050677850744,26.0,0.8924501695948779,0.9948884786757433,,,val,gap_between_instances_k9_maxfrac0.006
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.011925883923835305,0.0,652.0,,0.02439247786948051,0.01953909910771101,3.0,3.0,0.0,0.005351966012964948,-0.028317046688382197,0.0,0.0,0.0,,0.008485519351625337,0.0,0.01033963693679818,3.0,0.0,,,1.0,11852.png,0.0,0.0,,0.4320269164317541,0.27553209998260164,4.0,4.0,0.0,0.8795365127656178,0.1674701411509229,0.832529858849077,26.0,26.0,0.0,,0.7849756130264989,1.0,0.8669912438216183,27.0,0.8924501695948779,0.9951220240782594,,,val,gap_between_instances_k9_maxfrac0.012
