mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,num_images,num_risk,num_rows,num_safe,threshold
0.7412698412698413,0.16613756613756614,-0.00018711275506402836,-0.00015164261144191477,0.0,-8.942608040080275e-05,-0.00010371446053335232,-0.0001377849649675039,-0.0002109800175101523,27,26,27,1,0.2
0.7526315789473684,0.16842105263157894,-0.00024369992677799427,-0.0001759235549156021,0.0,-8.713634887221702e-05,-9.613166100514831e-05,-0.00013222731878105942,-0.00021060940867401472,19,18,19,1,0.3
0.8307692307692308,0.13076923076923078,-0.00019999985392284467,-0.00014949043361466978,0.0,-9.701376736011184e-05,-3.723305934090161e-05,-0.0001443313083537418,-0.0001752834862492763,13,13,13,0,0.4
0.9,0.05,-0.00027135997181891857,-0.00020700483619537913,0.0,-0.0001086309677450159,-1.5080681646811866e-05,-0.00015701919245579842,-0.00017705906680995365,10,10,10,0,0.5
0.8571428571428571,0.07142857142857142,-0.00035428415137948665,-0.0002708912518021578,0.0,-9.68450573319687e-05,-2.1543830924016954e-05,-0.00015045400897143298,-0.00017346099540481243,7,7,7,0,0.6
0.875,0.125,-0.0004719381906874015,-0.0003673364332220236,0.0,-0.00011954458856597294,-3.7701704117029666e-05,-0.00018786519971267235,-0.00020730083568568092,4,4,4,0,0.7
0.8333333333333334,0.16666666666666666,-0.00044435896576037565,-0.0003269887233660988,0.0,-0.00012688531027789848,-5.026893882270622e-05,-0.0001945616491294174,-0.00021839815609669966,3,3,3,0,0.8
,,,,,,,,,0,0,0,0,0.9
