anchor_area,anchor_assd_px,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count,anchor_component_count_mae,anchor_component_delta_mean,anchor_component_merge_rate,anchor_dice,anchor_gap_region_fp_rate,anchor_gap_region_precision,anchor_hd95_px,anchor_instance_merge_count,anchor_iou,anchor_precision,anchor_recall,anchor_specificity,anchor_surface_dice_2px,anchor_surface_dice_5px,bbox_h,bbox_w,candidate_assd_px,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_component_merge_rate,candidate_dice,candidate_gap_region_fp_rate,candidate_gap_region_precision,candidate_hd95_px,candidate_instance_merge_count,candidate_iou,candidate_precision,candidate_rank,candidate_recall,candidate_specificity,candidate_surface_dice_2px,candidate_surface_dice_5px,component_area,component_edge_contact_frac,component_id,cut_area,cut_boundary_contact_frac,cut_centroid_dist_norm,cut_exposed_boundary_frac,cut_frac_component,cut_neighbor_fg_frac,delta_assd_px,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_component_merge_rate,delta_dice,delta_gap_region_fp_rate,delta_gap_region_precision,delta_hd95_px,delta_instance_merge_count,delta_iou,delta_precision,delta_recall,delta_specificity,delta_surface_dice_2px,delta_surface_dice_5px,dist_ratio,fill,gradient_ratio,image,label_positive,min_piece_area,min_piece_frac,piece_count,slenderness,split,split_gain
54671.0,3.281095077234025,0.4076344385622736,0.25599300087489063,24.0,0.0,0.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,19.289860759580893,1.0,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.9946793740711648,0.7093012230966151,0.8957049397933061,56.0,9.0,3.2655467785791394,0.4126218097447796,0.25993919550982225,0.0,0.0,0.0,0.8746203093602505,0.1910097719869707,0.8089902280130293,19.258731217918275,1.0,0.777177975251225,0.8582643945925125,1.0,0.8916117230077366,0.9947540542870856,0.7140691615348176,0.8957839886309806,17815.0,0.42207792207792205,19.0,154.0,0.7572463768115942,0.05121475197315839,0.47183098591549294,0.008644400785854617,0.528169014084507,-0.015548298654885606,0.004987371182505973,0.003946194634931621,0.0,0.0,0.0,0.00043576260759758956,-0.004777415852334405,0.004777415852334488,-0.03112954166261872,0.0,0.0006878815763514678,0.0016127877076923536,-0.0008384465871412727,7.46802159208304e-05,0.004767938438202446,7.904883767451132e-05,0.12149416611778324,0.3055555555555556,2.3946853368399355,11852.png,1.0,0.0,0.0,1.0,6.222222222222222,val,0.0
54671.0,3.281095077234025,0.4076344385622736,0.25599300087489063,24.0,0.0,0.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,19.289860759580893,1.0,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.9946793740711648,0.7093012230966151,0.8957049397933061,36.0,6.0,3.2771821976438655,0.40913733865725693,0.2571795470464628,0.0,0.0,0.0,0.8742528392109982,0.19374592833876222,0.8062540716612377,19.282078374165344,1.0,0.7765978628791398,0.8573103271421768,2.0,0.8918785014672815,0.9947112828906947,0.7101147028154328,0.8957247132429614,5358.0,0.5454545454545454,20.0,77.0,0.7365269461077845,0.06283842236066949,0.4888888888888889,0.01437103396789847,0.5111111111111111,-0.003912879590159513,0.0015029000949833282,0.001186546171572156,0.0,0.0,0.0,6.829245834527597e-05,-0.0020412595005428746,0.0020412595005429024,-0.007782385415548987,0.0,0.00010776920426625036,0.000658720257356693,-0.0005716681275963476,3.19088195298578e-05,0.0008134797188176224,1.977344965531369e-05,0.1365591750433737,0.35648148148148145,3.2493168358464777,11852.png,1.0,0.0,0.0,1.0,6.0,val,0.0
54671.0,3.281095077234025,0.4076344385622736,0.25599300087489063,24.0,0.0,0.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,19.289860759580893,1.0,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.9946793740711648,0.7093012230966151,0.8957049397933061,24.0,3.0,3.2755601898683198,0.4096374355879486,0.25757487302235976,0.0,0.0,0.0,0.8743230625583567,0.1942671009771987,0.8057328990228013,19.27818718145743,1.0,0.7767086927670869,0.8571637801618396,3.0,0.8921833911353328,0.9947031359580487,0.7104265402843601,0.8957345971563981,5358.0,0.5306122448979592,20.0,49.0,0.7570093457943925,0.03141921118033474,0.4482758620689655,0.009145203434117209,0.5517241379310345,-0.005534887365705288,0.0020029970256749685,0.0015818721474691322,0.0,0.0,0.0,0.0001385158057037872,-0.00152008686210639,0.0015200868621064734,-0.011673578123463813,0.0,0.00021859909221333407,0.0005121732770194676,-0.0002667784595450362,2.3761886883910677e-05,0.0011253171877450008,2.9657363092017164e-05,0.1367621087979942,0.6805555555555556,2.8088016492446557,11852.png,1.0,0.0,0.0,1.0,8.0,val,0.0
54671.0,3.281095077234025,0.4076344385622736,0.25599300087489063,24.0,0.0,0.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,19.289860759580893,1.0,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.9946793740711648,0.7093012230966151,0.8957049397933061,21.0,3.0,3.2842312734822987,0.4053125290238692,0.2541642399534071,0.0,0.0,0.0,0.8739671543409862,0.19526601520086861,0.8047339847991314,19.289860759580893,1.0,0.776147123692022,0.8567610609749401,4.0,0.8918785014672815,0.9946875210038107,0.7091115957144212,0.8959893808665972,2953.0,0.5952380952380952,11.0,42.0,0.71875,0.08,0.5,0.014222824246528954,0.5,0.0031361962482736594,-0.0023219095384043875,-0.001828760921483541,0.0,0.0,0.0,-0.00021739241166673917,-0.0005211726384364845,0.00052117263843654,0.0,0.0,-0.00034296998285154867,0.00010945409011997587,-0.0005716681275963476,8.146932645947125e-06,-0.00018962738219396869,0.00028444107329106405,0.1614676778609071,0.6666666666666666,1.9190602173468279,11852.png,0.0,0.0,0.0,1.0,7.0,val,0.0
54671.0,3.281095077234025,0.4076344385622736,0.25599300087489063,24.0,0.0,0.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,19.289860759580893,1.0,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.9946793740711648,0.7093012230966151,0.8957049397933061,15.0,4.0,3.281545236901035,0.4077633839439105,0.25609471596873906,0.0,0.0,0.0,0.8741119689317488,0.19522258414766558,0.8047774158523344,19.28596956687312,1.0,0.7763755762661272,0.8568108197141341,5.0,0.8921262243225733,0.9946881999148646,0.7094235874099355,0.895809632157755,2303.0,0.6,14.0,30.0,0.7222222222222222,0.042485928866208736,0.47619047619047616,0.013026487190620929,0.5238095238095238,0.00045015966701011934,0.00012894538163688019,0.00010171509384843125,0.0,0.0,0.0,-7.257782090408504e-05,-0.0005646036916395203,0.0005646036916395758,-0.003891192707772717,0.0,-0.00011451740874635075,0.00015921282931397052,-0.00032394527230461545,8.8258436997668e-06,0.00012236431332035558,0.0001046923644488773,0.1801776695296637,0.5,2.2941112723476924,11852.png,0.0,0.0,0.0,1.0,3.75,val,0.0
20714.0,1.2189957265803828,0.4851149159339812,0.320232155584971,23.0,1.0,1.0,0.0,0.9162424157891066,0.06518714806227227,0.9348128519377277,3.0,0.0,0.8454311454311454,0.9513855363522256,0.8836031027216069,0.9989519510674592,0.8379068283343969,0.9963305679642629,2.0,6.0,1.222318238336728,0.48419916756590103,0.3194345571036306,1.0,1.0,0.0,0.915940006975933,0.06518714806227227,0.9348128519377277,3.0,0.0,0.8449163449163449,0.951357356777123,1.0,0.8830650585123078,0.9989519510674592,0.8364158163265306,0.9963329081632653,3186.0,0.5,23.0,12.0,0.78125,0.1095993248702382,0.35,0.003766478342749529,0.65,0.0033225117563451256,-0.0009157483680801715,-0.0007975984813403669,0.0,0.0,0.0,-0.0003024088131735603,0.0,0.0,0.0,0.0,-0.000514800514800462,-2.8179575102593724e-05,-0.0005380442092991489,0.0,-0.001491012007866277,2.340199002359711e-06,0.19695964928958382,1.0,3.8530522470942503,13441.png,0.0,0.0,0.0,1.0,3.0,val,0.0
20714.0,1.2189957265803828,0.4851149159339812,0.320232155584971,23.0,1.0,1.0,0.0,0.9162424157891066,0.06518714806227227,0.9348128519377277,3.0,0.0,0.8454311454311454,0.9513855363522256,0.8836031027216069,0.9989519510674592,0.8379068283343969,0.9963305679642629,7.0,3.0,1.2210379353896266,0.4843484965304549,0.3195645538711975,1.0,1.0,0.0,0.9160291142478432,0.06498840675720437,0.9350115932427956,3.0,0.0,0.84506800532029,0.9514975845410628,2.0,0.8831098955297494,0.9989550733582214,0.8379585326953748,0.9963317384370016,2616.0,0.6428571428571429,20.0,14.0,0.7105263157894737,0.05812381937190965,0.4583333333333333,0.005351681957186544,0.5416666666666666,0.002042208809243773,-0.0007664194035262861,-0.0006676017137735024,0.0,0.0,0.0,-0.00021330154126342205,-0.00019874130506790377,0.00019874130506791765,0.0,0.0,-0.00036314011085536446,0.00011204818883725487,-0.0004932071918575254,3.122290762269664e-06,5.170436097789999e-05,1.1704727387318314e-06,0.17567240683852542,0.6666666666666666,2.464719149728442,13441.png,0.0,0.0,0.0,1.0,2.3333333333333335,val,0.0
20714.0,1.2189957265803828,0.4851149159339812,0.320232155584971,23.0,1.0,1.0,0.0,0.9162424157891066,0.06518714806227227,0.9348128519377277,3.0,0.0,0.8454311454311454,0.9513855363522256,0.8836031027216069,0.9989519510674592,0.8379068283343969,0.9963305679642629,5.0,2.0,1.2146548552570136,0.4866615265998458,0.3215814143060933,1.0,1.0,0.0,0.9164554607389495,0.06452467704537926,0.9354753229546208,3.0,0.0,0.8457939914163091,0.9518450540958269,3.0,0.8836031027216069,0.9989623587033335,0.8392344497607656,0.9963317384370016,3938.0,0.6,19.0,10.0,0.75,0.03492151478847891,0.3888888888888889,0.0025393600812595226,0.6111111111111112,-0.004340871323369244,0.0015466106658645895,0.0013492587211223483,0.0,0.0,0.0,0.0002130449498428666,-0.0006624710168930126,0.0006624710168930958,0.0,0.0,0.0003628459851636734,0.00045951774360131203,0.0,1.0407635874343235e-05,0.0013276214263686636,1.1704727387318314e-06,0.14414213562373096,1.0,2.0804460461484475,13441.png,1.0,0.0,0.0,1.0,2.5,val,0.0
20714.0,1.2189957265803828,0.4851149159339812,0.320232155584971,23.0,1.0,1.0,0.0,0.9162424157891066,0.06518714806227227,0.9348128519377277,3.0,0.0,0.8454311454311454,0.9513855363522256,0.8836031027216069,0.9989519510674592,0.8379068283343969,0.9963305679642629,3.0,6.0,1.2237875762823283,0.4846616309542161,0.3198372329603255,1.0,1.0,0.0,0.915940006975933,0.06518714806227227,0.9348128519377277,3.0,0.0,0.8449163449163449,0.951357356777123,4.0,0.8830650585123078,0.9989519510674592,0.8354591836734694,0.9963329081632653,3186.0,0.5833333333333334,23.0,12.0,0.7352941176470589,0.07749842582921286,0.4090909090909091,0.003766478342749529,0.5909090909090909,0.004791849701945461,-0.0004532849797651006,-0.00039492262464546624,0.0,0.0,0.0,-0.0003024088131735603,0.0,0.0,0.0,0.0,-0.000514800514800462,-2.8179575102593724e-05,-0.0005380442092991489,0.0,-0.002447644660927506,2.340199002359711e-06,0.19054985532771773,0.6666666666666666,2.306881757870468,13441.png,0.0,0.0,0.0,1.0,2.0,val,0.0
20714.0,1.2189957265803828,0.4851149159339812,0.320232155584971,23.0,1.0,1.0,0.0,0.9162424157891066,0.06518714806227227,0.9348128519377277,3.0,0.0,0.8454311454311454,0.9513855363522256,0.8836031027216069,0.9989519510674592,0.8379068283343969,0.9963305679642629,4.0,2.0,1.215379449159225,0.4865073245952197,0.3214467651553744,1.0,1.0,0.0,0.9164128438233858,0.06465717124875786,0.9353428287512422,3.0,0.0,0.8457213973049523,0.9517531150391191,5.0,0.8836031027216069,0.9989602771761587,0.8381180223285486,0.9963317384370016,3938.0,0.625,19.0,8.0,0.75,0.06984302957695782,0.375,0.002031488065007618,0.625,-0.0036162774211578874,0.00139240866123852,0.0012146095704034243,0.0,0.0,0.0,0.00017042803427924635,-0.0005299768135144101,0.0005299768135145211,0.0,0.0,0.00029025187380693485,0.0003675786868935216,0.0,8.326108699496793e-06,0.0002111939941517038,1.1704727387318314e-06,0.1426776695296637,1.0,1.8144522537663315,13441.png,1.0,0.0,0.0,1.0,2.0,val,0.0
