action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,bg_a_area,bg_b_area,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,bg_pair_distance,bridge_score_mean,bridge_score_p90,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,component_area,corridor_radius,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,pair_kind,pred_component_id,r226_hard_risk,r226_overerosion_proxy,r226_quick_useful,r226_safe_gap_positive,ring_bg_frac,ring_fg_frac,run_id,split
0.35,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,1.0,1.0,3.0,4.0,1.0,158.0,1.4256103001811435,2.118033988749895,0.40601156069364164,0.25471424427038003,1.0,1.0,0.8739787677052502,0.19522258414766558,0.776165442212972,0.8568185562858137,0.8918403902587752,17815.0,1.0,1.0,0.0008779791845768323,48.0,3.0,157.0,0.2982595987777335,4.0,0.10191082802547771,0.6666666666666666,0.3333333333333333,5.385164807134504,3.2024412007245733,0.03723575174808502,0.6131536364555359,0.06044581159949303,52.333333333333336,0.07695293426513672,-0.0016228778686319667,-0.0012787566045106002,0.0,0.0,-0.00020577904740270991,-0.0005646036916395203,-0.00032465146190152616,0.000166949400993599,-0.0006097793361027337,11852.png,bg_seed,19.0,1.0,1.0,0.0,0.0,0.15294117647058825,0.8470588235294118,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,1.0,1.0,2.0,3.0,1.0,167.6007159889241,1.4843587648595,2.2253446762972944,0.4087354832739555,0.25686206094440567,1.0,1.0,0.874109618454587,0.19517915309446254,0.776371867796554,0.8568238803784842,0.8921071687183201,17815.0,1.0,1.0,0.0005853194563845549,32.0,160.0,40.0,0.3196160042964554,4.0,0.005,0.5625,0.4375,7.0,3.992328083703766,0.05497419461607933,0.5485294461250305,0.1050201803445816,4.0,0.05191221088171005,0.0011010447116818756,0.0008690600695150374,0.0,0.0,-7.492829806587942e-05,-0.000608034744842556,-0.00011822587831955556,0.00017227349366411016,-0.00034300087655780853,11852.png,bg_seed,19.0,0.0,1.0,1.0,0.0,0.1402439024390244,0.8597560975609756,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.456278079924332,0.2955701243796336,1.0,-1.0,0.9247154768425537,0.1056701030927835,0.8599728322390763,0.9487355604121136,0.9018816406481867,1.0,1.0,1.0,2.0,3.0,1.0,75.66372975210778,1.6184750820368385,2.2658003570731235,0.4547126220000943,0.2942576432537987,1.0,-1.0,0.9244536433919767,0.1056701030927835,0.8595200362236812,0.9487099394015118,0.9014067786549534,13943.0,1.0,1.0,0.0004995316890415236,24.0,32.0,56.0,0.4288682864450128,4.0,0.013392857142857142,1.0,0.0,7.0,4.5663188920099955,0.03096078522503376,0.5812091827392578,0.04452187195420265,1.75,0.025913506746292114,-0.0015654579242376787,-0.0013124811258348745,0.0,0.0,-0.00026183345057706475,0.0,-0.00045279601539505165,-2.562101060177291e-05,-0.000474861993233211,13480.png,bg_seed,21.0,1.0,1.0,0.0,0.0,0.1,0.9,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.456278079924332,0.2955701243796336,1.0,-1.0,0.9247154768425537,0.1056701030927835,0.8599728322390763,0.9487355604121136,0.9018816406481867,1.0,1.0,1.0,0.0,1.0,1.0,98.6154146165801,0.8770374110164494,1.197333281067295,0.45657826313052524,0.29582210242587603,1.0,-1.0,0.9247124221460307,0.10558419243986254,0.8599675483944003,0.9487729231281614,0.9018420688154172,13943.0,1.0,1.0,8.32552815069206e-05,4.0,2.0,2.0,0.45429362880886426,3.0,1.0,0.5,0.5,2.23606797749979,1.6625703849682212,0.0556352473795414,0.5588235855102539,0.059856124222278595,1.0,0.0158083476126194,0.00030018320619323857,0.00025197804624244036,0.0,0.0,-3.0546965230637824e-06,-8.59106529209619e-05,-5.28384467601839e-06,3.736271604781738e-05,-3.957183276948051e-05,13480.png,bg_seed,21.0,0.0,0.0,1.0,0.0,0.25,0.75,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.27669350802966197,0.1605596620908131,4.0,-4.0,0.8648620047409414,0.2727621156630611,0.7619003225626014,0.8488719930200673,0.8814659821390052,1.0,1.0,1.0,0.0,3.0,3.0,61.0,0.8475412607362388,1.426776695296637,0.27641093273909684,0.1603693931398417,4.0,-4.0,0.8649237933954276,0.2726343582318371,0.7619962328192312,0.8490711109263954,0.8813796971396523,10541.0,1.0,2.0,0.0003323777473098176,16.0,3.0,60.0,0.3106303418803419,3.0,0.08888888888888889,0.25,0.75,2.0,1.3901650429449552,0.06792654097080231,0.6142157316207886,0.10727901756763458,20.0,0.029112033545970917,-0.00028257529056513464,-0.00019026895097140617,0.0,0.0,6.178865448613902e-05,-0.00012775743122395156,9.591025662980535e-05,0.00019911790632809456,-8.628499935292577e-05,13867.png,bg_seed,19.0,1.0,0.0,0.0,1.0,0.39285714285714285,0.6071428571428571,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.27669350802966197,0.1605596620908131,4.0,-4.0,0.8648620047409414,0.2727621156630611,0.7619003225626014,0.8488719930200673,0.8814659821390052,1.0,1.0,0.0,0.0,2.0,2.0,91.83681179135085,0.7775698375182708,1.3504271388053894,0.27676216462028197,0.16060590067029082,4.0,-4.0,0.8649718470852208,0.2722510859381654,0.762070830458216,0.849083655404563,0.8814659821390052,10541.0,1.0,1.0,0.0002492833104823632,12.0,6.0,8.0,0.2196969696969697,1.0,0.25,0.0,1.0,2.0,1.3535533905932737,0.05714539811015129,0.6323530077934265,0.06810356676578522,1.3333333333333333,0.018815696239471436,6.865659061999763e-05,4.623857947771981e-05,0.0,0.0,0.00010984234427935391,-0.0005110297248956952,0.00017050789561456892,0.00021166238449565888,0.0,13867.png,bg_seed,19.0,0.0,0.0,1.0,1.0,0.4305555555555556,0.5694444444444444,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.4545976069496804,0.29416131940393486,3.0,-3.0,0.9403342687778893,0.210977095037913,0.8873876365647905,0.9201020949540429,0.9614762204441248,37307.0,1053.0,0.0,1.0,3.0,2.0,66.14182827943273,7.564852031392936,7.888554697141437,0.4543183586551456,0.293927511657482,3.0,-3.0,0.9403618298124904,0.21081994263937454,0.8874367272425525,0.9201548720154872,0.9614762204441248,40145.0,1.0,0.0,5.73567157544559e-05,4.0,2.0,3.0,0.002699055330634278,0.0,0.6666666666666666,0.0,1.0,3.0,2.368033988749895,0.012494297698140144,0.6637254953384399,0.01850670576095581,1.5,0.00753053417429328,-0.00027924829453479516,-0.00023380774645287428,0.0,0.0,2.7561034601109036e-05,-0.00015715239853847374,4.909067776204257e-05,5.2777061444242435e-05,0.0,14041.png,bg_component,19.0,1.0,0.0,0.0,1.0,0.027777777777777776,0.9722222222222222,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.4545976069496804,0.29416131940393486,3.0,-3.0,0.9403342687778893,0.210977095037913,0.8873876365647905,0.9201020949540429,0.9614762204441248,1.0,1.0,0.0,1.0,5.0,4.0,103.32473082471591,1.2214963574699382,1.7062466140130434,0.4544784673325692,0.29406155639137577,3.0,-3.0,0.9403014604049271,0.21089851883864377,0.8873292028544559,0.9201216101877214,0.9613863166411939,40145.0,1.0,1.0,0.0001147134315089118,8.0,61.0,66.0,0.07317566201738428,1.0,0.001987083954297069,0.75,0.25,5.0990195135927845,3.0277656424013055,0.024343855679035187,0.6965686678886414,0.03289105370640755,1.0819672131147542,0.05242806673049927,-0.00011913961711118581,-9.976301255909537e-05,0.0,0.0,-3.280837296215644e-05,-7.857619926923687e-05,-5.8433710334537814e-05,1.951523367849095e-05,-8.990380293094624e-05,14041.png,bg_seed,19.0,1.0,1.0,0.0,0.0,0.171875,0.828125,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.4406073474620408,0.28255061144794985,1.0,-1.0,0.9396147686702027,0.19084602624038607,0.88610699291979,0.9265328001854427,0.953071443474114,1.0,1.0,1.0,0.0,2.0,2.0,135.10366390294527,0.9250866788152864,1.2792338313479092,0.44063725882635496,0.28257521306088923,1.0,-1.0,0.939608557658399,0.19058211431156688,0.8860959454590804,0.926619330531807,0.9529671246758666,27090.0,1.0,2.0,0.00020282800185442745,14.0,54.0,51.0,0.36257982120051085,4.0,0.005083514887436456,0.5,0.5,3.0,1.8372392394098829,0.06259314715862274,0.5845938324928284,0.08845862746238708,1.0588235294117647,0.052266985177993774,2.991136431418351e-05,2.4601612939378903e-05,0.0,0.0,-6.211011803647359e-06,-0.0002639119288191938,-1.1047460709567858e-05,8.653034636429968e-05,-0.00010431879824734924,15040.png,bg_seed,20.0,0.0,0.0,1.0,0.0,0.3625,0.6375,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.4406073474620408,0.28255061144794985,1.0,-1.0,0.9396147686702027,0.19084602624038607,0.88610699291979,0.9265328001854427,0.953071443474114,1.0,1.0,1.0,2.0,5.0,3.0,136.3084736911099,1.548845046944705,2.505114194742865,0.4396930700983135,0.28179908816146715,1.0,-1.0,0.9394355745281148,0.19084602624038607,0.8857883141895169,0.9265083114737468,0.9527286817084438,27090.0,1.0,2.0,0.00033321743161798795,23.0,129.0,35.0,0.27136150234741785,4.0,0.0050941306755260245,1.0,0.0,9.433981132056603,4.159046753171149,0.0421128123998642,0.5742540955543518,0.07673030346632004,3.6857142857142855,0.04471015930175781,-0.0009142773637272894,-0.0007515232864827026,0.0,0.0,-0.00017919414208789064,0.0,-0.0003186787302731364,-2.44887116959136e-05,-0.00034276176567016314,15040.png,bg_seed,20.0,1.0,1.0,0.0,0.0,0.1223021582733813,0.8776978417266187,R226-bg-connectivity-seam-scorer-diagnostic,val
