background_connected_by_cut,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_recall,image,label_risk,label_safe,overerosion_proxy,prob_safe,safe_nonmerge_gain
1.0,0.000756515590975948,0.0006191471248355729,0.0,3.3545525845890545e-05,-0.00010963109137751559,5.570264307741546e-05,0.0,10375.png,0,1,0.0,0.9998588562011719,1.0
1.0,0.000756515590975948,0.0006191471248355729,0.0,3.3545525845890545e-05,-0.00010963109137751559,5.570264307741546e-05,0.0,10375.png,0,1,0.0,0.999788224697113,1.0
1.0,0.000756515590975948,0.0006191471248355729,0.0,3.3545525845890545e-05,-0.00010963109137751559,5.570264307741546e-05,0.0,10375.png,0,1,0.0,0.9996824264526367,1.0
1.0,0.000756515590975948,0.0006191471248355729,0.0,3.3545525845890545e-05,-0.00010963109137751559,5.570264307741546e-05,0.0,10375.png,0,1,0.0,0.9997923970222473,1.0
1.0,0.000756515590975948,0.0006191471248355729,0.0,3.3545525845890545e-05,-0.00010963109137751559,5.570264307741546e-05,0.0,10375.png,0,1,0.0,0.9996886253356934,1.0
1.0,0.000756515590975948,0.0006191471248355729,0.0,3.3545525845890545e-05,-0.00010963109137751559,5.570264307741546e-05,0.0,10375.png,0,1,0.0,0.99953293800354,1.0
1.0,0.000756515590975948,0.0006191471248355729,0.0,3.3545525845890545e-05,-0.00010963109137751559,5.570264307741546e-05,0.0,10375.png,0,1,0.0,0.9996947050094604,1.0
1.0,0.000756515590975948,0.0006191471248355729,0.0,3.3545525845890545e-05,-0.00010963109137751559,5.570264307741546e-05,0.0,10375.png,0,1,0.0,0.9995421171188354,1.0
1.0,0.000756515590975948,0.0006191471248355729,0.0,3.3545525845890545e-05,-0.00010963109137751559,5.570264307741546e-05,0.0,10375.png,0,1,0.0,0.999313235282898,1.0
0.0,0.0011496083294187387,0.0009410985995389476,0.0,6.709354550471502e-05,-0.00021926218275503118,0.0001114128329157138,0.0,10375.png,0,1,0.0,0.9999978542327881,1.0
0.0,0.0018104732766321963,0.0014827265784928545,0.0,0.00011742025150063284,-0.00038370881982130456,0.00019499227120545193,0.0,10375.png,0,1,0.0,0.9999967813491821,1.0
0.0,0.0024707794203631117,0.002024354557446706,0.0,0.00016775257014045586,-0.0005481554568875779,0.00027858869833696787,0.0,10375.png,0,1,0.0,0.999995231628418,1.0
1.0,0.0005715359346799564,0.00046770080711344697,0.0,0.0001341970673738313,-0.00043852436551006235,0.00022285585901105076,0.0,10375.png,0,1,0.0,0.9855421781539917,1.0
1.0,0.0013270895908316094,0.0010865126883015663,0.0,0.00023487106072905828,-0.0007674176396426091,0.00039007703722004905,0.0,10375.png,0,1,0.0,0.9692690968513489,1.0
1.0,0.0022027006900018353,0.0018044029241806037,0.0,0.00031878321131340037,-0.001041495368086398,0.000529479964596069,0.0,10375.png,0,1,0.0,0.9996849298477173,1.0
1.0,0.0005451230486353542,0.00044607900594345606,0.0,0.00023487106072905828,-0.0007674176396426091,0.00039007703722004905,0.0,10375.png,0,1,0.0,0.9999997615814209,1.0
1.0,0.0010589665814972893,0.0008668466734826352,0.0,0.00035235243961528884,-0.0011511264594639137,0.0005852543638719121,0.0,10375.png,0,1,0.0,0.9999997615814209,1.0
1.0,0.001843721040860502,0.0015099877046986232,0.0,0.0005202360335451184,-0.0016992819163514916,0.0008642398112443939,0.0,10375.png,0,1,0.0,0.9999995231628418,1.0
0.0,0.0010971207178876452,0.0007204476831742801,0.0,2.9802874306650295e-05,-0.0001386962552011317,4.541610441299859e-05,0.0,10624.png,0,1,0.0,1.0,1.0
0.0,0.001528384512919978,0.0010038943951924117,0.0,5.9607827907703914e-05,-0.0002773925104022079,9.083774074147843e-05,0.0,10624.png,0,1,0.0,1.0,1.0
0.0,0.001528384512919978,0.0010038943951924117,0.0,5.9607827907703914e-05,-0.0002773925104022079,9.083774074147843e-05,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.0014295067752426172,0.000938894943415397,0.0,0.00010928737182169801,-0.0005085529357374274,0.00016655276384680562,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.0023168019253750893,0.001522441667078489,0.0,0.0001689104508147965,-0.0007859454461396354,0.00025743108556075533,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.003264029211129227,0.0021460597860194497,0.0,0.00022854185104903557,-0.0010633379565418433,0.00034833155381341907,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.0010949989408925997,0.0007190534986328267,0.0,0.00013909787127197593,-0.0006472491909385036,0.00021198915689224496,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.0021773948142113086,0.0014307185715107251,0.0,0.00025836067217588354,-0.001202034211742975,0.00039379009542184207,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.003012751285132842,0.0019805619713549882,0.0,0.0003577717730042229,-0.001664355062413303,0.0005453585818748774,0.0,10624.png,0,1,0.0,1.0,1.0
0.0,0.0006782541103222406,0.0004452830979986,0.0,1.9868351849194887e-05,-9.246417013408781e-05,3.0276788334671068e-05,0.0,10624.png,0,1,0.0,1.0,1.0
0.0,0.0011581295519678125,0.0007605370288169266,0.0,3.973762779685419e-05,-0.00018492834026817562,6.0556035148651155e-05,0.0,10624.png,0,1,0.0,1.0,1.0
0.0,0.001503094413817574,0.0009872686918936668,0.0,5.9607827907703914e-05,-0.0002773925104022079,9.083774074147843e-05,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.0005541125951408765,0.0003637566184326313,0.0,4.96726123279112e-05,-0.000231160425335164,7.569658057904327e-05,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.0011328735622105346,0.0007439407953741817,0.0,8.941486102087559e-05,-0.00041608876560333963,0.0001362649099962976,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.0016858228081524373,0.001107405125564953,0.0,0.00012916080701119714,-0.0006010171058714597,0.00019684307752454444,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.00010983089640798083,7.208200578048829e-05,0.0,7.947895224613699e-05,-0.0003698566805362957,0.00012112190541269108,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.00031849282824697456,0.00020905179862715229,0.0,0.00013909787127197593,-0.0006472491909385036,0.00021198915689224496,0.0,10624.png,0,1,0.0,1.0,1.0
1.0,0.0007858019994759768,0.0005159215541760409,0.0,0.00018878665955790463,-0.0008784096162737232,0.0002877287805186368,0.0,10624.png,0,1,0.0,1.0,1.0
0.0,0.0006083907331872473,0.00048005720768456994,0.0,1.6317480596717004e-05,-8.68621064060715e-05,2.57486808374896e-05,0.0,11852.png,0,1,0.0,0.9984433054924011,1.0
0.0,0.0006083907331872473,0.00048005720768456994,0.0,1.6317480596717004e-05,-8.68621064060715e-05,2.57486808374896e-05,0.0,11852.png,0,1,0.0,0.997666597366333,1.0
0.0,0.0008299913416662807,0.0006550047234298861,0.0,2.4476449333232786e-05,-0.00013029315960910726,3.862366164320008e-05,0.0,11852.png,0,1,0.0,0.9965726137161255,1.0
0.0,0.00018212289335206577,0.00014366754094519152,0.0,2.4476449333232786e-05,-0.00013029315960910726,3.862366164320008e-05,0.0,11852.png,0,1,0.0,0.9977574944496155,1.0
0.0,0.00045874441605486815,0.0003619431549601315,0.0,4.895426934570235e-05,-0.00026058631921824227,7.725116586332348e-05,0.0,11852.png,0,1,0.0,0.9968350529670715,1.0
0.0,0.00045874441605486815,0.0003619431549601315,0.0,4.895426934570235e-05,-0.00026058631921824227,7.725116586332348e-05,0.0,11852.png,0,1,0.0,0.9952598214149475,1.0
1.0,-0.00015138220724619789,-0.00011939275969213847,0.0,3.263557036736753e-05,-0.000173724212812143,5.1499069401939046e-05,0.0,11852.png,0,1,0.0,0.30914008617401123,1.0
1.0,0.00042274142473092136,0.0003335297373542878,0.0,8.159349506264846e-05,-0.0004343105320303853,0.00012876048315646482,0.0,11852.png,0,1,0.0,0.9949694275856018,1.0
1.0,0.0006083907331872473,0.00048005720768456994,0.0,9.791402186942744e-05,-0.0005211726384364845,0.00015451770432817202,0.0,11852.png,0,1,0.0,0.992763340473175,1.0
0.0,0.00039688311688312883,0.00034096618135726064,0.0,1.8088046113695633e-05,-8.496537660904191e-05,3.211431450655944e-05,0.0,11945.png,0,1,0.0,0.9789891839027405,1.0
0.0,0.0006060764356769499,0.0005207576232846289,0.0,2.713233059881137e-05,-0.00012744806491354899,4.817234641207868e-05,0.0,11945.png,0,1,0.0,0.9997770190238953,1.0
0.0,0.0006757947934418751,0.000580688103927085,0.0,3.617678937617441e-05,-0.00016993075321805606,6.423096146146445e-05,0.0,11945.png,0,1,0.0,0.9996422529220581,1.0
0.0,0.0004138979447621538,0.0003555877528843565,0.0,5.426622982773743e-05,-0.00025489612982709797,9.63499411188451e-05,0.0,11945.png,0,1,0.0,0.9998884201049805,1.0
0.0,0.0013156777862660118,0.0011309928525231605,0.0,0.00016281751576341374,-0.0007646883894812939,0.0002891128200488424,0.0,11945.png,0,1,0.0,0.9999988079071045,1.0
0.0,0.002051454754157467,0.0017643384368267179,0.0,0.00026234491852006325,-0.001231997960830955,0.0004658859523988257,0.0,11945.png,0,1,0.0,1.0,1.0
0.0,0.000596796893093221,0.0005127812643502261,0.0,9.044720245898752e-05,-0.00042482688304515404,0.00016059489955744244,0.0,11945.png,0,1,0.0,0.999790370464325,1.0
1.0,0.002020973044400909,0.0017380881030866213,0.0,0.00023519898860768773,-0.001104549895917406,0.0004176680922574061,0.0,11945.png,0,1,0.0,0.9997335076332092,1.0
1.0,0.0030424328557856484,0.002618324445770537,0.0,0.00035284268983870604,-0.001656824843876109,0.0006266501157802251,0.0,11945.png,0,1,0.0,0.9996351003646851,1.0
0.0,0.0009838309547838264,0.0008331571930728088,0.0,3.442647710438784e-05,-0.0002116476771667486,6.240579219274345e-05,0.0,12498.png,0,1,0.0,0.9983693957328796,1.0
0.0,0.0014357967972682961,0.0012162622596373351,0.0,5.737884864065457e-05,-0.0003527461286112338,0.00010401444043928176,0.0,12498.png,0,1,0.0,0.9979991316795349,1.0
0.0,0.0021919209788215377,0.0018576889969112442,0.0,8.033232971071946e-05,-0.0004938445800557328,0.00014562691873065692,0.0,12498.png,0,1,0.0,0.9999998807907104,1.0
1.0,0.0007631210044435899,0.0006461561534291116,0.0,8.033232971071946e-05,-0.0004938445800557328,0.00014562691873065692,0.0,12498.png,0,1,0.0,0.9433608651161194,1.0
1.0,0.0012939923965612499,0.0010960386733429583,0.0,0.00012624262077409742,-0.000776041482944731,0.0002288633675628926,0.0,12498.png,0,1,0.0,0.9279757142066956,1.0
1.0,0.002349199239999822,0.0019911889133946703,0.0,0.0001951163808845413,-0.0011993368372782143,0.00035374677937116683,0.0,12498.png,0,1,0.0,0.906476616859436,1.0
1.0,0.0010744618996655353,0.0009099616858237458,0.0,0.0001032869203950737,-0.0006349430315002319,0.00018724322759555712,0.0,12498.png,0,1,0.0,0.9278643131256104,1.0
