anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,cut_pixels,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,edited,image,num_accepted_cuts,r232_boundary_f1,r232_boundary_iou,r232_component_count_mae,r232_component_delta_mean,r232_dice,r232_gap_region_fp_rate,r232_iou,r232_precision,r232_recall
0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,17.0,0.001003589149853934,0.0007920893988426214,0.0,0.0,0.00013871800484255292,-0.000738327904451691,0.00021891823265240973,0.0002664594964145728,0.0,1.0,11852.png,1.0,0.40863802771212754,0.25678509027373325,1.0,1.0,0.8743232647574954,0.1950488599348534,0.776709011907526,0.8569180663812347,0.8924501695948779
0.456278079924332,0.2955701243796336,1.0,-1.0,0.9247154768425537,0.1056701030927835,0.8599728322390763,0.9487355604121136,0.9018816406481867,15.0,0.00024981585590022615,0.00020969213412785903,0.0,0.0,0.00014071818438121664,-0.0006443298969072142,0.00024343906251467207,0.0002962946784548226,0.0,1.0,13480.png,1.0,0.45652789578023223,0.29577981651376145,1.0,-1.0,0.924856195026935,0.10502577319587629,0.860216271301591,0.9490318550905684,0.9018816406481867
0.27669350802966197,0.1605596620908131,4.0,-4.0,0.8648620047409414,0.2727621156630611,0.7619003225626014,0.8488719930200673,0.8814659821390052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13867.png,0.0,0.27669350802966197,0.1605596620908131,4.0,-4.0,0.8648620047409414,0.2727621156630611,0.7619003225626014,0.8488719930200673,0.8814659821390052
0.4545976069496804,0.29416131940393486,3.0,-3.0,0.9403342687778893,0.210977095037913,0.8873876365647905,0.9201020949540429,0.9614762204441248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14041.png,0.0,0.4545976069496804,0.29416131940393486,3.0,-3.0,0.9403342687778893,0.210977095037913,0.8873876365647905,0.9201020949540429,0.9614762204441248
0.4406073474620408,0.28255061144794985,1.0,-1.0,0.9396147686702027,0.19084602624038607,0.88610699291979,0.9265328001854427,0.953071443474114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15040.png,0.0,0.4406073474620408,0.28255061144794985,1.0,-1.0,0.9396147686702027,0.19084602624038607,0.88610699291979,0.9265328001854427,0.953071443474114
0.44864,0.2891914191419142,2.0,-2.0,0.937545553578846,0.19222218035196142,0.8824336485549474,0.9203286558345642,0.9554188962542928,21.0,0.000852121890746238,0.0007085086410219543,0.0,0.0,0.00015432727648734268,-0.0007913479293062686,0.0002734734308262876,0.000297469667582817,0.0,1.0,15067.png,1.0,0.4494921218907462,0.28989992778293616,2.0,-2.0,0.9376998808553333,0.19143083242265516,0.8827071219857737,0.9206261255021471,0.9554188962542928
0.4933157597439277,0.32741814546363407,0.0,0.0,0.9313014460511679,0.11311750290210242,0.8714351138681877,0.9398109691758525,0.922944639195714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15369.png,0.0,0.4933157597439277,0.32741814546363407,0.0,0.0,0.9313014460511679,0.11311750290210242,0.8714351138681877,0.9398109691758525,0.922944639195714
0.4165490993799009,0.2630641084082715,2.0,-2.0,0.9322967245782929,0.19494562338350316,0.8731796052700757,0.926983914358751,0.9376707843092974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.png,0.0,0.4165490993799009,0.2630641084082715,2.0,-2.0,0.9322967245782929,0.19494562338350316,0.8731796052700757,0.926983914358751,0.9376707843092974
0.2388905457798986,0.13564775613886537,5.0,-5.0,0.9149379681143169,0.2724452470250498,0.843212591748589,0.9063617927860187,0.923677992766622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.png,0.0,0.2388905457798986,0.13564775613886537,5.0,-5.0,0.9149379681143169,0.2724452470250498,0.843212591748589,0.9063617927860187,0.923677992766622
0.22288934534154947,0.1254223223282556,4.0,-4.0,0.903463445404243,0.2719449649866851,0.8239246029853593,0.9076968542720169,0.8992693416267071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694.png,0.0,0.22288934534154947,0.1254223223282556,4.0,-4.0,0.903463445404243,0.2719449649866851,0.8239246029853593,0.9076968542720169,0.8992693416267071
0.21280542592968318,0.11907233214401557,2.0,-2.0,0.9040244280075417,0.19723747892761978,0.8248581912861853,0.9315077345611696,0.8781163856779519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1736.png,0.0,0.21280542592968318,0.11907233214401557,2.0,-2.0,0.9040244280075417,0.19723747892761978,0.8248581912861853,0.9315077345611696,0.8781163856779519
0.23781545861365644,0.13495491137753515,0.0,0.0,0.9168433668295382,0.35635083602229395,0.8464550174482934,0.9132590814278405,0.9204558977139004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.png,0.0,0.23781545861365644,0.13495491137753515,0.0,0.0,0.9168433668295382,0.35635083602229395,0.8464550174482934,0.9132590814278405,0.9204558977139004
