min_contacts,min_channel_frac,max_channel_frac,max_mean_dist,max_dist,min_area,max_area,max_fill,min_ring_bg,max_ring_fg,min_cut_slenderness,min_cut_mean_image,max_cut_p90_grad,max_rank,top_k_per_image,num_rows,num_images,num_safe_useful,num_risk,safe_rate,risk_rate,mean_delta_dice,mean_delta_iou,mean_delta_recall,mean_delta_boundary_iou,mean_delta_boundary_f1,mean_delta_gap_region_fp_rate,mean_delta_component_count_mae,mean_delta_merged_pred_components,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_cut_area,mean_cut_mean_dist_in,mean_cut_bg_channel_frac_after,mean_cut_bg_channel_border_contacts_after,passes_gate
4,0.1,0.65,1.55,2.0,8,32,1.0,0.35,0.6,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
4,0.1,0.65,1.55,2.0,8,32,1.0,0.35,0.75,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
4,0.1,0.65,1.55,3.0,8,32,1.0,0.35,0.6,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
4,0.1,0.65,1.75,2.0,8,32,1.0,0.35,0.6,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
4,0.1,0.65,1.75,2.0,8,32,1.0,0.35,0.75,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
4,0.1,0.65,1.75,3.0,8,32,1.0,0.35,0.6,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
4,0.2,0.65,1.55,2.0,8,32,1.0,0.35,0.6,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
4,0.2,0.65,1.55,2.0,8,32,1.0,0.35,0.75,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
4,0.2,0.65,1.55,3.0,8,32,1.0,0.35,0.6,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
4,0.2,0.65,1.75,2.0,8,32,1.0,0.35,0.6,2.0,0.0,0.12,,1,16,16,8,7,0.5,0.4375,7.625395315673987e-05,0.00011894293396903972,-8.448471418320608e-05,0.0005357498800962315,0.0006761901702471967,-0.0003936719018023476,0.0,0.0,0.24005681818181818,0.5724431818181819,11.375,1.4284142808874118,0.5678856747910488,4.0,False
