action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,cut_adjacent_bg_components_before,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_area_after,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,gt_a,gt_b,image,local_anchor_frac,local_bg_frac,num_component_gt_instances,pred_component_id,r224_hard_risk,r224_overerosion_proxy,r224_quick_useful,r224_safe_gap_positive,run_id,seam_radius,split
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.0,1.0,2.0,1.0,0.4381873111782477,0.28056329309811207,1.0,-1.0,0.9026262476070107,0.13846406840980102,0.8225331120219505,0.9050991501416431,0.9001668211306766,0.0,7.0,3.0,3.0,7.0,0.005714285714285714,0.0,0.7777777777777778,0.0,1.0,0.012686009518802166,0.7406162619590759,0.018711147457361223,1.0,0.009474248625338078,0.0018104732766321963,0.0014827265784928545,0.0,0.0,0.00011742025150063284,-0.00038370881982130456,0.00019499227120545193,0.0002360981572943066,0.0,20.0,22.0,10375.png,0.7526530612244898,0.2473469387755102,2.0,21.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.5,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.0,1.0,2.0,1.0,0.43931892283540636,0.2814917982048901,1.0,-1.0,0.9027269178578731,0.13813517513566848,0.8227003218702355,0.9053016180747148,0.9001668211306766,0.0,13.0,5.0,4.0,13.0,0.00975975975975976,0.0,0.65,0.0,1.0,0.013023311272263527,0.7384615540504456,0.01988450735807419,1.25,0.014542346820235252,0.002942084933790834,0.0024112316852709093,0.0,0.0,0.00021809050236298866,-0.0007126020939538513,0.0003622021194904512,0.00043856609036596605,0.0,20.0,22.0,10375.png,0.7725225225225225,0.22747747747747749,2.0,21.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.75,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.0,2.0,4.0,2.0,0.4412420862224902,0.2830728763732013,1.0,-1.0,0.9028443948689348,0.13775146631584717,0.8228954859699065,0.9055379451799366,0.9001668211306766,0.0,20.0,15.0,9.0,20.0,0.010378827192527244,0.0,0.14814814814814814,0.0,1.0,0.011915416456758976,0.7388235330581665,0.0178311275318265,1.6666666666666667,0.01618805155158043,0.004865248320874704,0.003992309853582066,0.0,0.0,0.0003355675134246727,-0.0010963109137751559,0.0005573662191614703,0.0006748931955877779,0.0,20.0,22.0,10375.png,0.8064348728593669,0.19356512714063312,2.0,21.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,1.0,0.0,1.0,1.0,0.43770392749244713,0.2801670792079208,1.0,-1.0,0.9027436984162391,0.13808035958997972,0.822728196787965,0.9053353715372283,0.9001668211306766,1.0,14.0,5.0,3.0,469.0,0.3621621621621622,3.0,0.9333333333333333,0.0,1.0,0.018344078212976456,0.7291316390037537,0.028792503289878375,1.6666666666666667,0.020455850288271904,0.0013270895908316094,0.0010865126883015663,0.0,0.0,0.00023487106072905828,-0.0007674176396426091,0.00039007703722004905,0.00047231955287951877,0.0,20.0,22.0,10375.png,0.6486486486486487,0.35135135135135137,2.0,21.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
0.5,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,1.0,1.0,4.0,3.0,0.44014466546112113,0.282170183167169,1.0,-1.0,0.9030458551824166,0.13709367976758208,0.8232302685109846,0.9059433645487446,0.9001668211306766,1.0,32.0,25.0,12.0,502.0,0.20015948963317384,2.0,0.10666666666666667,0.0,1.0,0.01622449979186058,0.7280637621879578,0.027436926960945136,2.0833333333333335,0.018565669655799866,0.00376782755950561,0.003089616647549809,0.0,0.0,0.0005370278269065665,-0.0017540974620402494,0.000892148760239575,0.00108031256439578,0.0,20.0,22.0,10375.png,0.7248803827751196,0.2751196172248804,2.0,21.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
0.75,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,1.0,1.0,4.0,3.0,0.4428133084651946,0.284367514102465,1.0,-1.0,0.9033314112460705,0.13616181549087322,0.8237050103463482,0.9065183304711416,0.9001668211306766,1.0,49.0,25.0,12.0,519.0,0.2069377990430622,2.0,0.16333333333333333,0.0,1.0,0.01583167351782322,0.7232493162155151,0.025387676432728774,2.0833333333333335,0.022783976048231125,0.0064364705635791,0.0052869475828458135,0.0,0.0,0.0008225838905604466,-0.002685961738749104,0.0013668905956032429,0.0016552784867928105,0.0,20.0,22.0,10375.png,0.7248803827751196,0.2751196172248804,2.0,21.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,1.0,0.0,2.0,2.0,0.4374358044831128,0.27994741319310185,1.0,-1.0,0.9028611797951254,0.1376966507701584,0.8229233741146169,0.9055717162676213,0.9001668211306766,2.0,21.0,30.0,14.0,966.0,0.3387096774193548,4.0,0.05,0.0,1.0,0.019958578050136566,0.7133520245552063,0.030502643436193466,2.142857142857143,0.020029261708259583,0.0010589665814972893,0.0008668466734826352,0.0,0.0,0.00035235243961528884,-0.0011511264594639137,0.0005852543638719121,0.000708664283272542,0.0,20.0,22.0,10375.png,0.6686535764375876,0.33134642356241234,2.0,21.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,4.0,val
0.5,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,1.0,0.0,2.0,2.0,0.43990355635925255,0.2819720268912758,1.0,-1.0,0.9032978070420178,0.13627144658225074,0.8236491299481021,0.9064506495445722,0.9001668211306766,2.0,47.0,30.0,14.0,992.0,0.34782608695652173,4.0,0.11190476190476191,0.0,1.0,0.017200011759996414,0.7169796824455261,0.026235333457589147,2.142857142857143,0.02298520877957344,0.0035267184576370236,0.0028914603716566067,0.0,0.0,0.000788979686507707,-0.0025763306473715886,0.001311010197357132,0.0015875975602234194,0.0,20.0,22.0,10375.png,0.6686535764375876,0.33134642356241234,2.0,21.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,4.0,val
0.75,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,1.0,0.0,2.0,2.0,0.44289324828499216,0.2844334518472716,1.0,-1.0,0.9036507759294407,0.13512032012278682,0.8242362525458249,0.9071618037135278,0.9001668211306766,2.0,68.0,30.0,14.0,1013.0,0.35518934081346426,4.0,0.1619047619047619,0.0,1.0,0.016437968239188194,0.7179354429244995,0.025031173229217534,2.142857142857143,0.02188936434686184,0.006516410383376636,0.005352885327652379,0.0,0.0,0.0011419485739305735,-0.0037274571068355022,0.0018981327950798876,0.0022987517291790383,0.0,20.0,22.0,10375.png,0.6686535764375876,0.33134642356241234,2.0,21.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,4.0,val
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,1.0,0.0,1.0,1.0,0.4375113368401959,0.2800092872068725,1.0,-1.0,0.9025759209010148,0.1386285150468673,0.8224495325836607,0.9049979501323097,0.9001668211306766,1.0,4.0,2.0,2.0,577.0,0.4991349480968858,4.0,1.0,0.0,1.0,0.01027615088969469,0.6931372880935669,0.014234132040292025,1.0,0.0032515928614884615,0.0011344989385803639,0.0009287206872533038,0.0,0.0,6.709354550471502e-05,-0.00021926218275503118,0.0001114128329157138,0.0001348981479608602,0.0,26.0,27.0,10375.png,0.504325259515571,0.49567474048442905,2.0,23.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
