anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,cut_pixels,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,edited,image,num_accepted_cuts,r238_boundary_f1,r238_boundary_iou,r238_component_count_mae,r238_component_delta_mean,r238_dice,r238_gap_region_fp_rate,r238_iou,r238_precision,r238_recall
0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,10.0,0.0024707794203631117,0.002024354557446706,0.0,0.0,0.00016775257014045586,-0.0005481554568875779,0.00027858869833696787,0.00033732080223092265,0.0,1.0,10375.png,1.0,0.43884761732197863,0.2811049210770659,1.0,-1.0,0.9026765799256505,0.13829962177273475,0.822616708449082,0.9052003727865797,0.9001668211306766
0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10520.png,0.0,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735
0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10618.png,0.0,0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949
0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8543689320388349,0.3637540453074434,0.7457627118644068,0.8009068515248621,0.915478919565434,23.0,0.003264029211129227,0.0021460597860194497,0.0,0.0,0.00022854185104903557,-0.0010633379565418433,0.00034833155381341907,0.00040176352421095185,0.0,1.0,10624.png,1.0,0.2575323520695446,0.14779749418901297,3.0,-3.0,0.8545974738898839,0.36269070735090153,0.7461110434182202,0.801308615049073,0.915478919565434
0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,3.0,0.0008299913416662807,0.0006550047234298861,0.0,0.0,2.4476449333232786e-05,-0.00013029315960910726,3.862366164320008e-05,4.701022207975747e-05,0.0,1.0,11852.png,1.0,0.4084644299039399,0.2566480055983205,1.0,1.0,0.8742090232019861,0.195656894679696,0.7765287173365167,0.8566986171068999,0.8924501695948779
0.474025974025974,0.31063829787234043,1.0,-1.0,0.9386339329588484,0.1479247206763244,0.8843639928828207,0.9331583585577992,0.9441741456512047,39.0,0.0030424328557856484,0.002618324445770537,0.0,0.0,0.00035284268983870604,-0.001656824843876109,0.0006266501157802251,0.0006977353090310556,0.0,1.0,11945.png,1.0,0.47706840688175967,0.31325662231811097,1.0,-1.0,0.9389867756486872,0.14626789583244829,0.884990642998601,0.9338560938668302,0.9441741456512047
0.4627277747101049,0.3010057471264368,0.0,0.0,0.9495969934624726,0.11915764224487636,0.9040311076342552,0.9587379825289152,0.9406286658207847,40.0,0.0025765475480544753,0.00218421359777049,0.0,0.0,0.00022955700711024818,-0.001410984514444949,0.00041620142149734196,0.0004681109235529224,0.0,1.0,12498.png,1.0,0.4653043222581594,0.3031899607242073,0.0,0.0,0.9498265504695829,0.11774665773043141,0.9044473090557525,0.9592060934524681,0.9406286658207847
0.49643203744933495,0.3301693370795049,1.0,1.0,0.9165367550065955,0.12797357964807266,0.8459324847814056,0.92432350718065,0.9088801022683355,4.0,0.00048577076984313017,0.0004298882565625384,0.0,0.0,5.495813125899751e-05,-0.00020640899943236146,9.363875191292781e-05,0.00011179867644528496,0.0,1.0,12627.png,1.0,0.4969178082191781,0.33059922533606745,1.0,1.0,0.9165917131378545,0.1277671706486403,0.8460261235333185,0.9244353058570953,0.9088801022683355
0.3760599262329366,0.23157253910274422,2.0,2.0,0.925741399762752,0.2176649226153452,0.8617491166077739,0.9180576432912881,0.9335548614341729,5.0,0.0003891976410228537,0.00029523258803632046,0.0,0.0,3.050520314240579e-05,-0.00018294244630637224,5.2868692659302496e-05,6.0003767535343755e-05,0.0,1.0,12827.png,1.0,0.37644912387395946,0.23186777169078054,2.0,2.0,0.9257719049658945,0.21748198016903883,0.8618019853004332,0.9181176470588235,0.9335548614341729
0.530457359696425,0.36096765425387334,0.0,0.0,0.9050989056512583,0.06088421052631579,0.8266490099634254,0.9477299016772701,0.8661380905186653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13220.png,0.0,0.530457359696425,0.36096765425387334,0.0,0.0,0.9050989056512583,0.06088421052631579,0.8266490099634254,0.9477299016772701,0.8661380905186653
0.3631018008085263,0.22182308037718904,0.0,0.0,0.9164516103259003,0.16284825077805692,0.8457874323467386,0.9284615758203688,0.9047483830257138,11.0,0.0004380799980701622,0.0003270817580067753,0.0,0.0,8.055108041216119e-05,-0.00041246390940793964,0.00013722619776124212,0.000165367184812526,0.0,1.0,13436.png,1.0,0.36353988080659644,0.2221501621351958,0.0,0.0,0.9165321614063124,0.16243578686864898,0.8459246585444998,0.9286269430051813,0.9047483830257138
0.4851149159339812,0.320232155584971,0.0,0.0,0.9162424157891066,0.06518714806227227,0.8454311454311454,0.9513855363522256,0.8836031027216069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13441.png,0.0,0.4851149159339812,0.320232155584971,0.0,0.0,0.9162424157891066,0.06518714806227227,0.8454311454311454,0.9513855363522256,0.8836031027216069
0.44652070840886904,0.2874326750448833,0.0,0.0,0.9069467331096508,0.1109672646569262,0.8297369950595757,0.9264246603123099,0.8882709807886754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13454.png,0.0,0.44652070840886904,0.2874326750448833,0.0,0.0,0.9069467331096508,0.1109672646569262,0.8297369950595757,0.9264246603123099,0.8882709807886754
0.456278079924332,0.2955701243796336,1.0,-1.0,0.9247154768425537,0.1056701030927835,0.8599728322390763,0.9487355604121136,0.9018816406481867,14.0,0.0028280600539586365,0.002377808239049428,0.0,0.0,0.0001313356396926979,-0.0006013745704467333,0.0002272055038941012,0.0002765359423241298,0.0,1.0,13480.png,1.0,0.45910613997829064,0.297947932618683,1.0,-1.0,0.9248468124822464,0.10506872852233677,0.8602000377429704,0.9490120963544377,0.9018816406481867
