useful_threshold,risk_threshold,accepted,positive,strict_useful,hard_risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.5,0.3,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png|8253.png,2044.png|3678.png,1399.png|7259.png|8253.png
0.55,0.25,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png|8253.png,2044.png|3678.png,1399.png|7259.png|8253.png
0.55,0.3,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3678.png|7259.png|8253.png,2044.png|3678.png,1399.png|7259.png|8253.png
0.6,0.35,7,2,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|1855.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.65,0.5,7,3,2,3,0.2857142857142857,0.42857142857142855,-2.5999999999999996,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png|7654.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.65,0.35,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.65,0.4,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.65,0.45,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.7,0.35,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.7,0.4,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.7,0.45,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.7,0.5,6,2,2,3,0.3333333333333333,0.5,-2.8,1399.png|2044.png|2246.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|3392.png|7259.png
0.65,0.55,10,4,3,4,0.3,0.4,-3.0,1399.png|1418.png|2044.png|2246.png|3392.png|3602.png|3678.png|3840.png|7259.png|7654.png,1418.png|2044.png|3678.png,1399.png|3392.png|3840.png|7259.png
0.65,0.6,10,4,3,4,0.3,0.4,-3.0,1399.png|1418.png|2044.png|2246.png|3392.png|3602.png|3678.png|3840.png|7259.png|7654.png,1418.png|2044.png|3678.png,1399.png|3392.png|3840.png|7259.png
0.7,0.55,8,3,3,4,0.375,0.5,-3.4,1399.png|1418.png|2044.png|2246.png|3392.png|3678.png|3840.png|7259.png,1418.png|2044.png|3678.png,1399.png|3392.png|3840.png|7259.png
0.7,0.6,8,3,3,4,0.375,0.5,-3.4,1399.png|1418.png|2044.png|2246.png|3392.png|3678.png|3840.png|7259.png,1418.png|2044.png|3678.png,1399.png|3392.png|3840.png|7259.png
0.75,0.35,3,0,0,2,0.0,0.6666666666666666,-3.4,2246.png|3392.png|7259.png,,3392.png|7259.png
0.75,0.4,3,0,0,2,0.0,0.6666666666666666,-3.4,2246.png|3392.png|7259.png,,3392.png|7259.png
0.75,0.45,3,0,0,2,0.0,0.6666666666666666,-3.4,2246.png|3392.png|7259.png,,3392.png|7259.png
0.75,0.5,3,0,0,2,0.0,0.6666666666666666,-3.4,2246.png|3392.png|7259.png,,3392.png|7259.png
0.1,0.25,12,4,4,5,0.3333333333333333,0.4166666666666667,-3.5999999999999996,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3354.png|3493.png|3678.png|6947.png|7259.png|8253.png,13867.png|2044.png|3354.png|3678.png,13436.png|1399.png|6947.png|7259.png|8253.png
0.1,0.2,9,2,2,4,0.2222222222222222,0.4444444444444444,-4.2,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|6947.png|7259.png,13867.png|2044.png,13436.png|1399.png|6947.png|7259.png
0.15,0.2,9,2,2,4,0.2222222222222222,0.4444444444444444,-4.2,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|6947.png|7259.png,13867.png|2044.png,13436.png|1399.png|6947.png|7259.png
0.2,0.2,9,2,2,4,0.2222222222222222,0.4444444444444444,-4.2,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|6947.png|7259.png,13867.png|2044.png,13436.png|1399.png|6947.png|7259.png
0.25,0.2,9,2,2,4,0.2222222222222222,0.4444444444444444,-4.2,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|6947.png|7259.png,13867.png|2044.png,13436.png|1399.png|6947.png|7259.png
0.3,0.2,9,2,2,4,0.2222222222222222,0.4444444444444444,-4.2,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|6947.png|7259.png,13867.png|2044.png,13436.png|1399.png|6947.png|7259.png
0.45,0.3,8,2,2,4,0.25,0.5,-4.4,12627.png|1399.png|1855.png|2044.png|2246.png|3678.png|7259.png|8253.png,2044.png|3678.png,12627.png|1399.png|7259.png|8253.png
0.55,0.35,8,2,2,4,0.25,0.5,-4.4,1399.png|1855.png|2044.png|2246.png|3392.png|3678.png|7259.png|8253.png,2044.png|3678.png,1399.png|3392.png|7259.png|8253.png
0.6,0.4,8,2,2,4,0.25,0.5,-4.4,1399.png|1855.png|2044.png|2246.png|2248.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|2248.png|3392.png|7259.png
0.15,0.25,11,3,3,5,0.2727272727272727,0.45454545454545453,-4.8,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|3678.png|6947.png|7259.png|8253.png,13867.png|2044.png|3678.png,13436.png|1399.png|6947.png|7259.png|8253.png
0.2,0.25,11,3,3,5,0.2727272727272727,0.45454545454545453,-4.8,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|3678.png|6947.png|7259.png|8253.png,13867.png|2044.png|3678.png,13436.png|1399.png|6947.png|7259.png|8253.png
0.25,0.25,11,3,3,5,0.2727272727272727,0.45454545454545453,-4.8,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|3678.png|6947.png|7259.png|8253.png,13867.png|2044.png|3678.png,13436.png|1399.png|6947.png|7259.png|8253.png
0.3,0.25,11,3,3,5,0.2727272727272727,0.45454545454545453,-4.8,13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|3678.png|6947.png|7259.png|8253.png,13867.png|2044.png|3678.png,13436.png|1399.png|6947.png|7259.png|8253.png
0.7,0.65,9,3,3,5,0.3333333333333333,0.5555555555555556,-5.2,1399.png|1418.png|2044.png|2246.png|3392.png|3678.png|3840.png|7259.png|8253.png,1418.png|2044.png|3678.png,1399.png|3392.png|3840.png|7259.png|8253.png
0.7,0.7,9,3,3,5,0.3333333333333333,0.5555555555555556,-5.2,1399.png|1418.png|2044.png|2246.png|3392.png|3678.png|3840.png|7259.png|8253.png,1418.png|2044.png|3678.png,1399.png|3392.png|3840.png|7259.png|8253.png
0.7,0.75,9,3,3,5,0.3333333333333333,0.5555555555555556,-5.2,1399.png|1418.png|2044.png|2246.png|3392.png|3678.png|3840.png|7259.png|8253.png,1418.png|2044.png|3678.png,1399.png|3392.png|3840.png|7259.png|8253.png
0.7,0.8,9,3,3,5,0.3333333333333333,0.5555555555555556,-5.2,1399.png|1418.png|2044.png|2246.png|3392.png|3678.png|3840.png|7259.png|8253.png,1418.png|2044.png|3678.png,1399.png|3392.png|3840.png|7259.png|8253.png
0.75,0.55,4,0,0,3,0.0,0.75,-5.2,2246.png|3392.png|3840.png|7259.png,,3392.png|3840.png|7259.png
0.75,0.6,4,0,0,3,0.0,0.75,-5.2,2246.png|3392.png|3840.png|7259.png,,3392.png|3840.png|7259.png
0.75,0.65,4,0,0,3,0.0,0.75,-5.2,2246.png|3392.png|3840.png|7259.png,,3392.png|3840.png|7259.png
0.75,0.7,4,0,0,3,0.0,0.75,-5.2,2246.png|3392.png|3840.png|7259.png,,3392.png|3840.png|7259.png
0.75,0.75,4,0,0,3,0.0,0.75,-5.2,2246.png|3392.png|3840.png|7259.png,,3392.png|3840.png|7259.png
0.75,0.8,4,0,0,3,0.0,0.75,-5.2,2246.png|3392.png|3840.png|7259.png,,3392.png|3840.png|7259.png
0.35,0.2,8,1,1,4,0.125,0.5,-5.4,13436.png|1399.png|1855.png|2044.png|2246.png|3493.png|6947.png|7259.png,2044.png,13436.png|1399.png|6947.png|7259.png
0.4,0.2,7,1,1,4,0.14285714285714285,0.5714285714285714,-5.6,13436.png|1399.png|1855.png|2044.png|2246.png|6947.png|7259.png,2044.png,13436.png|1399.png|6947.png|7259.png
0.35,0.25,10,2,2,5,0.2,0.5,-6.0,13436.png|1399.png|1855.png|2044.png|2246.png|3493.png|3678.png|6947.png|7259.png|8253.png,2044.png|3678.png,13436.png|1399.png|6947.png|7259.png|8253.png
0.6,0.5,10,3,2,5,0.2,0.5,-6.0,1399.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3678.png|7259.png|7654.png,2044.png|3678.png,1399.png|1678.png|2248.png|3392.png|7259.png
0.4,0.25,9,2,2,5,0.2222222222222222,0.5555555555555556,-6.2,13436.png|1399.png|1855.png|2044.png|2246.png|3678.png|6947.png|7259.png|8253.png,2044.png|3678.png,13436.png|1399.png|6947.png|7259.png|8253.png
0.5,0.35,9,2,2,5,0.2222222222222222,0.5555555555555556,-6.2,1399.png|1855.png|2044.png|2246.png|3392.png|3678.png|3777.png|7259.png|8253.png,2044.png|3678.png,1399.png|3392.png|3777.png|7259.png|8253.png
0.6,0.45,9,2,2,5,0.2222222222222222,0.5555555555555556,-6.2,1399.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3678.png|7259.png,2044.png|3678.png,1399.png|1678.png|2248.png|3392.png|7259.png
