background_connected_by_cut,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_gt_instance_count,candidate_gt_instances_covered,candidate_gt_instances_multi_covered,candidate_iou,candidate_merged_pred_components,candidate_precision,candidate_pred_component_count_instance_match,candidate_rank,candidate_recall,component_area,component_bbox_h,component_bbox_w,component_fill,component_slenderness,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_bg_channel_area_after,cut_bg_channel_border_contacts_after,cut_bg_channel_frac_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,dist_percentile,image,local_bg_component_delta,local_bg_components_after,local_bg_components_before,pred_component_id,r251_bg_prob_ge_05_frac,r251_bg_prob_mean,r251_bg_prob_min,r251_bg_prob_p10,r251_bg_prob_p50,r251_bg_prob_p90,ring_bg_frac,ring_fg_frac,risk_label,run_id,safe_useful_label,split
1.0,0.43580284245539763,0.2786111970306217,1.0,-1.0,0.9023420074349442,0.13879296168393357,29.0,29.0,0.0,0.8220611643580452,2.0,0.9048648648648648,27.0,1.0,0.8998331788693235,4195.0,92.0,60.0,0.759963768115942,1.5333333333333334,1.0,0.0003726476616359232,10.0,5.0,2.0,671.0,3.0,0.2532075471698113,1.0,0.9,0.1,2.0,1.5,0.03563666343688965,0.7454901933670044,0.04858293086290359,2.5,0.02679610811173916,-0.0005739954462178898,-0.0004693694889975064,0.0,0.0,-0.00016681992056588602,-5.4815545688757794e-05,0.0,0.0,0.0,-0.00027695539269978475,0.0,1.812880516038895e-06,0.0,-0.0003336422613531287,8.0,10375.png,0.0,1.0,1.0,19.0,0.3,0.32729588083383626,0.0003846038120306546,0.0003846038120306546,0.1062344085992899,0.912958603866407,0.38636363636363635,0.6136363636363636,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.43554533905994797,0.27840074240197976,1.0,-1.0,0.9023456377086354,0.13884777722962233,29.0,29.0,0.0,0.8220671904632891,2.0,0.9048346814776158,27.0,2.0,0.899870250231696,4195.0,92.0,60.0,0.759963768115942,1.5333333333333334,1.0,0.00029811812930873857,8.0,4.0,2.0,664.0,3.0,0.2553846153846154,1.0,1.0,0.0,2.0,1.426776695296637,0.04393275827169418,0.7382352948188782,0.055115704983472825,2.0,0.033376555889844894,-0.0008314988416675551,-0.0006798241176394493,0.0,0.0,-0.00016318964687467297,0.0,0.0,0.0,0.0,-0.00027092928745586775,0.0,-2.8370506732988687e-05,0.0,-0.0002965708989806082,8.0,10375.png,0.0,1.0,1.0,19.0,0.375,0.3904738411177663,0.0003846038120306546,0.0003846038120306546,0.14795225417781704,0.9443324123818763,0.425,0.575,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.4394168531849253,0.28157221490037987,1.0,-1.0,0.9029415045926146,0.13736775749602587,29.0,29.0,0.0,0.8230568455306599,2.0,0.9057708807401051,27.0,1.0,0.900129749768304,2718.0,58.0,72.0,0.6508620689655172,1.2413793103448276,1.0,0.001043413452580585,28.0,14.0,6.0,1626.0,4.0,0.48566308243727596,0.3333333333333333,0.03571428571428571,0.9642857142857143,2.0,1.3953952789951956,0.048849862068891525,0.7418767809867859,0.05789775438606739,2.3333333333333335,0.034682746976614,0.0030400152833097716,0.002491648380760658,0.0,0.0,0.0004326772371044951,-0.0014800197335964604,0.0,0.0,0.0,0.0007187257799149416,0.0,0.0009078287557563458,0.0,-3.707136237263153e-05,12.0,10375.png,0.0,2.0,2.0,21.0,0.25,0.22855553803378553,0.0003846038120306546,0.0003846038120306546,0.07181526744074207,0.6875624323403667,0.4583333333333333,0.5416666666666666,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.4385317772268247,0.2808457904112772,1.0,-1.0,0.9026907413950201,0.1375870196787809,29.0,29.0,0.0,0.8226402304694119,2.0,0.9056040593985524,27.0,2.0,0.8997961075069508,4195.0,92.0,60.0,0.759963768115942,1.5333333333333334,1.0,0.0012297372833985467,33.0,13.0,11.0,1763.0,4.0,0.48985829397054736,0.23076923076923078,0.30303030303030304,0.696969696969697,2.23606797749979,1.5357866964727924,0.06833039969205856,0.7950088381767273,0.10683183073997497,1.1818181818181819,0.06023091450333595,0.0021549393252091598,0.0017652238916580076,0.0,0.0,0.00018191403951006713,-0.0012607575508414293,0.0,0.0,0.0,0.00030211071866692585,0.0,0.0007410074142035761,0.0,-0.0003707136237257602,12.0,10375.png,0.0,1.0,1.0,19.0,0.5454545454545454,0.47865069643454394,0.0003846038120306546,0.0003846038120306546,0.5808082097681071,0.9087026250850916,0.4375,0.5625,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.43554533905994797,0.27840074240197976,1.0,-1.0,0.9022640246849325,0.13884777722962233,29.0,29.0,0.0,0.8219317258195611,2.0,0.9048204898780897,27.0,3.0,0.8997219647822058,2161.0,60.0,50.0,0.7203333333333334,1.2,1.0,0.0004471771939631079,12.0,6.0,2.0,699.0,4.0,0.2588888888888889,1.0,1.0,0.0,2.0,1.4511844635310913,0.04417138919234276,0.7264705300331116,0.055425625294446945,3.0,0.04340749979019165,-0.0008314988416675551,-0.0006798241176394493,0.0,0.0,-0.00024480267057758187,0.0,0.0,0.0,0.0,-0.00040639393118391265,0.0,-4.2562106259080856e-05,0.0,-0.00044485634847080124,12.0,10375.png,0.0,1.0,1.0,20.0,0.5,0.3994742395892062,0.0003846038120306546,0.0003846038120306546,0.3820549418555149,0.8263009893490092,0.4583333333333333,0.5416666666666666,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.4350613997943258,0.27800541167375337,1.0,-1.0,0.9021751254880089,0.1387381461382448,29.0,29.0,0.0,0.8217841902052428,2.0,0.90486667909752,27.0,4.0,0.8994995366079703,1468.0,40.0,47.0,0.7808510638297872,1.175,1.0,0.0007452953232718465,20.0,6.0,10.0,1957.0,4.0,0.6248403575989783,0.3333333333333333,0.9,0.1,2.0,1.3535533905932737,0.05543829873204231,0.7098039388656616,0.07237214073538781,1.6666666666666667,0.04336836189031601,-0.0013154381072897348,-0.0010751548458658444,0.0,0.0,-0.00033370186750114605,-0.00010963109137751559,0.0,0.0,0.0,-0.000553929545502152,0.0,3.627113171256191e-06,0.0,-0.0006672845227062574,12.0,10375.png,0.0,2.0,2.0,11.0,0.2,0.2588325605180476,0.0003846038120306546,0.0003846038120306546,0.17078468327638946,0.7092783415974822,0.45,0.55,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.43824845772347887,0.2806134304081791,1.0,-1.0,0.9027736466389054,0.13791591295291344,29.0,29.0,0.0,0.8227779472061265,2.0,0.9054331207815938,27.0,5.0,0.900129749768304,2563.0,39.0,96.0,0.6845619658119658,2.4615384615384617,1.0,0.0006707657909446618,18.0,5.0,9.0,1442.0,3.0,0.47732538894405824,0.4,0.05555555555555555,0.9444444444444444,2.0,1.4023689270621824,0.07039789855480194,0.7769063115119934,0.08522369489073753,1.8,0.04469152167439461,0.0018716198218633462,0.0015328638885598878,0.0,0.0,0.00026481928339527894,-0.0009318642767088825,0.0,0.0,0.0,0.000439827455381514,0.0,0.0005700687972449714,0.0,-3.707136237263153e-05,12.0,10375.png,0.0,1.0,1.0,26.0,0.6666666666666666,0.6472775618508333,0.0004055261526173439,0.0004055261526173439,0.9887662574772191,0.9981128152242945,0.4305555555555556,0.5694444444444444,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.43675518722400336,0.279390140082037,1.0,-1.0,0.9026765799256505,0.13829962177273475,29.0,29.0,0.0,0.822616708449082,2.0,0.9052003727865797,27.0,7.0,0.9001668211306766,2563.0,39.0,96.0,0.6845619658119658,2.4615384615384617,1.0,0.0003726476616359232,10.0,2.0,5.0,1237.0,3.0,0.46679245283018866,1.0,0.0,1.0,2.0,1.4414213562373095,0.05744081735610962,0.7458823919296265,0.08504315540194511,2.5,0.03760618716478348,0.0003783493223878387,0.00030957356241778644,0.0,0.0,0.00016775257014045586,-0.0005481554568875779,0.0,0.0,0.0,0.00027858869833696787,0.0,0.00033732080223092265,0.0,0.0,12.0,10375.png,0.0,2.0,2.0,26.0,0.6,0.5334273221324519,0.0004055261526173439,0.0004055261526173439,0.7080672834891403,0.9876376776636411,0.4090909090909091,0.5909090909090909,0.0,R251-reverse-background-candidate-selector,1.0,val
1.0,0.4056633194037298,0.25444018464908846,0.0,0.0,0.8976411876638064,0.19581738503356078,26.0,26.0,0.0,0.8142912975508078,0.0,0.8749606299212599,26.0,1.0,0.9215288784047768,5134.0,99.0,65.0,0.7978243978243978,1.523076923076923,1.0,0.00034983382893125764,10.0,5.0,2.0,648.0,3.0,0.24452830188679245,1.0,1.0,0.0,2.0,1.4414213562373095,0.025935178622603416,0.7078431844711304,0.028597849048674105,2.5,0.016001729294657707,-0.0010994231254360942,-0.0008656341307690107,0.0,0.0,-0.0001978531862186772,0.0,0.0,0.0,0.0,-0.0003256904637831681,0.0,-4.3743001601703746e-05,0.0,-0.0003685820647967297,8.0,10520.png,0.0,1.0,1.0,20.0,0.5,0.39237531610507476,0.030983240916634104,0.03261475532643252,0.36759777053402987,0.7818699492818232,0.45454545454545453,0.5454545454545454,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.4060375475581613,0.2547347002660823,0.0,0.0,0.8976411876638064,0.19581738503356078,26.0,26.0,0.0,0.8142912975508078,0.0,0.8749606299212599,26.0,2.0,0.9215288784047768,5134.0,99.0,65.0,0.7978243978243978,1.523076923076923,1.0,0.00034983382893125764,10.0,5.0,2.0,867.0,3.0,0.32716981132075473,1.0,1.0,0.0,2.0,1.4414213562373095,0.03267371281981468,0.7078431844711304,0.03479824662208557,2.5,0.02549019455909729,-0.0007251949710045946,-0.0005711185137751706,0.0,0.0,-0.0001978531862186772,0.0,0.0,0.0,0.0,-0.0003256904637831681,0.0,-4.3743001601703746e-05,0.0,-0.0003685820647967297,8.0,10520.png,0.0,1.0,1.0,20.0,0.3,0.3476529149078291,0.024545206422543972,0.024545206422543972,0.2664913864052108,0.7601146870128136,0.45454545454545453,0.5454545454545454,1.0,R251-reverse-background-candidate-selector,0.0,val
