anchor_assd_px,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_component_merge_rate,anchor_dice,anchor_gap_region_fp_rate,anchor_gap_region_precision,anchor_gt_instance_count,anchor_gt_instances_covered,anchor_gt_instances_multi_covered,anchor_hd95_px,anchor_iou,anchor_merged_pred_components,anchor_precision,anchor_pred_component_count_instance_match,anchor_recall,anchor_specificity,anchor_surface_dice_2px,anchor_surface_dice_5px,cut_pixels,delta_assd_px,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_component_merge_rate,delta_dice,delta_gap_region_fp_rate,delta_gap_region_precision,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_hd95_px,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,delta_specificity,delta_surface_dice_2px,delta_surface_dice_5px,image,max_cut_frac,r222_assd_px,r222_boundary_f1,r222_boundary_iou,r222_component_count_mae,r222_component_delta_mean,r222_component_merge_rate,r222_dice,r222_gap_region_fp_rate,r222_gap_region_precision,r222_gt_instance_count,r222_gt_instances_covered,r222_gt_instances_multi_covered,r222_hd95_px,r222_iou,r222_merged_pred_components,r222_precision,r222_pred_component_count_instance_match,r222_recall,r222_specificity,r222_surface_dice_2px,r222_surface_dice_5px,threshold
,0.4363768379016155,0.2790805665196192,1.0,-1.0,1.0,0.9025088273555101,0.13884777722962233,0.8611522227703776,29.0,29.0,0.0,,0.822338119750745,2.0,0.9048630519843488,27.0,0.9001668211306766,0.9975970611295224,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,10375.png,0.0015,,0.4363768379016155,0.2790805665196192,1.0,-1.0,1.0,0.9025088273555101,0.13884777722962233,0.8611522227703776,29.0,29.0,0.0,,0.822338119750745,2.0,0.9048630519843488,27.0,0.9001668211306766,0.9975970611295224,,,0.001
,0.4067627425291659,0.2553058187798575,0.0,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8041826149664393,26.0,26.0,0.0,,0.8146169880145909,0.0,0.8750043729228616,26.0,0.9218974604695735,0.9977519451054314,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,10520.png,0.0015,,0.4067627425291659,0.2553058187798575,0.0,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8041826149664393,26.0,26.0,0.0,,0.8146169880145909,0.0,0.8750043729228616,26.0,0.9218974604695735,0.9977519451054314,,,0.001
,0.3221402721150763,0.191994757822312,1.0,1.0,0.0,0.8875239843163427,0.1942885855455992,0.8057114144544009,27.0,27.0,0.0,,0.7977915674621773,0.0,0.8967820791098561,27.0,0.8784550915508949,0.9979757712464463,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,10618.png,0.0015,,0.3221402721150763,0.191994757822312,1.0,1.0,0.0,0.8875239843163427,0.1942885855455992,0.8057114144544009,27.0,27.0,0.0,,0.7977915674621773,0.0,0.8967820791098561,27.0,0.8784550915508949,0.9979757712464463,,,0.001
,0.2542683228584154,0.14565143440299352,3.0,-3.0,1.0,0.8543689320388349,0.3637540453074434,0.6362459546925566,27.0,27.0,0.0,,0.7457627118644068,2.0,0.8009068515248621,26.0,0.915478919565434,0.9939049782573296,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,10624.png,0.0015,,0.2542683228584154,0.14565143440299352,3.0,-3.0,1.0,0.8543689320388349,0.3637540453074434,0.6362459546925566,27.0,27.0,0.0,,0.7457627118644068,2.0,0.8009068515248621,26.0,0.915478919565434,0.9939049782573296,,,0.001
,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,11852.png,0.0015,,0.4076344385622736,0.25599300087489063,1.0,1.0,0.0,0.8741845467526529,0.1957871878393051,0.8042128121606948,26.0,26.0,0.0,,0.7764900936748735,1.0,0.8566516068848201,24.0,0.8924501695948779,0.9946793740711648,,,0.001
,0.474025974025974,0.31063829787234043,1.0,-1.0,1.0,0.9386339329588484,0.1479247206763244,0.8520752793236757,26.0,26.0,0.0,,0.8843639928828207,1.0,0.9331583585577992,25.0,0.9441741456512047,0.9977400024744025,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,11945.png,0.0015,,0.474025974025974,0.31063829787234043,1.0,-1.0,1.0,0.9386339329588484,0.1479247206763244,0.8520752793236757,26.0,26.0,0.0,,0.8843639928828207,1.0,0.9331583585577992,25.0,0.9441741456512047,0.9977400024744025,,,0.001
,0.4627277747101049,0.3010057471264368,0.0,0.0,0.0,0.9495969934624726,0.11915764224487636,0.8808423577551237,27.0,27.0,0.0,,0.9040311076342552,1.0,0.9587379825289152,24.0,0.9406286658207847,0.9981691307431207,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,12498.png,0.0015,,0.4627277747101049,0.3010057471264368,0.0,0.0,0.0,0.9495969934624726,0.11915764224487636,0.8808423577551237,27.0,27.0,0.0,,0.9040311076342552,1.0,0.9587379825289152,24.0,0.9406286658207847,0.9981691307431207,,,0.001
,0.49643203744933495,0.3301693370795049,1.0,1.0,0.0,0.9165367550065955,0.12797357964807266,0.8720264203519273,26.0,26.0,1.0,,0.8459324847814056,1.0,0.92432350718065,26.0,0.9088801022683355,0.9978960357547835,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,12627.png,0.0015,,0.49643203744933495,0.3301693370795049,1.0,1.0,0.0,0.9165367550065955,0.12797357964807266,0.8720264203519273,26.0,26.0,1.0,,0.8459324847814056,1.0,0.92432350718065,26.0,0.9088801022683355,0.9978960357547835,,,0.001
,0.3760599262329366,0.23157253910274422,2.0,2.0,0.0,0.925741399762752,0.2176649226153452,0.7823350773846548,27.0,27.0,0.0,,0.8617491166077739,1.0,0.9180576432912881,24.0,0.9335548614341729,0.9976958686251844,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,12827.png,0.0015,,0.3760599262329366,0.23157253910274422,2.0,2.0,0.0,0.925741399762752,0.2176649226153452,0.7823350773846548,27.0,27.0,0.0,,0.8617491166077739,1.0,0.9180576432912881,24.0,0.9335548614341729,0.9976958686251844,,,0.001
,0.530457359696425,0.36096765425387334,0.0,0.0,0.0,0.9050989056512583,0.06088421052631579,0.9391157894736842,22.0,22.0,0.0,,0.8266490099634254,0.0,0.9477299016772701,22.0,0.8661380905186653,0.9995728649302021,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,13220.png,0.0015,,0.530457359696425,0.36096765425387334,0.0,0.0,0.0,0.9050989056512583,0.06088421052631579,0.9391157894736842,22.0,22.0,0.0,,0.8266490099634254,0.0,0.9477299016772701,22.0,0.8661380905186653,0.9995728649302021,,,0.001
