action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,bg_a_area,bg_b_area,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,bg_pair_distance,bridge_score_mean,bridge_score_p90,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,component_area,corridor_radius,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,pair_kind,pred_component_id,r226_hard_risk,r226_overerosion_proxy,r226_quick_useful,r226_safe_gap_positive,ring_bg_frac,ring_fg_frac,run_id,split
0.35,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,1.0,1.0,0.0,1.0,1.0,69.12307863514182,0.8928767713186956,1.212451094388962,0.4085343228200371,0.2567031942177664,1.0,1.0,0.8741423890823213,0.19539630836047775,0.77642357311047,0.856763828658213,0.8922405579480925,17815.0,1.0,1.0,0.0003658246602403468,20.0,63.0,17.0,0.4585477415666095,4.0,0.018674136321195144,0.55,0.45,2.8284271247461903,1.6271601883432527,0.032355885952711105,0.510980486869812,0.050490494817495346,3.7058823529411766,0.029661690816283226,0.0008998842577634947,0.0007101933428757534,0.0,0.0,-4.215767033155515e-05,-0.0003908794788273495,-6.652056440359377e-05,0.0001122217733928732,-0.00020961164678534594,11852.png,bg_seed,19.0,0.0,1.0,1.0,0.0,0.32142857142857145,0.6785714285714286,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,1.0,1.0,1.0,3.0,2.0,140.07141035914503,1.3921383003491539,2.409006250529217,0.40757723125376316,0.25594787970449656,1.0,1.0,0.8740653616735277,0.19552660152008686,0.7763020444709745,0.8567036908269136,0.8921452799268265,17815.0,1.0,1.0,0.00040240712626438146,22.0,51.0,54.0,0.4042145593869732,4.0,0.007988380537400145,0.7272727272727273,0.2727272727272727,7.615773105863909,3.769483738544571,0.03039044328033924,0.4748663008213043,0.042095307260751724,1.0588235294117647,0.021990980952978134,-5.720730851044298e-05,-4.5121170394069043e-05,0.0,0.0,-0.00011918507912522802,-0.00026058631921824227,-0.00018804920389903224,5.208394209343936e-05,-0.00030488966805142237,11852.png,bg_seed,19.0,1.0,1.0,0.0,0.0,0.1953125,0.8046875,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,1.0,1.0,0.0,1.0,1.0,30.265491900843113,0.9179422469041476,1.1753893812136829,0.40861212936754676,0.25676463727548404,1.0,1.0,0.8741914708929521,0.19552660152008686,0.7765010197482963,0.8567351493752401,0.892373947177865,5358.0,1.0,1.0,0.0001829123301201734,10.0,5.0,28.0,0.4089176829268293,3.0,0.07142857142857142,0.4,0.6,2.8284271247461903,1.6892922226992169,0.033319033682346344,0.5588235855102539,0.06922222673892975,5.6,0.014803595840930939,0.000977690805273157,0.0007716364005934118,0.0,0.0,6.924140299235937e-06,-0.00026058631921824227,1.0926073422790061e-05,8.354249041997441e-05,-7.622241701288335e-05,11852.png,bg_seed,20.0,0.0,0.0,1.0,0.0,0.29411764705882354,0.7058823529411765,R226-bg-connectivity-seam-scorer-diagnostic,val
0.35,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,1.0,1.0,0.0,1.0,1.0,28.0178514522438,0.9153199376734347,1.1184165609515313,0.4074641414844729,0.2558586918502973,1.0,1.0,0.8742171823230203,0.19561346362649296,0.7765415927442755,0.8567142883275102,0.8924501695948779,5358.0,1.0,1.0,7.316493204806936e-05,4.0,2.0,2.0,0.628808864265928,4.0,1.0,0.0,1.0,2.23606797749979,1.6625703849682212,0.02543638087809086,0.41960784792900085,0.03309468924999237,1.0,0.008318902924656868,-0.00017029707780069625,-0.0001343090245933265,0.0,0.0,3.263557036736753e-05,-0.000173724212812143,5.1499069401939046e-05,6.268144269006015e-05,0.0,11852.png,bg_seed,20.0,1.0,0.0,0.0,1.0,0.28125,0.71875,R226-bg-connectivity-seam-scorer-diagnostic,val
