mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,mean_threshold,meets_metric_gate,p10_threshold,passes_gate,risk,safe_useful,selected,selected_images
0.5277777777777778,0.4722222222222222,0.000361675078039303,0.00031439899225715884,0.0,1.3693467726338948e-05,-0.00046593213835444125,2.4499449420845032e-05,-0.0002396849200643758,0.12568345746028192,False,0.0003846038120306546,False,2,0,2,2
1.0,0.0,-0.0011482696657847402,-0.0009040659040455701,0.0,-0.00023743234794260104,0.0,-0.00039082855653982396,-0.0004422984777561201,0.12568345746028192,False,0.00332931517296266,False,1,0,1,1
1.0,0.0,-0.0011482696657847402,-0.0009040659040455701,0.0,-0.00023743234794260104,0.0,-0.00039082855653982396,-0.0004422984777561201,0.12568345746028192,False,0.03261475532643252,False,1,0,1,1
1.0,0.0,-0.0011482696657847402,-0.0009040659040455701,0.0,-0.00023743234794260104,0.0,-0.00039082855653982396,-0.0004422984777561201,0.12568345746028192,False,0.052515961220661996,False,1,0,1,1
1.0,0.0,-0.0011482696657847402,-0.0009040659040455701,0.0,-0.00023743234794260104,0.0,-0.00039082855653982396,-0.0004422984777561201,0.12568345746028192,False,0.08452409952223475,False,1,0,1,1
1.0,0.0,-0.0011482696657847402,-0.0009040659040455701,0.0,-0.00023743234794260104,0.0,-0.00039082855653982396,-0.0004422984777561201,0.12568345746028192,False,0.1,False,1,0,1,1
1.0,0.0,-0.0011482696657847402,-0.0009040659040455701,0.0,-0.00023743234794260104,0.0,-0.00039082855653982396,-0.0004422984777561201,0.12568345746028192,False,0.2,False,1,0,1,1
,,,,,,,,,0.12568345746028192,False,0.3,False,0,0,0,0
,,,,,,,,,0.12568345746028192,False,0.4,False,0,0,0,0
,,,,,,,,,0.12568345746028192,False,0.5,False,0,0,0,0
,,,,,,,,,0.12568345746028192,False,0.6,False,0,0,0,0
,,,,,,,,,0.12568345746028192,False,0.7,False,0,0,0,0
,,,,,,,,,0.12568345746028192,False,0.8,False,0,0,0,0
0.5277777777777778,0.4722222222222222,0.000361675078039303,0.00031439899225715884,0.0,1.3693467726338948e-05,-0.00046593213835444125,2.4499449420845032e-05,-0.0002396849200643758,0.15177699337063907,False,0.0003846038120306546,False,2,0,2,2
1.0,0.0,-0.0011482696657847402,-0.0009040659040455701,0.0,-0.00023743234794260104,0.0,-0.00039082855653982396,-0.0004422984777561201,0.15177699337063907,False,0.00332931517296266,False,1,0,1,1
1.0,0.0,-0.0011482696657847402,-0.0009040659040455701,0.0,-0.00023743234794260104,0.0,-0.00039082855653982396,-0.0004422984777561201,0.15177699337063907,False,0.03261475532643252,False,1,0,1,1
