accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
24,24,-0.00040650532356411445,-0.000366196510101163,-0.0001626674293479837,-0.0005307792558071305,-0.00027380001110973345,-0.0004883011426870901,0.08333333333333333,21,0.875,0.4,2,0.15
52,52,-0.0005001503319947895,-0.000371587845744631,-0.00019776573067755197,-0.0005459650939787591,-0.0003205180873173279,-0.0005406117840503723,0.15384615384615385,42,0.8076923076923077,0.45,8,0.15
72,72,-0.00064393761235165,-0.0005007228211423942,-0.00016857448404741638,-0.00048122861687393956,-0.00028190567598972534,-0.0004956907919067108,0.20833333333333334,56,0.7777777777777778,0.5,15,0.15
82,82,-0.0005394336293167417,-0.0004254444634803247,-0.00016312213316193062,-0.0005179676019967055,-0.000275388630262994,-0.0004962552771956874,0.2073170731707317,62,0.7560975609756098,0.55,17,0.15
89,89,-0.000532955322497452,-0.000416278055390537,-0.0001504485986140656,-0.0005436569369893108,-0.000254847217772133,-0.000493189754984172,0.21348314606741572,67,0.7528089887640449,0.6,19,0.15
90,90,-0.0004944845226367002,-0.0003848447008768964,-0.00014538151952015775,-0.0005376163043560962,-0.00024615604226621075,-0.0004815337629083273,0.2111111111111111,68,0.7555555555555555,0.65,19,0.15
91,91,-0.0005142089091521413,-0.0003967216508477834,-0.00014648355901327468,-0.0005383592263193133,-0.0002481278634651526,-0.00048242958041193925,0.2087912087912088,69,0.7582417582417582,0.7,19,0.15
92,92,-0.0005428743195827515,-0.0004158398578337709,-0.00016069826834661443,-0.0005330980723557123,-0.00027273962620737413,-0.0005071420714009821,0.20652173913043478,70,0.7608695652173914,0.75,19,0.15
92,92,-0.0005428743195827515,-0.0004158398578337709,-0.00016069826834661443,-0.0005330980723557123,-0.00027273962620737413,-0.0005071420714009821,0.20652173913043478,70,0.7608695652173914,0.8,19,0.15
0,0,,,,,,,0.0,0,0.0,0.1,0,0.2
0,0,,,,,,,0.0,0,0.0,0.15,0,0.2
1,1,0.001850975716052028,0.0011734223525954601,-0.00025641400097053957,-0.0009123187691093548,-0.0004264066403693034,-0.0006636434022785354,0.0,1,1.0,0.2,0,0.2
4,4,0.0011559059100597277,0.000718623413513541,-0.00031350473850882965,-0.0014658051371481198,-0.0005240040206061503,-0.000855201994519661,0.0,4,1.0,0.25,0,0.2
6,6,0.00045976401133563755,0.00021666515898609295,-0.0002081878833645745,-0.001224975382736193,-0.00035196396537501284,-0.0007189207509402847,0.0,5,0.8333333333333334,0.3,0,0.2
12,12,-0.00024545647383373653,-0.0002969173766126885,-0.00017318317023048055,-0.00087830200963458,-0.0002966172717683291,-0.0005816040514218801,0.08333333333333333,10,0.8333333333333334,0.35,1,0.2
24,24,-0.00040650532356411445,-0.000366196510101163,-0.0001626674293479837,-0.0005307792558071305,-0.00027380001110973345,-0.0004883011426870901,0.08333333333333333,21,0.875,0.4,2,0.2
52,52,-0.0005001503319947895,-0.000371587845744631,-0.00019776573067755197,-0.0005459650939787591,-0.0003205180873173279,-0.0005406117840503723,0.15384615384615385,42,0.8076923076923077,0.45,8,0.2
72,72,-0.00064393761235165,-0.0005007228211423942,-0.00016857448404741638,-0.00048122861687393956,-0.00028190567598972534,-0.0004956907919067108,0.20833333333333334,56,0.7777777777777778,0.5,15,0.2
82,82,-0.0005394336293167417,-0.0004254444634803247,-0.00016312213316193062,-0.0005179676019967055,-0.000275388630262994,-0.0004962552771956874,0.2073170731707317,62,0.7560975609756098,0.55,17,0.2
89,89,-0.000532955322497452,-0.000416278055390537,-0.0001504485986140656,-0.0005436569369893108,-0.000254847217772133,-0.000493189754984172,0.21348314606741572,67,0.7528089887640449,0.6,19,0.2
90,90,-0.0004944845226367002,-0.0003848447008768964,-0.00014538151952015775,-0.0005376163043560962,-0.00024615604226621075,-0.0004815337629083273,0.2111111111111111,68,0.7555555555555555,0.65,19,0.2
91,91,-0.0005142089091521413,-0.0003967216508477834,-0.00014648355901327468,-0.0005383592263193133,-0.0002481278634651526,-0.00048242958041193925,0.2087912087912088,69,0.7582417582417582,0.7,19,0.2
