action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,cut_adjacent_bg_components_before,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_area_after,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,lobe_a,lobe_b,local_anchor_frac,local_bg_frac,num_pseudo_lobes,pred_component_id,r225_hard_risk,r225_overerosion_proxy,r225_quick_useful,r225_safe_gap_positive,run_id,seam_radius,split
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.40737301513603863,0.25578683458690454,1.0,1.0,0.8741751523693078,0.19561346362649296,0.7764752698512709,0.8567038033038802,0.892373947177865,2.0,8.0,13.0,6.0,1196.0,0.6994152046783626,4.0,0.10256410256410256,0.5,0.5,0.01876251958310604,0.19901961088180542,0.02911648154258728,2.1666666666666665,0.009352345019578934,-0.0002614234262349746,-0.00020616628798608705,0.0,0.0,-9.39438334512932e-06,-0.000173724212812143,-1.4823823602627684e-05,5.219641906006878e-05,-7.622241701288335e-05,11852.png,1.0,2.0,0.30526315789473685,0.6947368421052632,2.0,1.0,1.0,0.0,0.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.4073902144647665,0.2558003964090008,1.0,1.0,0.874108642897144,0.19574375678610206,0.7763703286135889,0.8566462990743112,0.8922977247608521,1.0,9.0,16.0,7.0,1358.0,0.7254273504273504,4.0,0.08035714285714286,0.8888888888888888,0.1111111111111111,0.005939140450209379,0.16819173097610474,0.008642341941595078,2.2857142857142856,0.0087580606341362,-0.0002442240975071286,-0.00019260446588981184,0.0,0.0,-7.590385550892975e-05,-4.343105320303575e-05,-0.00011976506128463793,-5.3078105088921745e-06,-0.0001524448340257667,11852.png,1.0,2.0,0.2793803418803419,0.7206196581196581,2.0,2.0,1.0,1.0,0.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.40754156218073745,0.25591974804619155,1.0,1.0,0.8741669933359467,0.195656894679696,0.7764623955431755,0.8566881311283477,0.892373947177865,1.0,7.0,13.0,6.0,1344.0,0.7859649122807018,4.0,0.08974358974358974,0.5714285714285714,0.42857142857142855,0.010809098370373249,0.16862745583057404,0.013658772222697735,2.1666666666666665,0.007261333987116814,-9.287638153615552e-05,-7.325282869907745e-05,0.0,0.0,-1.7553416706173053e-05,-0.00013029315960910726,-2.769813169800628e-05,3.6524243527624733e-05,-7.622241701288335e-05,11852.png,1.0,3.0,0.21812865497076023,0.7818713450292397,3.0,3.0,1.0,1.0,0.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.4081518963836405,0.2564012831729367,1.0,1.0,0.8741833115549748,0.1955700325732899,0.7764881445863041,0.8567194760528338,0.892373947177865,1.0,9.0,12.0,7.0,1295.0,0.7546620046620046,4.0,0.10714285714285714,0.4444444444444444,0.5555555555555556,0.015284491702914238,0.18039216101169586,0.0322909876704216,1.7142857142857142,0.00805805716663599,0.0005174578213669179,0.00040828229804606986,0.0,0.0,-1.2351976781399543e-06,-0.00021715526601520652,-1.949088569430657e-06,6.786916801371223e-05,-7.622241701288335e-05,11852.png,1.0,2.0,0.2505827505827506,0.7494172494172494,3.0,3.0,0.0,0.0,1.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.4072973725745056,0.255727193238123,1.0,1.0,0.8741004844083964,0.1957871878393051,0.7763574566857332,0.8566306276640506,0.8922977247608521,2.0,8.0,12.0,5.0,1208.0,0.742014742014742,4.0,0.13333333333333333,1.0,0.0,0.04204948991537094,0.2392157018184662,0.04719727858901024,2.4,0.013442463241517544,-0.0003370659877680038,-0.0002658076367676454,0.0,0.0,-8.406234425650805e-05,0.0,-0.0001326369891403445,-2.0979220769490325e-05,-0.0001524448340257667,11852.png,1.0,2.0,0.2628992628992629,0.7371007371007371,2.0,4.0,1.0,1.0,0.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.40792832938773615,0.25622485276109397,1.0,1.0,0.8741646443905171,0.19561346362649296,0.7764586891280197,0.8567011818082031,0.8923548915736118,2.0,9.0,13.0,6.0,1211.0,0.708187134502924,4.0,0.11538461538461539,0.5555555555555556,0.4444444444444444,0.030980326235294342,0.21176470816135406,0.048347339034080505,2.1666666666666665,0.014789160341024399,0.0002938908254625505,0.00023185188620333808,0.0,0.0,-1.9902362135781893e-05,-0.000173724212812143,-3.140454685379712e-05,4.9574923382977865e-05,-9.527802126607643e-05,11852.png,1.0,2.0,0.2970760233918129,0.7029239766081872,2.0,5.0,0.0,1.0,1.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.4080988204699545,0.25635939323220536,1.0,1.0,0.8742229937839503,0.19552660152008686,0.7765507635676268,0.8567430118542368,0.8924311139906247,2.0,7.0,12.0,7.0,1271.0,0.7406759906759907,4.0,0.08333333333333333,0.14285714285714285,0.8571428571428571,0.023988371714949608,0.21232494711875916,0.042284708470106125,1.7142857142857142,0.014435963705182076,0.0004643819076808886,0.0003663923573147265,0.0,0.0,3.844703129740612e-05,-0.00026058631921824227,6.066989275321788e-05,9.140496941673071e-05,-1.905560425319308e-05,11852.png,1.0,2.0,0.2634032634032634,0.7365967365967366,4.0,6.0,0.0,0.0,1.0,1.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.40819169685149065,0.2564326973569053,1.0,1.0,0.8742335010219986,0.19552660152008686,0.7765673448407369,0.8567456324887954,0.8924501695948779,1.0,6.0,9.0,6.0,1261.0,0.8093709884467266,4.0,0.1111111111111111,0.0,1.0,0.02404032088816166,0.19477124512195587,0.034796081483364105,1.5,0.012122375890612602,0.0005572582892170441,0.00043969648201469536,0.0,0.0,4.895426934570235e-05,-0.00026058631921824227,7.725116586332348e-05,9.402560397531179e-05,0.0,11852.png,2.0,4.0,0.1944801026957638,0.8055198973042362,4.0,6.0,0.0,0.0,1.0,1.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.40766874013554916,0.2560200571395254,1.0,1.0,0.8741564853790799,0.195656894679696,0.7764458150948401,0.8566855093939227,0.8923548915736118,2.0,8.0,11.0,5.0,1207.0,0.7586423632935261,4.0,0.14545454545454545,0.625,0.375,0.039358340203762054,0.20392157137393951,0.05744461715221405,2.2,0.02047118730843067,3.43015732755525e-05,2.7056264634783833e-05,0.0,0.0,-2.8061373573029513e-05,-0.00013029315960910726,-4.427858003341889e-05,3.390250910262349e-05,-9.527802126607643e-05,11852.png,1.0,3.0,0.24638592080452545,0.7536140791954745,4.0,6.0,0.0,1.0,1.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.40767052049960534,0.2560214614801423,1.0,1.0,0.8741611834429978,0.19574375678610206,0.776453228106244,0.8566594106133499,0.8923930027821182,1.0,4.0,2.0,2.0,796.0,0.6885813148788927,4.0,1.0,0.75,0.25,0.01933976821601391,0.1823529452085495,0.02460276335477829,1.0,0.011600155383348465,3.608193733173337e-05,2.846060525169003e-05,0.0,0.0,-2.3363309655133335e-05,-4.343105320303575e-05,-3.68655686295849e-05,7.803728529820475e-06,-5.7166812759690266e-05,11852.png,1.0,2.0,0.314878892733564,0.6851211072664359,2.0,7.0,0.0,1.0,1.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
