useful_threshold,risk_threshold,accepted,positive,strict_useful,hard_risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.8,0.35,7,3,2,4,0.2857142857142857,0.5714285714285714,-4.6,1590.png|2044.png|2248.png|3354.png|3567.png|3777.png|4193.png,2044.png|2248.png,3354.png|3567.png|3777.png|4193.png
0.55,0.3,11,4,4,6,0.36363636363636365,0.5454545454545454,-5.8,14041.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|4193.png
0.6,0.3,11,4,4,6,0.36363636363636365,0.5454545454545454,-5.8,14041.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|4193.png
0.8,0.4,9,4,2,5,0.2222222222222222,0.5555555555555556,-6.2,1590.png|2044.png|2248.png|3353.png|3354.png|3567.png|3678.png|3777.png|4193.png,2044.png|2248.png,3354.png|3567.png|3678.png|3777.png|4193.png
0.7,0.3,7,2,2,5,0.2857142857142857,0.7142857142857143,-6.6,14041.png|1901.png|2044.png|2248.png|3354.png|3366.png|4193.png,2044.png|2248.png,14041.png|1901.png|3354.png|3366.png|4193.png
0.1,0.3,14,4,4,7,0.2857142857142857,0.5,-7.199999999999999,14041.png|1585.png|1846.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3392.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|3392.png|4193.png
0.15,0.3,14,4,4,7,0.2857142857142857,0.5,-7.199999999999999,14041.png|1585.png|1846.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3392.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|3392.png|4193.png
0.2,0.3,14,4,4,7,0.2857142857142857,0.5,-7.199999999999999,14041.png|1585.png|1846.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3392.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|3392.png|4193.png
0.25,0.3,14,4,4,7,0.2857142857142857,0.5,-7.199999999999999,14041.png|1585.png|1846.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3392.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|3392.png|4193.png
0.3,0.3,14,4,4,7,0.2857142857142857,0.5,-7.199999999999999,14041.png|1585.png|1846.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3392.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|3392.png|4193.png
0.35,0.3,14,4,4,7,0.2857142857142857,0.5,-7.199999999999999,14041.png|1585.png|1846.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3392.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|3392.png|4193.png
0.4,0.3,14,4,4,7,0.2857142857142857,0.5,-7.199999999999999,14041.png|1585.png|1846.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3392.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|3392.png|4193.png
0.45,0.3,14,4,4,7,0.2857142857142857,0.5,-7.199999999999999,14041.png|1585.png|1846.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3392.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|3392.png|4193.png
0.5,0.3,13,4,4,7,0.3076923076923077,0.5384615384615384,-7.4,14041.png|1846.png|1855.png|1901.png|2044.png|2248.png|3354.png|3366.png|3392.png|3493.png|3700.png|3840.png|4193.png,2044.png|2248.png|3700.png|3840.png,14041.png|1855.png|1901.png|3354.png|3366.png|3392.png|4193.png
0.8,0.45,10,4,2,6,0.2,0.6,-8.0,1418.png|1590.png|2044.png|2248.png|3353.png|3354.png|3567.png|3678.png|3777.png|4193.png,2044.png|2248.png,1418.png|3354.png|3567.png|3678.png|3777.png|4193.png
