accepted,action_frac,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,cut_area,cut_gt_fg_frac,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,dilate_radius,hard_risk,image,overerosion_proxy,pred_component_id,quick_useful,reject_reason,ridge_area,ridge_score,ridge_slenderness,safe_gap_positive,seam_prob_mean,seam_prob_p90
1.0,0.2,0.40863802771212754,0.25678509027373325,1.0,1.0,0.8743232647574954,prob_ridge,0.1950488599348534,0.776709011907526,0.8569180663812347,0.8924501695948779,17.0,0.0,1.0,0.001003589149853934,0.0007920893988426214,0.0,0.0,0.00013871800484255292,-0.000738327904451691,0.00021891823265240973,0.0002664594964145728,0.0,0.0,0.0,11852.png,0.0,19.0,1.0,accepted,17.0,1.0480587458610535,3.0,1.0,0.9846585281488679,0.9924634844022434
0.0,0.2,0.4091351276231065,0.25717779977869665,1.0,1.0,0.87438855905306,prob_ridge,0.1947014115092291,0.7768120749709736,0.8570435164513414,0.8924501695948779,25.0,0.0,1.0,0.0015006890608328938,0.001184798903806017,0.0,0.0,0.00020401230040711926,-0.0010857763300760048,0.0003219812961000601,0.0003919095665212424,0.0,0.0,0.0,11852.png,0.0,19.0,1.0,max_cuts_reached,25.0,1.035285758972168,2.5,1.0,0.9590222909227285,0.9922517706779874
0.0,0.2,0.4087198515769944,0.25684971435233767,1.0,1.0,0.8742801138750175,prob_ridge,0.19522258414766558,0.7766409074325893,0.8568527361545639,0.8924311139906247,14.0,0.07142857142857142,0.9285714285714286,0.0010854130147208152,0.0008567134774470353,0.0,0.0,9.556712236458154e-05,-0.0005646036916395203,0.0001508137577157509,0.00020112926974380496,-1.905560425319308e-05,0.0,0.0,11852.png,0.0,19.0,1.0,recall_drop,14.0,0.9784129452705383,1.0,1.0,0.9515115132598113,0.9733914133345622
0.0,0.2,0.4091836734693878,0.2572161642078255,1.0,1.0,0.8743454031196617,prob_ridge,0.19487513572204126,0.7767439546223505,0.8569781697743784,0.8924311139906247,22.0,0.045454545454545456,0.9545454545454546,0.001549234907114172,0.0012231633329348734,0.0,0.0,0.00016085636700879924,-0.0009120521172638341,0.0002538609474769249,0.0003265628895582351,-1.905560425319308e-05,0.0,0.0,11852.png,0.0,19.0,1.0,recall_drop,22.0,0.9767389488220215,1.0,1.0,0.948804334742097,0.9776696345633221
1.0,0.2,0.45652789578023223,0.29577981651376145,1.0,-1.0,0.924856195026935,prob_ridge,0.10502577319587629,0.860216271301591,0.9490318550905684,0.9018816406481867,15.0,0.0,1.0,0.00024981585590022615,0.00020969213412785903,0.0,0.0,0.00014071818438121664,-0.0006443298969072142,0.00024343906251467207,0.0002962946784548226,0.0,0.0,0.0,13480.png,0.0,21.0,1.0,accepted,15.0,1.0129123242696125,2.6666666666666665,1.0,0.9158958747040288,0.9648986593196768
0.0,0.2,0.45847301572312193,0.29741484930164175,1.0,-1.0,0.9248675745337203,prob_ridge,0.10442439862542956,0.8602359603586598,0.9492969482345589,0.9016639955679547,40.0,0.275,0.725,0.002194935798789932,0.0018447249220081563,0.0,0.0,0.0001520976911665306,-0.0012457044673539475,0.0002631281195835111,0.0005613878224453028,-0.00021764508023192075,0.0,0.0,13480.png,0.0,21.0,1.0,recall_drop,40.0,1.0237878346443177,2.0,0.0,0.9783183391020284,0.9912433432915555
0.0,0.2,0.456198347107438,0.2955032119914347,1.0,-1.0,0.9248092842071093,prob_ridge,0.1052405498281787,0.860135109635053,0.9489330696367232,0.9018816406481867,10.0,0.0,1.0,-7.973281689399592e-05,-6.6912388198892e-05,0.0,0.0,9.380736455555372e-05,-0.00042955326460480947,0.00016227739597673985,0.0001975092246095933,0.0,0.0,1.0,13480.png,0.0,21.0,0.0,boundary_iou_drop,10.0,1.026084122657776,3.0,1.0,0.9466789207374668,0.9653396644319914
0.0,0.2,0.4568408136297135,0.29604257141109547,1.0,-1.0,0.9246026106904323,prob_ridge,0.1043384879725086,0.8597776225624375,0.9493090439168769,0.901149561741952,68.0,0.5441176470588235,0.45588235294117646,0.0005627337053815129,0.0004724470314618756,0.0,0.0,-0.00011286615212147133,-0.0013316151202749094,-0.00019520967663877453,0.0005734835047632725,-0.0007320789062346122,0.0,0.0,13480.png,1.0,21.0,1.0,recall_drop,68.0,1.0079332361221314,1.3,0.0,0.9177012437309788,0.9902180433764145
0.0,0.2,0.27582766439909295,0.1599768530695986,4.0,-4.0,0.8650542471553321,prob_ridge,0.27186781364449364,0.7621987614713124,0.8492424714757778,0.8814659821390052,21.0,0.0,1.0,-0.0008658436305690187,-0.0005828090212144921,0.0,0.0,0.00019224241439064205,-0.0008943020185674389,0.0002984389087109518,0.00037047845571047677,0.0,0.0,1.0,13867.png,0.0,19.0,0.0,boundary_iou_drop,21.0,1.185299916267395,21.0,1.0,0.9854393403319399,0.9883328513212004
0.0,0.2,0.27597785642980305,0.16007790703795335,4.0,-4.0,0.8646577546333047,prob_ridge,0.2727621156630611,0.7615833535323402,0.8488186031046736,0.8810992708917554,17.0,1.0,0.0,-0.0007156515998589241,-0.00048175505285974474,0.0,0.0,-0.00020425010763669427,0.0,-0.00031696903026123824,-5.3389915393720067e-05,-0.00036671124724974025,0.0,1.0,13867.png,1.0,19.0,0.0,recall_drop,17.0,1.1046921277046204,17.0,0.0,0.9832452049797794,0.9963993970933646
0.0,0.2,0.2757151276123124,0.15990114628246924,4.0,-4.0,0.8645736302819883,prob_ridge,0.2727621156630611,0.7614528368728208,0.8487966080558673,0.880948272142888,24.0,1.0,0.0,-0.0009783804173495447,-0.0006585158083438625,0.0,0.0,-0.0002883744589531334,0.0,-0.0004474856897805912,-7.538496420000929e-05,-0.0005177099961172216,0.0,1.0,13867.png,1.0,19.0,0.0,recall_drop,24.0,1.2390208649635315,24.0,0.0,0.9801114187078676,0.9866173205483155
0.0,0.2,0.2802432162628188,0.16295514511873352,2.0,-2.0,0.8651258324422187,prob_ridge,0.27114385486755815,0.7623099169698666,0.8495207202711413,0.8813149833901376,45.0,0.15555555555555556,0.8444444444444444,0.003549708233156812,0.0023954830279204198,-2.0,2.0,0.00026382770127730826,-0.0016182607955029238,0.00040959440726517915,0.0006487272510740105,-0.00015099874886759235,0.0,0.0,13867.png,0.0,19.0,1.0,recall_drop,45.0,1.025487336090633,2.142857142857143,1.0,0.9660202765191224,0.9993414197296264
0.0,0.2,0.45576978181669325,0.2951436751139858,3.0,-3.0,0.9404574334772126,prob_ridge,0.21023062114485522,0.8876070326873331,0.9203516975286508,0.9614612364769697,20.0,0.05,0.95,0.0011721748670128762,0.0009823557100509528,0.0,0.0,0.0001231646993232749,-0.0007464738930577919,0.00021939612254262553,0.0002496025746078212,-1.4983967155157707e-05,0.0,0.0,14041.png,0.0,19.0,1.0,recall_drop,20.0,0.9963650894165039,1.0,1.0,0.9681061916448559,0.986284120952678
0.0,0.2,0.4559449721585326,0.2952906236741621,3.0,-3.0,0.9404979149718943,prob_ridge,0.20995560444741287,0.8876791544463505,0.9204429716974366,0.9614462525098145,28.0,0.07142857142857142,0.9285714285714286,0.0013473652088522026,0.0011293042702272271,0.0,0.0,0.00016364619400499603,-0.0010214905905001348,0.00029151788156001057,0.0003408767433936699,-2.9967934310315414e-05,0.0,0.0,14041.png,0.0,19.0,1.0,recall_drop,28.0,0.9979083164532979,1.1666666666666667,1.0,0.9584631883909805,0.9858697014056187
0.0,0.2,0.44129424955950664,0.2831158154352071,1.0,-1.0,0.9396483958888914,prob_ridge,0.1906198160156839,0.8861668075436141,0.9266122839300462,0.9530565407886501,7.0,0.14285714285714285,0.8571428571428571,0.000686902097465858,0.0005652039872572345,0.0,0.0,3.362721868871432e-05,-0.000226210224702178,5.981462382409486e-05,7.94837446035368e-05,-1.4902685463891174e-05,0.0,0.0,15040.png,0.0,20.0,1.0,recall_drop,7.0,0.9879733109474182,2.0,1.0,0.9767008369450378,0.9843335893571991
0.0,0.2,0.4407947444319821,0.2827047579899291,1.0,-1.0,0.9396414928004702,prob_ridge,0.19065751771980094,0.8861545283228024,0.9265988582688574,0.9530565407886501,6.0,0.16666666666666666,0.8333333333333334,0.00018739696994130028,0.00015414654197926092,0.0,0.0,2.672413026749698e-05,-0.00018850852058513445,4.753540301238868e-05,6.605808341464403e-05,-1.4902685463891174e-05,0.0,0.0,15040.png,0.0,20.0,1.0,recall_drop,6.0,0.9732167975107828,1.3333333333333333,1.0,0.9544743841739306,0.9835376210843116
0.0,0.2,0.4411069726460811,0.2829616688932278,1.0,-1.0,0.9396535257210867,prob_ridge,0.19050671090333282,0.8861759325979713,0.9266504376050542,0.9530267354177223,12.0,0.25,0.75,0.0004996251840403421,0.0004110574452779736,0.0,0.0,3.8757050884075106e-05,-0.0003393153370532531,6.893967818133451e-05,0.00011763741961146046,-4.470805639167352e-05,0.0,0.0,15040.png,0.0,20.0,1.0,recall_drop,12.0,0.9633504343032837,1.0,1.0,0.9437131522570591,0.9840079670716289
0.0,0.2,0.44071462906585485,0.28263885320865234,1.0,-1.0,0.9396241385897116,prob_ridge,0.19058211431156688,0.8861236593409639,0.926621457137889,0.9529969300467944,12.0,0.4166666666666667,0.5833333333333334,0.00010728160381406893,8.82417607024899e-05,0.0,0.0,9.369919508950275e-06,-0.0002639119288191938,1.666642117392758e-05,8.865695244630878e-05,-7.45134273195669e-05,0.0,0.0,15040.png,0.0,20.0,1.0,recall_drop,12.0,0.9690199780464173,1.5,0.0,0.9329231301407273,0.9799133237070384
1.0,0.2,0.4494921218907462,0.28989992778293616,2.0,-2.0,0.9376998808553333,prob_ridge,0.19143083242265516,0.8827071219857737,0.9206261255021471,0.9554188962542928,21.0,0.0,1.0,0.000852121890746238,0.0007085086410219543,0.0,0.0,0.00015432727648734268,-0.0007913479293062686,0.0002734734308262876,0.000297469667582817,0.0,0.0,0.0,15067.png,0.0,20.0,1.0,accepted,21.0,1.0339502716064453,3.25,1.0,0.9820186945485128,0.9928193430086771
0.0,0.2,0.45014176750129786,0.29044060809069827,2.0,-2.0,0.9377023478226786,prob_ridge,0.19120473301428195,0.8827114941850168,0.9207050492610838,0.9553390304288795,32.0,0.15625,0.84375,0.0015017675012978793,0.0012491889487840635,0.0,0.0,0.0001567942438326364,-0.0010174473376794724,0.00027784563006938434,0.0003763934265195168,-7.986582541330556e-05,0.0,0.0,15067.png,0.0,20.0,1.0,recall_drop,32.0,1.0167464092799596,1.2857142857142858,1.0,0.9667712638083745,0.9928761457231495
0.0,0.2,0.45130337438029744,0.29140850888062786,1.0,-1.0,0.9380006119134848,prob_ridge,0.1885669065832611,0.8832402564784446,0.921666872224963,0.9549237281367303,128.0,0.2421875,0.7578125,0.0026633743802974563,0.0022170897387136512,-1.0,1.0,0.00045505833463888035,-0.0036552737687003123,0.0008066079234971824,0.001338216390398772,-0.00049516811756245,0.0,0.0,15067.png,0.0,20.0,1.0,recall_drop,128.0,1.0415642782358023,3.6923076923076925,1.0,0.963540358637679,0.9928223791764816
0.0,0.2,0.4489240860731141,0.28942753996905624,2.0,-2.0,0.9375739668158413,prob_ridge,0.19203376417831708,0.8824839918557644,0.9203982396208414,0.9554029230892102,6.0,0.16666666666666666,0.8333333333333334,0.0002840860731141426,0.00023612082714202787,0.0,0.0,2.841323699531717e-05,-0.0001884161736443457,5.034330081699068e-05,6.958378627719419e-05,-1.5973165082616703e-05,0.0,0.0,15067.png,0.0,20.0,1.0,recall_drop,6.0,1.0608776164054872,6.0,1.0,0.9367902575872639,0.9690192153485961
0.0,0.2,0.49275907466616514,0.3269278762166209,0.0,0.0,0.9312301154693305,prob_ridge,0.11311750290210242,0.8713102127482409,0.9398028605429194,0.9228123553145049,6.0,1.0,0.0,-0.0005566850777625754,-0.0004902692470131753,0.0,0.0,-7.133058183739216e-05,0.0,-0.00012490111994678532,-8.10863293310149e-06,-0.0001322838812091165,0.0,1.0,15369.png,1.0,19.0,0.0,recall_drop,6.0,0.8861994695663452,6.0,0.0,0.9993606030817342,0.9993725552913894
0.0,0.2,0.49275907466616514,0.3269278762166209,0.0,0.0,0.9312301154693305,prob_ridge,0.11311750290210242,0.8713102127482409,0.9398028605429194,0.9228123553145049,6.0,1.0,0.0,-0.0005566850777625754,-0.0004902692470131753,0.0,0.0,-7.133058183739216e-05,0.0,-0.00012490111994678532,-8.10863293310149e-06,-0.0001322838812091165,0.0,1.0,15369.png,1.0,19.0,0.0,recall_drop,6.0,0.8825566720962524,6.0,0.0,0.9841524929751979,0.9926060511587051
0.0,0.2,0.4924812030075188,0.3266832917705736,0.0,0.0,0.9311825564578929,prob_ridge,0.11311750290210242,0.8712269453349432,0.9397974535737543,0.9227241660603656,10.0,1.0,0.0,-0.0008345567364089201,-0.0007348536930604777,0.0,0.0,-0.0001188895932749956,0.0,-0.0002081685332445682,-1.35156020981686e-05,-0.00022047313534845348,0.0,1.0,15369.png,1.0,19.0,0.0,recall_drop,10.0,0.9539638876914978,10.0,0.0,0.9764420764673003,0.9773592200895995
0.0,0.2,0.49123464891722135,0.325587175344849,0.0,0.0,0.930968488517002,prob_ridge,0.11311750290210242,0.870852241975103,0.9397731101875773,0.9223273144167383,28.0,1.0,0.0,-0.002081110826706367,-0.0018309701187850802,0.0,0.0,-0.0003329575341659563,0.0,-0.0005828718930847021,-3.7858988275241146e-05,-0.0006173247789756919,0.0,1.0,15369.png,1.0,19.0,0.0,recall_drop,28.0,1.3130956268310547,28.0,0.0,0.975426440557985,0.9757197517313871
0.0,0.2,0.4172864585039809,0.2636525483376806,2.0,-2.0,0.9323398616476507,prob_ridge,0.19401078183914494,0.8732552880418205,0.927279022494248,0.9374562453422461,49.0,0.3877551020408163,0.6122448979591837,0.0007373591240799615,0.0005884399294091014,0.0,0.0,4.3137069357768176e-05,-0.000934841544358217,7.568277174485605e-05,0.0002951081354969354,-0.00021453896705125874,0.0,0.0,1620.png,0.0,20.0,1.0,recall_drop,49.0,1.0083353781700135,1.375,0.0,0.9649158084850294,0.9864613351096504
