accepted,action_frac,bg_a_area,bg_b_area,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,bg_pair_distance,bridge_score_mean,bridge_score_p90,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,component_area,corridor_radius,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,overerosion_proxy,pred_component_id,r242_key,r242_risk_label,r242_risk_prob,r242_safe_useful_label,r242_useful_prob,reject_reason,ring_bg_frac,ring_fg_frac,run_id,seam_prob_mean,seam_prob_p90,split
0.0,0.15,1.0,1.0,1.0,0.0,1.0,1.0,55.00909015790027,0.9548746159977789,1.2732918155825736,0.4073902144647665,0.2558003964090008,1.0,1.0,0.874142517149657,bg_seed,0.1957871878393051,0.7764237751803034,0.8566411180419632,0.892373947177865,17815.0,1.0,1.0,7.316493204806936e-05,4.0,2.0,23.0,0.6003568242640499,4.0,0.08695652173913043,1.0,0.0,1.4142135623730951,1.3106601717798214,0.02962583489716053,0.5627450942993164,0.04510887991636992,11.5,0.020092058926820755,-0.0002442240975071286,-0.00019260446588981184,0.0,0.0,-4.202960299592995e-05,0.0,-6.631849457017225e-05,-1.0488842856926084e-05,-7.622241701288335e-05,11852.png,1.0,19.0,11852.png|bg_seed|19|1|0.1500|4|55.009|1.273,1.0,0.794066846370697,0.0,0.6913550496101379,low_mean_prob,0.32142857142857145,0.6785714285714286,R239-gtfree-bg-channel-seam-prob-editor,0.00462197280320855,0.011380556414312425,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,55.00909015790027,1.0170334725894858,1.2476831102732593,0.4072767774271394,0.2557109557109557,1.0,1.0,0.8741109928879431,bg_seed,0.1957871878393051,0.7763740363093757,0.8566332504024586,0.8923167803651054,17815.0,1.0,1.0,0.00012803863108412137,7.0,2.0,23.0,0.6016949152542372,4.0,0.15217391304347827,1.0,0.0,2.0,1.6060915267313265,0.034685101360082626,0.5731092095375061,0.053585375845432284,11.5,0.023193545639514923,-0.00035766113513419073,-0.00028204516393492973,0.0,0.0,-7.355386470975223e-05,0.0,-0.00011605736549780143,-1.835648236148124e-05,-0.0001333892297724626,11852.png,1.0,19.0,11852.png|bg_seed|19|1|0.2500|7|55.009|1.248,1.0,0.8292309641838074,0.0,0.6422651410102844,low_mean_prob,0.27941176470588236,0.7205882352941176,R239-gtfree-bg-channel-seam-prob-editor,0.004927433082064744,0.010656573427075513,val
0.0,0.35,1.0,1.0,1.0,0.0,1.0,1.0,55.00909015790027,0.8789915983055641,1.2732918155825736,0.4074469566832258,0.2558451402250598,1.0,1.0,0.874142517149657,bg_seed,0.1957871878393051,0.7764237751803034,0.8566411180419632,0.892373947177865,17815.0,1.0,1.0,7.316493204806936e-05,4.0,2.0,2.0,0.600415512465374,4.0,1.0,1.0,0.0,2.23606797749979,1.516123775561495,0.027934176847338676,0.551960825920105,0.04307888858020306,1.0,0.0058000776916742325,-0.00018748187904782387,-0.00014786064983085545,0.0,0.0,-4.202960299592995e-05,0.0,-6.631849457017225e-05,-1.0488842856926084e-05,-7.622241701288335e-05,11852.png,1.0,19.0,11852.png|bg_seed|19|1|0.3500|4|55.009|1.273,1.0,0.6993315815925598,0.0,0.829174816608429,low_mean_prob,0.34375,0.65625,R239-gtfree-bg-channel-seam-prob-editor,0.0010205269301001602,0.0012965079696089317,val
0.0,0.15,1.0,1.0,1.0,0.0,1.0,1.0,55.00909015790027,1.4635344236662844,1.892292161005923,0.4071667285555143,0.2556241986245483,1.0,1.0,0.8740899757326862,bg_seed,0.1957871878393051,0.7763408770620907,0.8566280048296806,0.8922786691565989,17815.0,2.0,1.0,0.00016462109710815607,9.0,3.0,23.0,0.6093003042155585,4.0,0.13043478260869565,1.0,0.0,1.4142135623730951,1.1840949166102646,0.03178399056196213,0.5838779807090759,0.052757376432418825,7.666666666666667,0.024134868755936623,-0.0004677100067593254,-0.00036880225034230385,0.0,0.0,-9.457101996668271e-05,0.0,-0.00014921661278288756,-2.360205513951552e-05,-0.00017150043827895978,11852.png,1.0,19.0,11852.png|bg_seed|19|2|0.1500|9|55.009|1.892,1.0,0.8859965205192566,0.0,0.5274391770362854,low_mean_prob,0.32894736842105265,0.6710526315789473,R239-gtfree-bg-channel-seam-prob-editor,0.032850771857774505,0.0629087682557967,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,55.00909015790027,1.2579540969398935,1.847932016849518,0.40681427841990436,0.2553464250335062,1.0,1.0,0.8740584485285195,bg_seed,0.1957871878393051,0.776291138191163,0.8566201357507456,0.8922215023438393,17815.0,2.0,1.0,0.00021949479614420808,12.0,3.0,23.0,0.6106040851803564,4.0,0.17391304347826086,1.0,0.0,2.23606797749979,1.456559055384923,0.03363180533051491,0.5803921818733215,0.05565537437796593,7.666666666666667,0.0238539706915617,-0.0008201601423692417,-0.0006465758413844447,0.0,0.0,-0.00012609822413334193,0.0,-0.00019895548371051675,-3.147113407453439e-05,-0.00022866725103853902,11852.png,1.0,19.0,11852.png|bg_seed|19|2|0.2500|12|55.009|1.848,1.0,0.9064244031906128,0.0,0.4687599837779999,low_mean_prob,0.3472222222222222,0.6527777777777778,R239-gtfree-bg-channel-seam-prob-editor,0.02523530819364414,0.01815327050396412,val
0.0,0.35,1.0,1.0,1.0,0.0,1.0,1.0,55.00909015790027,1.2750627203229523,1.858847200870514,0.4068488701220361,0.25537368206442596,1.0,1.0,0.8740164095096749,bg_seed,0.1957871878393051,0.7762248196965928,0.8566096423017108,0.8921452799268265,17815.0,2.0,1.0,0.00029265972819227744,16.0,3.0,23.0,0.612342459800087,4.0,0.2318840579710145,1.0,0.0,2.8284271247461903,1.6370928316711213,0.03542336821556091,0.5811274647712708,0.05562983267009258,7.666666666666667,0.021667275577783585,-0.0007855684402375274,-0.0006193188104646752,0.0,0.0,-0.00016813724297803923,0.0,-0.000265273978280689,-4.1964583109344034e-05,-0.00030488966805142237,11852.png,1.0,19.0,11852.png|bg_seed|19|2|0.3500|16|55.009|1.859,1.0,0.9197539687156677,0.0,0.43156203627586365,low_mean_prob,0.3125,0.6875,R239-gtfree-bg-channel-seam-prob-editor,0.020792324206763694,0.01713178821268445,val
0.0,0.15,1.0,1.0,1.0,0.0,1.0,1.0,55.00909015790027,1.7381914677094104,2.9623939514160162,0.4074469566832258,0.2558451402250598,1.0,1.0,0.8741226105137395,bg_seed,0.19561346362649296,0.7763923662350152,0.8566906948662593,0.8922786691565989,17815.0,3.0,1.0,0.00023778602915622542,13.0,4.0,55.0,0.5087912087912088,3.0,0.05909090909090909,0.6923076923076923,0.3076923076923077,1.4142135623730951,1.0637251634420148,0.04060806334018707,0.5616893172264099,0.06420332789421082,13.75,0.032307110726833344,-0.00018748187904782387,-0.00014786064983085545,0.0,0.0,-6.193623891337374e-05,-0.000173724212812143,-9.772743985836385e-05,3.908798143914538e-05,-0.00017150043827895978,11852.png,1.0,19.0,11852.png|bg_seed|19|3|0.1500|13|55.009|2.962,1.0,0.7449792623519897,0.0,0.796923041343689,low_mean_prob,0.4230769230769231,0.5769230769230769,R239-gtfree-bg-channel-seam-prob-editor,0.02234008904295358,0.017897899931144202,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,55.00909015790027,1.4839173406362534,1.8624856352806092,0.4074830563550274,0.2558736081151985,1.0,1.0,0.874142517149657,bg_seed,0.1957871878393051,0.7764237751803034,0.8566411180419632,0.892373947177865,17815.0,3.0,1.0,7.316493204806936e-05,4.0,2.0,2.0,0.5228531855955678,3.0,1.0,1.0,0.0,2.0,1.5,0.03583380952477455,0.5872549414634705,0.05178605504333973,1.0,0.01695256493985653,-0.00015138220724619789,-0.00011939275969213847,0.0,0.0,-4.202960299592995e-05,0.0,-6.631849457017225e-05,-1.0488842856926084e-05,-7.622241701288335e-05,11852.png,1.0,19.0,11852.png|bg_seed|19|3|0.2500|4|55.009|1.862,1.0,0.8743144869804382,0.0,0.4716491401195526,low_mean_prob,0.25,0.75,R239-gtfree-bg-channel-seam-prob-editor,0.06779818290106851,0.1741590862033282,val
0.0,0.35,1.0,1.0,1.0,0.0,1.0,1.0,55.00909015790027,1.739999206015029,2.662844705626837,0.4077201447527141,0.25606060606060604,1.0,1.0,0.8740606592421796,bg_seed,0.19543973941368079,0.7762946258311639,0.856729801445695,0.8921071687183201,17815.0,3.0,1.0,0.00047557205831245085,26.0,4.0,56.0,0.5067934782608695,3.0,0.11607142857142858,0.6923076923076923,0.3076923076923077,2.23606797749979,1.437370418908125,0.040939755737781525,0.5645551085472107,0.06444820761680603,14.0,0.027331797406077385,8.570619044051542e-05,6.760518571541363e-05,0.0,0.0,-0.00012388751047331947,-0.00034744842562431377,-0.0001954678437096069,7.819456087487797e-05,-0.00034300087655780853,11852.png,1.0,19.0,11852.png|bg_seed|19|3|0.3500|26|55.009|2.663,1.0,0.8405835628509521,0.0,0.7013680934906006,low_mean_prob,0.39285714285714285,0.6071428571428571,R239-gtfree-bg-channel-seam-prob-editor,0.01360209940947297,0.013070737981298045,val
0.0,0.15,1.0,1.0,1.0,0.0,2.0,2.0,61.032778078668514,0.8572805454017607,1.2591977572983166,0.407966203983102,0.2562547384382108,1.0,1.0,0.8742253415963563,bg_seed,0.1955700325732899,0.7765544685790085,0.8567299601214649,0.8924501695948779,17815.0,1.0,2.0,9.14561650600867e-05,5.0,3.0,60.0,0.2686965811965812,4.0,0.027777777777777776,0.0,1.0,1.4142135623730951,1.082842712474619,0.07306401431560516,0.5576471090316772,0.07978272885084152,20.0,0.031017599627375603,0.00033176542082841154,0.0002617375633201524,0.0,0.0,4.07948437034511e-05,-0.00021715526601520652,6.437490413491176e-05,7.835323664473481e-05,0.0,11852.png,0.0,19.0,11852.png|bg_seed|19|1|0.1500|5|61.033|1.259,0.0,0.8127351999282837,1.0,0.6877068877220154,low_mean_prob,0.4,0.6,R239-gtfree-bg-channel-seam-prob-editor,0.11769024752561912,0.33065890283500804,val
