anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,cut_pixels,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,edited,image,num_accepted_cuts,r238_boundary_f1,r238_boundary_iou,r238_component_count_mae,r238_component_delta_mean,r238_dice,r238_gap_region_fp_rate,r238_iou,r238_precision,r238_recall
0.456278079924332,0.2955701243796336,1.0,-1.0,0.9247154768425537,0.1056701030927835,0.8599728322390763,0.9487355604121136,0.9018816406481867,14.0,0.0028280600539586365,0.002377808239049428,0.0,0.0,0.0001313356396926979,-0.0006013745704467333,0.0002272055038941012,0.0002765359423241298,0.0,1.0,13480.png,1.0,0.45910613997829064,0.297947932618683,1.0,-1.0,0.9248468124822464,0.10506872852233677,0.8602000377429704,0.9490120963544377,0.9018816406481867
0.4406073474620408,0.28255061144794985,1.0,-1.0,0.9396147686702027,0.19084602624038607,0.88610699291979,0.9265328001854427,0.953071443474114,5.0,0.00044541061992053876,0.0003664406642919227,0.0,0.0,3.4513953345527426e-05,-0.00018850852058513445,6.13919599350421e-05,6.712157523192097e-05,0.0,1.0,15040.png,1.0,0.4410527580819613,0.2829170521122418,1.0,-1.0,0.9396492826235482,0.19065751771980094,0.886168384879725,0.9265999217606746,0.953071443474114
0.44864,0.2891914191419142,2.0,-2.0,0.937545553578846,0.19222218035196142,0.8824336485549474,0.9203286558345642,0.9554188962542928,5.0,0.0005061024677038839,0.00042071207327043503,0.0,0.0,3.6739981878808337e-05,-0.0001884161736443457,6.509735080373336e-05,7.080867372200039e-05,0.0,1.0,15067.png,1.0,0.44914610246770387,0.28961213121518464,2.0,-2.0,0.9375822935607248,0.19203376417831708,0.8824987459057512,0.9203994645082862,0.9554188962542928
0.4933157597439277,0.32741814546363407,0.0,0.0,0.9313014460511679,0.11311750290210242,0.8714351138681877,0.9398109691758525,0.922944639195714,10.0,0.0008992717676892248,0.0007927490890895506,0.0,0.0,0.0001036045662533569,-0.0004299410980695695,0.00018144314022405794,0.00021103697688817924,0.0,1.0,15369.png,1.0,0.49421503151161694,0.3282108945527236,0.0,0.0,0.9314050506174213,0.11268756180403285,0.8716165570084118,0.9400220061527407,0.922944639195714
0.25058339052848316,0.14323825964141396,1.0,-1.0,0.8760854599693233,0.3824586865455025,0.779494729150324,0.8304312486405422,0.9270515163520646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.png,0.0,0.25058339052848316,0.14323825964141396,1.0,-1.0,0.8760854599693233,0.3824586865455025,0.779494729150324,0.8304312486405422,0.9270515163520646
0.2388905457798986,0.13564775613886537,5.0,-5.0,0.9149379681143169,0.2724452470250498,0.843212591748589,0.9063617927860187,0.923677992766622,11.0,2.2084194851723637e-06,1.4240964818779123e-06,0.0,0.0,2.893758273359026e-05,-0.00025466499976850576,4.915805531591211e-05,5.679702695515765e-05,0.0,1.0,1660.png,1.0,0.23889275419938377,0.13564918023534725,5.0,-5.0,0.9149669056970505,0.2721905820252813,0.8432617498039049,0.9064185898129739,0.923677992766622
0.22288934534154947,0.1254223223282556,4.0,-4.0,0.903463445404243,0.2719449649866851,0.8239246029853593,0.9076968542720169,0.8992693416267071,32.0,0.0016251538953327982,0.0010301320231790867,0.0,0.0,9.449991093835042e-05,-0.000789032448959448,0.00015720001964902863,0.00019079532926535858,0.0,1.0,1694.png,1.0,0.22451449923688227,0.12645245435143468,4.0,-4.0,0.9035579453151813,0.27115593253772563,0.8240818030050083,0.9078876496012822,0.8992693416267071
0.23781545861365644,0.13495491137753515,0.0,0.0,0.9168433668295382,0.35635083602229395,0.8464550174482934,0.9132590814278405,0.9204558977139004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.png,0.0,0.23781545861365644,0.13495491137753515,0.0,0.0,0.9168433668295382,0.35635083602229395,0.8464550174482934,0.9132590814278405,0.9204558977139004
0.3189582177581827,0.1897384235939834,3.0,3.0,0.9234991761587507,0.23163952835485682,0.8578713138959364,0.9238466362089044,0.9231519773707861,4.0,0.0003435104062264327,0.00024316531767809568,0.0,0.0,1.653979002702588e-05,-0.0001122964626614209,2.8545517927525133e-05,3.3105070009087356e-05,0.0,1.0,1828.png,1.0,0.31930172816440916,0.1899815889116615,3.0,3.0,0.9235157159487777,0.2315272318921954,0.8578998594138639,0.9238797412789135,0.9231519773707861
0.2568159948679568,0.14732580961727185,6.0,-6.0,0.7649913344887348,0.11858308012154166,0.6194218355318551,0.8792128117281491,0.6770354009448433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.png,0.0,0.2568159948679568,0.14732580961727185,6.0,-6.0,0.7649913344887348,0.11858308012154166,0.6194218355318551,0.8792128117281491,0.6770354009448433
0.35925601144597774,0.2189592123769339,0.0,0.0,0.9140226005941856,0.22216645373243293,0.8416589526580269,0.9078055912138069,0.9203253502033438,19.0,0.0014390155162751217,0.0010700273891479928,0.0,0.0,0.00015590094090600637,-0.0008669465230881634,0.000264423170800554,0.0003076264287407149,0.0,1.0,2044.png,1.0,0.36069502696225286,0.22002923976608188,0.0,0.0,0.9141785015350916,0.22129950720934477,0.8419233758288275,0.9081132176425476,0.9203253502033438
0.17166637766603088,0.09389226100151746,17.0,17.0,0.6626104300349548,0.32325141776937616,0.4954505739507698,0.5125451938661015,0.9369284676523374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246.png,0.0,0.17166637766603088,0.09389226100151746,17.0,17.0,0.6626104300349548,0.32325141776937616,0.4954505739507698,0.5125451938661015,0.9369284676523374
0.3851315927440495,0.2384910070774625,3.0,-3.0,0.9038387236073547,0.2981273793600165,0.8245490358697906,0.8570689655172414,0.9560075003605942,19.0,0.001586748096004953,0.0012181216071238954,0.0,0.0,0.00019519357742803223,-0.0009774668175738244,0.00032495554295752793,0.00035109873320593454,0.0,1.0,2248.png,1.0,0.38671834084005446,0.2397091286845864,3.0,-3.0,0.9040339171847828,0.29714991254244266,0.8248739914127481,0.8574200642504474,0.9560075003605942
