action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,cut_adjacent_bg_components_before,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_area_after,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,gt_a,gt_b,image,local_anchor_frac,local_bg_frac,num_component_gt_instances,pred_component_id,r224_hard_risk,r224_overerosion_proxy,r224_quick_useful,r224_safe_gap_positive,run_id,seam_radius,split
0.25,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.0,1.0,2.0,1.0,0.408538283062645,0.25670632143690225,1.0,1.0,0.8742171823230203,0.19561346362649296,0.7765415927442755,0.8567142883275102,0.8924501695948779,0.0,4.0,2.0,2.0,4.0,0.0034602076124567475,0.0,1.0,0.0,1.0,0.006580726709216833,0.5901961326599121,0.009885220788419247,1.0,0.004384446889162064,0.000903844500371398,0.0007133205620116212,0.0,0.0,3.263557036736753e-05,-0.000173724212812143,5.1499069401939046e-05,6.268144269006015e-05,0.0,22.0,24.0,11852.png,0.7465397923875432,0.25346020761245674,4.0,19.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.0,1.0,2.0,1.0,0.408538283062645,0.25670632143690225,1.0,1.0,0.8742171823230203,0.19561346362649296,0.7765415927442755,0.8567142883275102,0.8924501695948779,0.0,4.0,2.0,2.0,4.0,0.0034602076124567475,0.0,1.0,0.0,1.0,0.006580726709216833,0.5901961326599121,0.009885220788419247,1.0,0.004384446889162064,0.000903844500371398,0.0007133205620116212,0.0,0.0,3.263557036736753e-05,-0.000173724212812143,5.1499069401939046e-05,6.268144269006015e-05,0.0,22.0,24.0,11852.png,0.7465397923875432,0.25346020761245674,4.0,19.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.25,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.0,1.0,2.0,1.0,0.4080931829783285,0.25635494402985076,1.0,1.0,0.8742335010219986,0.19552660152008686,0.7765673448407369,0.8567456324887954,0.8924501695948779,0.0,6.0,3.0,2.0,6.0,0.005042016806722689,0.0,1.0,0.0,1.0,0.01427113264799118,0.6124182939529419,0.02051546424627304,1.5,0.008889850229024887,0.00045874441605486815,0.0003619431549601315,0.0,0.0,4.895426934570235e-05,-0.00026058631921824227,7.725116586332348e-05,9.402560397531179e-05,0.0,22.0,24.0,11852.png,0.711764705882353,0.28823529411764703,4.0,19.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.0,1.0,2.0,1.0,0.4088695087442594,0.2569679300291545,1.0,1.0,0.8742824607745223,0.19526601520086861,0.7766446113792017,0.8568396787354324,0.8924501695948779,0.0,12.0,3.0,4.0,12.0,0.009523809523809525,0.0,1.0,0.0,1.0,0.010368223302066326,0.6019608378410339,0.019944321364164352,1.3333333333333333,0.012757660821080208,0.00123507018198582,0.0009749291542638927,0.0,0.0,9.791402186942744e-05,-0.0005211726384364845,0.00015451770432817202,0.00018807185061231468,0.0,22.0,24.0,11852.png,0.7277777777777777,0.2722222222222222,4.0,19.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
0.25,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.0,1.0,2.0,1.0,0.4086859688195991,0.2568229531140658,1.0,1.0,0.8742171823230203,0.19561346362649296,0.7765415927442755,0.8567142883275102,0.8924501695948779,0.0,4.0,2.0,3.0,4.0,0.0033613445378151263,0.0,0.6666666666666666,0.0,1.0,0.026544103398919106,0.6970588564872742,0.04260817915201187,1.5,0.019484907388687134,0.001051530257325517,0.0008299522391751468,0.0,0.0,3.263557036736753e-05,-0.000173724212812143,5.1499069401939046e-05,6.268144269006015e-05,0.0,26.0,24.0,11852.png,0.6151260504201681,0.38487394957983195,4.0,19.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.0,1.0,2.0,1.0,0.408833627168971,0.2569395847912293,1.0,1.0,0.8742335010219986,0.19552660152008686,0.7765673448407369,0.8567456324887954,0.8924501695948779,0.0,6.0,2.0,3.0,6.0,0.005042016806722689,0.0,1.0,0.0,1.0,0.02446448989212513,0.700653612613678,0.038967497646808624,1.5,0.017043665051460266,0.0011991886066973767,0.0009465839163386724,0.0,0.0,4.895426934570235e-05,-0.00026058631921824227,7.725116586332348e-05,9.402560397531179e-05,0.0,26.0,24.0,11852.png,0.6151260504201681,0.38487394957983195,4.0,19.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.25,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.0,1.0,2.0,1.0,0.40799851535677834,0.2562802354724019,1.0,1.0,0.8742335010219986,0.19552660152008686,0.7765673448407369,0.8567456324887954,0.8924501695948779,0.0,6.0,2.0,3.0,6.0,0.005042016806722689,0.0,1.0,0.0,1.0,0.03131401166319847,0.6509804129600525,0.04075554758310318,1.5,0.021598314866423607,0.00036407679450473074,0.00028723459751128777,0.0,0.0,4.895426934570235e-05,-0.00026058631921824227,7.725116586332348e-05,9.402560397531179e-05,0.0,26.0,24.0,11852.png,0.5739495798319327,0.4260504201680672,4.0,19.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.0,1.0,2.0,1.0,0.4093648585999073,0.25735937044593415,1.0,1.0,0.874315103656203,0.19509229098805647,0.7766961309474453,0.8569023877046931,0.8924501695948779,0.0,16.0,3.0,6.0,16.0,0.012030075187969926,0.0,0.8888888888888888,0.0,1.0,0.027833327651023865,0.6708333492279053,0.04362022876739502,2.0,0.037779297679662704,0.0017304200376336842,0.0013663695710435242,0.0,0.0,0.0001305569035501275,-0.0006948968512486275,0.0002060372725717352,0.0002507808198729533,0.0,26.0,24.0,11852.png,0.5864661654135338,0.41353383458646614,4.0,19.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
