accepted,action_frac,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,corridor_radius,cut_area,cut_gt_fg_frac,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,dilate_radius,hard_risk,image,overerosion_proxy,pred_component_id,quick_useful,reject_reason,ridge_area,ridge_score,ridge_slenderness,safe_gap_positive,seam_prob_mean,seam_prob_p90
0.0,0.35,0.4375679922639913,0.2800557016865233,1.0,-1.0,0.9023224678777961,corridor,0.13818999068135723,0.8220287301802413,0.9052007163109984,0.8994624652455978,2.0,31.0,0.6129032258064516,0.3870967741935484,0.001191154362375768,0.000975135166904062,0.0,0.0,-0.00018635947771394878,-0.0006577865482650935,-0.0003093895705037486,0.00033766432664961155,-0.0007043558850787779,,0.0,10375.png,1.0,19.0,1.0,low_mean_prob,,,,0.0,0.30394092202186584,0.7280533909797668
0.0,0.25,0.43746223564954684,0.279969064191802,1.0,-1.0,0.9024798304643641,corridor,0.13840925286411226,0.822289972899729,0.9051045900294568,0.899870250231696,2.0,16.0,0.5,0.5,0.001085397747931316,0.0008884976721827975,0.0,0.0,-2.8996891145993686e-05,-0.00043852436551006235,-4.8146851015951064e-05,0.0002415380451079585,-0.0002965708989806082,,0.0,10375.png,0.0,19.0,1.0,low_mean_prob,,,,0.0,0.389475554227829,0.7904389500617981
0.0,0.35,0.4373639661426844,0.27988857076530216,1.0,-1.0,0.90255190231028,corridor,0.13857369950117854,0.8224096467161196,0.905024601162964,0.9000926784059314,1.0,7.0,0.2857142857142857,0.7142857142857143,0.0009871282410688909,0.0008080042456829473,0.0,0.0,4.307495476996159e-05,-0.00027407772844378897,7.152696537460201e-05,0.00016154917861521678,-7.414272474515204e-05,,0.0,10375.png,0.0,19.0,1.0,low_p90_prob,,,,0.0,0.4075758159160614,0.7872749090194702
0.0,0.5,0.4372998126548619,0.27983602753499887,1.0,-1.0,0.9024907063197026,corridor,0.13857369950117854,0.8223080310266572,0.9050139794967381,0.8999814643188138,1.0,10.0,0.5,0.5,0.000922974753246375,0.0007554610153796548,0.0,0.0,-1.812103580745017e-05,-0.00027407772844378897,-3.0088724087828922e-05,0.00015092751238932056,-0.0001853568118628246,,0.0,10375.png,0.0,19.0,1.0,recall_drop,,,,0.0,0.5610216856002808,0.9470368564128876
0.0,0.5,0.43714527231010747,0.2797094730335342,1.0,-1.0,0.9022408182240819,corridor,0.13818999068135723,0.8218932104621223,0.9051865671641791,0.8993141797961075,2.0,35.0,0.6571428571428571,0.34285714285714286,0.000768434408491947,0.0006289065139150063,0.0,0.0,-0.00026800913142821514,-0.0006577865482650935,-0.00044490928862273016,0.00032351517983031375,-0.000852641334569082,,1.0,10375.png,1.0,19.0,0.0,low_mean_prob,,,,0.0,0.37932559847831726,0.8605060815811161
0.0,0.25,0.4370388290794726,0.2796223202538503,1.0,-1.0,0.9025759209010148,corridor,0.1386285150468673,0.8224495325836607,0.9049979501323097,0.9001668211306766,1.0,4.0,0.0,1.0,0.0006619911778570908,0.0005417537342310985,0.0,0.0,6.709354550471502e-05,-0.00021926218275503118,0.0001114128329157138,0.0001348981479608602,0.0,,0.0,10375.png,0.0,19.0,1.0,low_mean_prob,,,,1.0,0.20320136845111847,0.3865504294633865
0.0,0.35,0.4368703625505218,0.2794844087681383,1.0,-1.0,0.9022553595002138,corridor,0.13840925286411226,0.8219173441734418,0.9050656520441659,0.8994624652455978,2.0,27.0,0.7037037037037037,0.2962962962962963,0.000493524648906285,0.0004038422485190818,0.0,0.0,-0.00025346785529622995,-0.00043852436551006235,-0.0004207755773032451,0.00020260005981709295,-0.0007043558850787779,,0.0,10375.png,1.0,19.0,1.0,recall_drop,,,,0.0,0.581384539604187,0.9325237035751344
0.0,0.25,0.43678577906765825,0.279415177535391,1.0,-1.0,0.9024943310657596,corridor,0.1386285150468673,0.8223140495867769,0.9049837849927312,0.9000185356811863,1.0,8.0,0.5,0.5,0.0004089411660427311,0.00033461101577181296,0.0,0.0,-1.4496289750476343e-05,-0.00021926218275503118,-2.407016396810402e-05,0.00012073300838244538,-0.0001482854494903041,,0.0,10375.png,0.0,19.0,1.0,low_mean_prob,,,,0.0,0.18468113243579865,0.38708719015121457
0.0,0.25,0.4366648527722353,0.2793162128712871,1.0,-1.0,0.9023311149942372,corridor,0.1386285150468673,0.822043083593009,0.9049554420373616,0.8997219647822058,2.0,16.0,0.75,0.25,0.0002880148706198016,0.00023564635166789527,0.0,0.0,-0.0001777123612728415,-0.00021926218275503118,-0.0002950361577359617,9.23900530127586e-05,-0.00044485634847080124,,0.0,10375.png,1.0,19.0,1.0,low_mean_prob,,,,0.0,0.19034874439239502,0.37522783875465393
0.0,0.35,0.43662737987307343,0.2792855485966133,1.0,-1.0,0.9023923267096678,corridor,0.1386285150468673,0.822144695840672,0.9049660726269481,0.8998331788693235,1.0,13.0,0.6923076923076923,0.3076923076923077,0.00025054197145790713,0.00020498207699409798,0.0,0.0,-0.00011650064584223241,-0.00021926218275503118,-0.00019342391007304283,0.0001030206425992608,-0.0003336422613531287,,0.0,10375.png,1.0,19.0,1.0,low_mean_prob,,,,0.0,0.28517434000968933,0.6768931150436404
