feature,group,n,mean,p10,p50,p90,min,max
cut_max_dist_in,oracle_safe_best,87,2.4391481613275925,2.0,2.23606797749979,3.0649110640673527,2.0,5.0
cut_max_dist_in,r245_best_selected,9,2.0,2.0,2.0,2.0,2.0,2.0
ring_bg_frac,all,8568,0.41107358599712385,0.3116244411326379,0.4285714285714285,0.4833333333333333,0.0736842105263157,0.575
ring_bg_frac,safe_useful,971,0.41078864465911363,0.324074074074074,0.425,0.475,0.1666666666666666,0.575
ring_bg_frac,risk,7590,0.41055174505140757,0.3076923076923077,0.4285714285714285,0.4833333333333333,0.0736842105263157,0.5735294117647058
ring_bg_frac,oracle_safe_best,87,0.4304924900305673,0.3471428571428571,0.4479166666666667,0.4862612612612613,0.2293577981651376,0.5104166666666666
ring_bg_frac,r245_best_selected,9,0.4807636588370872,0.4600877192982456,0.4782608695652174,0.5001278772378517,0.4583333333333333,0.5441176470588235
ring_fg_frac,all,8568,0.588926414002876,0.5166666666666667,0.5714285714285714,0.6883755588673622,0.425,0.9263157894736842
ring_fg_frac,safe_useful,971,0.5892113553408864,0.525,0.575,0.6759259259259259,0.425,0.8333333333333334
ring_fg_frac,risk,7590,0.5894482549485924,0.5166666666666667,0.5714285714285714,0.6923076923076923,0.4264705882352941,0.9263157894736842
ring_fg_frac,oracle_safe_best,87,0.5695075099694328,0.5137387387387387,0.5520833333333334,0.6528571428571429,0.4895833333333333,0.7706422018348624
ring_fg_frac,r245_best_selected,9,0.5192363411629128,0.4998721227621484,0.5217391304347826,0.5399122807017543,0.4558823529411764,0.5416666666666666
cut_bg_channel_area_after,all,8568,1522.1366713352008,667.0,1483.0,2293.0,11.0,9420.0
cut_bg_channel_area_after,safe_useful,971,1291.6251287332648,643.0,1372.0,1795.0,39.0,5368.0
cut_bg_channel_area_after,risk,7590,1545.1945981554677,666.9000000000001,1496.0,2338.2000000000007,11.0,9420.0
cut_bg_channel_area_after,oracle_safe_best,87,1402.7701149425288,658.0,1552.0,1992.6000000000006,52.0,3004.0
cut_bg_channel_area_after,r245_best_selected,9,1439.111111111111,1090.8,1489.0,1640.0,1086.0,1696.0
cut_bg_channel_border_contacts_after,all,8568,3.1477591036414565,2.0,3.0,4.0,0.0,4.0
cut_bg_channel_border_contacts_after,safe_useful,971,3.151390319258496,2.0,3.0,4.0,0.0,4.0
cut_bg_channel_border_contacts_after,risk,7590,3.1430830039525692,2.0,3.0,4.0,0.0,4.0
cut_bg_channel_border_contacts_after,oracle_safe_best,87,3.218390804597701,2.0,3.0,4.0,0.0,4.0
cut_bg_channel_border_contacts_after,r245_best_selected,9,4.0,4.0,4.0,4.0,4.0,4.0
cut_bg_channel_frac_after,all,8568,0.43715236529388346,0.20300357404692077,0.4761538461538461,0.6183804183482744,0.0041509433962264,0.8254716981132075
